ts_epoch,load1,mem_used_kb,temp_mC
1785493425,1.98,323044,41868
1785493426,2.23,319760,42355
1785493427,2.23,315828,41868
1785493428,2.23,314964,42355
1785493429,2.23,312172,41381
1785493430,2.23,309624,41381
1785493431,2.05,308004,41868
1785493433,2.05,306816,43329
1785493434,2.05,305168,41868
1785493435,2.05,303920,41381
1785493436,2.05,304048,42842
1785493437,2.20,303568,41381
1785493438,2.20,302800,41868
1785493439,2.20,301708,41868
1785493440,2.20,286104,41868
1785493441,2.11,295928,41868
1785493442,2.11,295920,40407
1785493443,2.11,296784,41381
1785493444,2.11,297272,41381
1785493445,2.11,295096,41868
1785493446,2.18,287376,41381
1785493447,2.18,301664,41381
1785493448,2.18,300344,39920
1785493449,2.18,300828,41868
1785493450,2.18,300648,42355
1785493451,2.16,299580,41868
1785493452,2.16,298692,42355
1785493453,2.16,295184,41381
1785493454,2.16,295136,40894
1785493455,2.16,297908,42355
1785493457,2.07,297508,41868
1785493458,2.07,296336,42355
1785493459,2.07,295440,42355
1785493460,2.07,301420,41868
1785493461,2.07,300604,41381
1785493462,1.99,300696,41868
1785493463,1.99,300612,41868
1785493464,1.99,299704,42355
1785493465,1.99,299296,40894
1785493466,2.07,290364,42355
1785493467,2.07,298708,41868
1785493468,2.07,299472,40894
1785493469,2.07,300756,41868
1785493470,2.07,299684,41868
1785493471,2.22,299108,41381
1785493472,2.22,296024,42842
1785493473,2.22,301524,41381
1785493474,2.22,300776,41381
1785493475,2.22,301360,40894
1785493476,2.28,300564,41868
1785493477,2.28,299520,41868
1785493478,2.28,298952,40894
1785493479,2.28,302028,40894
1785493481,2.28,301144,41868
1785493482,2.10,303132,41868
1785493483,2.10,322768,43329
1785493484,2.10,325556,43329
1785493485,2.10,316700,42842
1785493486,2.09,315068,41868
1785493487,2.09,312804,41381
1785493488,2.09,311316,41381
1785493489,2.09,308444,42355
1785493490,2.09,306436,42842
1785493491,2.01,302736,41381
1785493492,2.01,300368,41868
1785493493,2.01,308936,41381
1785493494,2.01,307792,42355
1785493495,2.01,307984,41381
1785493496,2.00,306688,40407
1785493497,2.00,304820,41868
1785493498,2.00,300540,41868
1785493499,2.00,304184,40407
1785493500,2.00,303332,41868
1785493501,2.00,302996,42355
1785493502,2.00,301916,41868
1785493503,2.00,300808,40894
1785493505,2.00,299536,41381
1785493506,2.00,300436,40894
1785493507,2.08,300540,41381
1785493508,2.08,302176,41381
1785493509,2.08,301656,40894
1785493510,2.08,300664,42355
1785493511,2.24,299736,41868
1785493512,2.24,298888,41381
1785493513,2.24,298268,41381
1785493514,2.24,299580,41868
1785493515,2.24,298808,41868
1785493516,2.22,297532,41868
1785493517,2.22,297508,41381
1785493518,2.22,296284,41868
1785493519,2.22,297032,41381
1785493520,2.22,298264,42355
1785493521,2.04,298124,43329
1785493522,2.04,296976,42355
1785493523,2.04,296916,41381
1785493524,2.04,294820,40894
1785493525,2.04,297508,41381
1785493526,1.88,297752,40407
1785493527,1.88,299428,42355
1785493529,1.88,298116,42842
1785493530,1.88,296820,41868
1785493531,1.88,285940,42355
1785493532,1.97,300972,41868
1785493533,1.97,299616,41381
1785493534,1.97,301372,40894
1785493535,1.97,300952,41868
1785493536,2.05,300028,42355
1785493537,2.05,299452,42355
1785493538,2.05,301056,41381
1785493539,2.05,300644,41868
1785493540,2.05,301584,41868
1785493541,2.05,301548,42355
1785493542,2.05,300484,41868
1785493543,2.05,300020,41381
1785493544,2.05,302176,43329
1785493545,2.05,330036,42842
1785493546,2.12,321892,43329
1785493547,2.12,318700,41381
1785493548,2.12,316320,41868
1785493549,2.12,309540,42842
1785493550,2.12,298768,42842
1785493551,2.03,308072,41868
1785493553,2.03,307000,42355
1785493554,2.03,309772,41868
1785493555,2.03,308044,40894
1785493556,2.03,305628,41868
1785493557,2.03,292892,42842
1785493558,2.03,300864,40894
1785493559,2.03,300364,40894
1785493560,2.03,300752,41381
1785493561,2.11,299704,41381
1785493562,2.11,299176,41381
1785493563,2.11,299016,41381
