case,profile,rep,scale,f_phi_hz,stream_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W8_Q08,ALGSTRUCT,2,6,90,720,5472,0,1047150,1542786,1714118,5594910390,897895,1378927,2084636,2332740,2549058,24576,650,2549501,5444,8,1,21,1,39,170,10,168,63,178560,1102592,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8233
W8_Q01,STRUCT_R1,11,6,90,720,5472,0,604764,1102956,1810210,2784932105,934886,780026,1296534,2031847,2354940,24568,363,2021820,6074,1,0,14,1,25,163,10,168,63,22320,1102592,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8224
W8_Q08,ALGSTRUCT,3,6,90,720,5472,0,1059576,1551727,1707434,5581165160,880480,1369548,2091142,2314987,2426407,24492,647,1610805,5851,8,1,21,1,39,170,10,168,63,178560,1102592,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8099
W8_Q01,OFF,15,6,90,720,5472,0,503610,1071664,1388713,2743507013,324003,841466,1192774,1264741,1515815,24560,356,1711947,5741,0,0,14,2,27,164,11,169,63,22320,1102600,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8214
W8_Q01,STRUCT,9,6,90,720,5472,0,583924,1142796,1836801,2792190419,755032,835915,1282426,1760045,2318153,24560,363,1963240,6316,0,0,14,2,27,164,11,169,63,22320,1102600,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8211
W8_Q08,STRUCT_R1,12,6,90,720,5472,0,1056398,1549049,1756268,5571289246,987407,1370371,2072106,2325024,2370494,24488,646,1641267,5926,8,0,21,1,39,170,10,168,63,178560,1102592,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8098
W8_Q01,ALGSTRUCT,13,6,90,720,5472,0,512334,1000208,1146890,2706086882,234705,776821,1118889,1173335,1312627,24436,350,1104984,5925,1,1,14,1,25,163,10,168,63,22320,1102592,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8093
W8_Q01,ALGSTRUCT,14,6,90,720,5472,0,517251,1003208,1196835,2699094390,281901,778203,1123334,1212432,1352400,24440,349,1105780,5981,1,1,14,1,25,163,10,168,63,22320,1102592,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8089
W8_Q01,ALGSTRUCT,11,6,90,720,5472,0,529817,1002191,1147670,2714376496,274439,777392,1122809,1211763,1304521,24440,350,1104188,5797,1,1,14,1,25,163,10,168,63,22320,1102592,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8093
W8_Q08,STRUCT_R1,15,6,90,720,5472,0,1138022,1553554,1697423,5662028484,842585,1401691,2128774,2262555,2427646,24484,655,1667440,6093,8,0,21,1,39,170,10,168,63,178560,1102592,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8100
W8_Q01,STRUCT,5,6,90,720,5472,0,564428,1125635,1803701,2771370094,813627,838205,1270818,1928858,2116283,24432,357,1003321,6185,0,0,14,2,27,164,11,169,63,22320,1102600,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8092
W8_Q08,STRUCT,8,6,90,720,5472,0,1059654,1604723,1725629,5680615730,944189,1448242,2190167,2386297,2540066,24496,658,1433853,5945,0,0,21,2,48,171,11,169,63,178560,1102600,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8098
W8_Q01,STRUCT_R1,8,6,90,720,5472,0,514975,1004933,1170988,2731259559,258349,779920,1124758,1183591,1314502,24444,353,1114913,5408,1,0,14,1,25,163,10,168,63,22320,1102592,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8090
W8_Q01,STRUCT_R1,14,6,90,720,5472,0,533995,1019693,1178228,2726729441,280104,779290,1139854,1210957,1246486,24460,353,1125320,5760,1,0,14,1,25,163,10,168,63,22320,1102592,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8090
W8_Q08,OFF,4,6,90,720,5472,0,1347384,2012424,4396364,6164351396,30282177,1725206,29522884,31976665,32437524,24508,712,1185711,6221,0,0,21,2,48,171,11,169,63,178560,1102600,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8108
W8_Q08,OFF,14,6,90,720,5472,0,1360727,1808742,3998591,6036785392,27887391,1539025,24775687,29249910,29665984,24512,704,1281489,6869,0,0,21,2,48,171,11,169,63,178560,1102600,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8108
W8_Q08,ALGSTRUCT,4,6,90,720,5472,0,1071739,1554726,1680670,5625430886,900689,1379879,2099288,2355056,2495359,24500,652,1625891,5834,8,1,21,1,39,170,10,168,63,178560,1102592,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8101
W8_Q08,STRUCT,14,6,90,720,5472,0,1052175,1635188,1804984,5703953437,1149038,1454049,2221845,2500530,2650260,24504,660,1434266,6536,0,0,21,2,48,171,11,169,63,178560,1102600,a1fb931274e7c98edae1f8dc7e1ba17fa1e1f4961811a19262d549058dc00ebf,55,8096
W8_Q01,STRUCT,11,6,90,720,5472,0,553263,1063713,1233193,2728309990,311741,835656,1188251,1264053,1405421,24452,352,1020861,6833,0,0,14,2,27,164,11,169,63,22320,1102600,5a2443575c85e4a39ffd423d41f41558877130417d812842b1000c367bd14d19,27,8090
