=== podejscie 1, 2026-08-16 01:52:58 CEST ===
[088/480] F9-X b=4 q=8 NO_R2_CANON p99=1223689 ns
[089/480] F9-X b=4 q=16 NO_R2_CANON p99=1975495 ns
[090/480] F9-X b=4 q=16 NO_R1_NO_R2 p99=2538802 ns
[091/480] F9-X b=4 q=16 DEFAULT p99=1940587 ns
[092/480] F9-X b=4 q=16 NO_R1_FACTOR p99=2393100 ns
[093/480] F9-X b=4 q=32 NO_R1_NO_R2 p99=4198539 ns
[094/480] F9-X b=4 q=32 DEFAULT p99=3557565 ns
[095/480] F9-X b=4 q=32 NO_R2_CANON p99=3572954 ns
[096/480] F9-X b=4 q=32 NO_R1_FACTOR p99=3948893 ns
[097/480] F9-X b=5 q=1 NO_R2_CANON p99=415143 ns
[098/480] F9-X b=5 q=1 NO_R1_FACTOR p99=539068 ns
[099/480] F9-X b=5 q=1 DEFAULT p99=432144 ns
[100/480] F9-X b=5 q=1 NO_R1_NO_R2 p99=540180 ns
[101/480] F9-X b=5 q=2 NO_R2_CANON p99=604697 ns
[102/480] F9-X b=5 q=2 NO_R1_FACTOR p99=695567 ns
[103/480] F9-X b=5 q=2 DEFAULT p99=610437 ns
[104/480] F9-X b=5 q=2 NO_R1_NO_R2 p99=692640 ns
[105/480] F9-X b=5 q=4 NO_R1_FACTOR p99=1238244 ns
[106/480] F9-X b=5 q=4 NO_R1_NO_R2 p99=1241226 ns
[107/480] F9-X b=5 q=4 DEFAULT p99=810527 ns
[108/480] F9-X b=5 q=4 NO_R2_CANON p99=893174 ns
[109/480] F9-X b=5 q=8 NO_R1_FACTOR p99=1579555 ns
[110/480] F9-X b=5 q=8 DEFAULT p99=1145670 ns
[111/480] F9-X b=5 q=8 NO_R2_CANON p99=1261855 ns
[112/480] F9-X b=5 q=8 NO_R1_NO_R2 p99=1781052 ns
[113/480] F9-X b=5 q=16 DEFAULT p99=1890143 ns
[114/480] F9-X b=5 q=16 NO_R2_CANON p99=1960568 ns
[115/480] F9-X b=5 q=16 NO_R1_NO_R2 p99=2531468 ns
[116/480] F9-X b=5 q=16 NO_R1_FACTOR p99=2411732 ns
[117/480] F9-X b=5 q=32 NO_R1_FACTOR p99=4051508 ns
[118/480] F9-X b=5 q=32 NO_R1_NO_R2 p99=4242894 ns
[119/480] F9-X b=5 q=32 DEFAULT p99=3478792 ns
[120/480] F9-X b=5 q=32 NO_R2_CANON p99=3574643 ns
[121/480] F9-X b=6 q=1 NO_R1_NO_R2 p99=535883 ns
[122/480] F9-X b=6 q=1 NO_R2_CANON p99=417328 ns
[123/480] F9-X b=6 q=1 NO_R1_FACTOR p99=537901 ns
[124/480] F9-X b=6 q=1 DEFAULT p99=427588 ns
[125/480] F9-X b=6 q=2 NO_R1_NO_R2 p99=688677 ns
[126/480] F9-X b=6 q=2 NO_R1_FACTOR p99=703510 ns
[127/480] F9-X b=6 q=2 DEFAULT p99=608733 ns
[128/480] F9-X b=6 q=2 NO_R2_CANON p99=583196 ns
[129/480] F9-X b=6 q=4 DEFAULT p99=755861 ns
[130/480] F9-X b=6 q=4 NO_R2_CANON p99=875211 ns
[131/480] F9-X b=6 q=4 NO_R1_FACTOR p99=1249354 ns
[132/480] F9-X b=6 q=4 NO_R1_NO_R2 p99=1241558 ns
[133/480] F9-X b=6 q=8 NO_R1_FACTOR p99=1618411 ns
[134/480] F9-X b=6 q=8 DEFAULT p99=1128656 ns
[135/480] F9-X b=6 q=8 NO_R1_NO_R2 p99=1785834 ns
[136/480] F9-X b=6 q=8 NO_R2_CANON p99=1228525 ns
[137/480] F9-X b=6 q=16 NO_R1_NO_R2 p99=2585898 ns
[138/480] F9-X b=6 q=16 NO_R2_CANON p99=2335715 ns
[139/480] F9-X b=6 q=16 DEFAULT p99=1978403 ns
[140/480] F9-X b=6 q=16 NO_R1_FACTOR p99=2364102 ns
[141/480] F9-X b=6 q=32 DEFAULT p99=3510978 ns
[142/480] F9-X b=6 q=32 NO_R1_NO_R2 p99=4184821 ns
[143/480] F9-X b=6 q=32 NO_R1_FACTOR p99=4042767 ns
[144/480] F9-X b=6 q=32 NO_R2_CANON p99=3604365 ns
[145/480] F9-X b=7 q=1 NO_R2_CANON p99=428569 ns
[146/480] F9-X b=7 q=1 DEFAULT p99=437402 ns
[147/480] F9-X b=7 q=1 NO_R1_FACTOR p99=530864 ns
[148/480] F9-X b=7 q=1 NO_R1_NO_R2 p99=530271 ns
[149/480] F9-X b=7 q=2 DEFAULT p99=569956 ns
[150/480] F9-X b=7 q=2 NO_R2_CANON p99=617102 ns
[151/480] F9-X b=7 q=2 NO_R1_FACTOR p99=688120 ns
[152/480] F9-X b=7 q=2 NO_R1_NO_R2 p99=686250 ns
[153/480] F9-X b=7 q=4 NO_R2_CANON p99=858470 ns
[154/480] F9-X b=7 q=4 NO_R1_NO_R2 p99=1242650 ns
[155/480] F9-X b=7 q=4 DEFAULT p99=762953 ns
[156/480] F9-X b=7 q=4 NO_R1_FACTOR p99=1242020 ns
[157/480] F9-X b=7 q=8 NO_R1_NO_R2 p99=1790217 ns
[158/480] F9-X b=7 q=8 NO_R1_FACTOR p99=1579369 ns
[159/480] F9-X b=7 q=8 NO_R2_CANON p99=1216947 ns
[160/480] F9-X b=7 q=8 DEFAULT p99=1155115 ns
[161/480] F9-X b=7 q=16 NO_R1_FACTOR p99=2423895 ns
[162/480] F9-X b=7 q=16 DEFAULT p99=1914254 ns
[163/480] F9-X b=7 q=16 NO_R2_CANON p99=2031456 ns
[164/480] F9-X b=7 q=16 NO_R1_NO_R2 p99=2513191 ns
[165/480] F9-X b=7 q=32 NO_R1_FACTOR p99=4030709 ns
[166/480] F9-X b=7 q=32 NO_R2_CANON p99=3669251 ns
[167/480] F9-X b=7 q=32 NO_R1_NO_R2 p99=4198183 ns
[168/480] F9-X b=7 q=32 DEFAULT p99=3555452 ns
[169/480] F9-X b=8 q=1 NO_R1_FACTOR p99=534308 ns
[170/480] F9-X b=8 q=1 DEFAULT p99=427384 ns
[171/480] F9-X b=8 q=1 NO_R1_NO_R2 p99=543160 ns
[172/480] F9-X b=8 q=1 NO_R2_CANON p99=429772 ns
[173/480] F9-X b=8 q=2 NO_R2_CANON p99=575752 ns
[174/480] F9-X b=8 q=2 NO_R1_FACTOR p99=688083 ns
[175/480] F9-X b=8 q=2 DEFAULT p99=570160 ns
[176/480] F9-X b=8 q=2 NO_R1_NO_R2 p99=690769 ns
[177/480] F9-X b=8 q=4 NO_R2_CANON p99=877767 ns
[178/480] F9-X b=8 q=4 NO_R1_FACTOR p99=1236744 ns
[179/480] F9-X b=8 q=4 NO_R1_NO_R2 p99=1230651 ns
[180/480] F9-X b=8 q=4 DEFAULT p99=753491 ns
[181/480] F9-X b=8 q=8 NO_R1_NO_R2 p99=1748089 ns
[182/480] F9-X b=8 q=8 NO_R2_CANON p99=1267966 ns
[183/480] F9-X b=8 q=8 DEFAULT p99=1424912 ns
[184/480] F9-X b=8 q=8 NO_R1_FACTOR p99=1583261 ns
[185/480] F9-X b=8 q=16 DEFAULT p99=2014553 ns
[186/480] F9-X b=8 q=16 NO_R2_CANON p99=2051181 ns
[187/480] F9-X b=8 q=16 NO_R1_NO_R2 p99=2590749 ns
