m1,0,349
m1,1,808
m1,2,968
m1,3,955
m1,4,312
m1,5,538
m1,6,580
m1,7,652
m1,8,550
m1,9,921
m1,10,866
m1,11,872
m1,12,541
m1,13,513
m1,14,584
m1,15,901
m1,16,871
m1,17,834
m1,18,463
m1,19,701
m1,20,461
m1,21,312
m1,22,411
m1,23,474
m1,24,435
m1,25,318
m1,26,372
m1,27,426
m1,28,697
m1,29,395
m1,30,359
m1,31,634
m1,32,472
m1,33,380
m1,34,119
m1,35,390
m1,36,844
m1,37,938
m1,38,939
m1,39,812
m1,40,950
m1,41,652
m1,42,377
m1,43,717
m1,44,277
m1,45,501
m1,46,984
m1,47,779
m1,48,826
m1,49,1096
m1,50,659
m1,51,862
m1,52,850
m1,53,961
m1,54,832
m1,55,853
m1,56,916
m1,57,797
m1,58,686
m1,59,557
m1,60,554
m1,61,810
m1,62,931
m1,63,881
m1,64,382
m1,65,311
m1,66,554
m1,67,744
m1,68,557
m1,69,733
m1,70,767
m1,71,912
m1,72,652
m1,73,351
m1,74,366
m1,75,161
m1,76,140
m1,77,368
m1,78,602
m1,79,810
m1,80,644
m1,81,467
m1,82,188
m1,83,380
m1,84,404
m1,85,350
m1,86,248
m1,87,149
m1,88,346
m1,89,898
m1,90,1166
m1,91,890
m1,92,990
m1,93,844
m1,94,627
m1,95,568
m1,96,631
m1,97,956
m1,98,767
m1,99,723
m1,100,568
m1,101,670
m1,102,394
m1,103,406
m1,104,137
m1,105,138
m1,106,393
m1,107,459
m1,108,902
m1,109,846
m1,110,978
m1,111,895
m1,112,920
m1,113,685
m1,114,420
m1,115,439
m1,116,609
m1,117,767
m1,118,631
m1,119,627
m1,120,211
m1,121,462
m1,122,247
m1,123,224
m1,124,608
m1,125,366
m1,126,434
m1,127,594
m1,128,509
m1,129,435
m1,130,306
m1,131,287
m1,132,303
m1,133,345
m1,134,866
m1,135,917
m1,136,383
m1,137,716
m1,138,639
m1,139,121
m1,140,720
m1,141,904
m1,142,556
m1,143,663
m1,144,509
m1,145,470
m1,146,552
m1,147,461
m1,148,852
m1,149,350
m1,150,655
m1,151,645
m1,152,590
m1,153,236
m1,154,595
m1,155,543
m1,156,774
m1,157,765
m1,158,650
m1,159,498
m1,160,973
m1,161,551
m1,162,467
m1,163,518
m1,164,533
m1,165,550
m1,166,411
m1,167,397
m1,168,279
m1,169,621
m1,170,786
m1,171,780
m1,172,191
m1,173,331
m1,174,472
m1,175,567
m1,176,392
m1,177,469
m1,178,653
m1,179,524
m1,180,307
m1,181,407
m1,182,321
m1,183,554
m1,184,774
m1,185,701
m1,186,532
m1,187,818
m1,188,564
m1,189,618
m1,190,464
m1,191,629
m1,192,575
m1,193,437
m1,194,279
m1,195,295
m1,196,605
m1,197,344
m1,198,473
m1,199,688
m1,200,511
m1,201,907
m1,202,1118
m1,203,946
m1,204,838
m1,205,857
m1,206,764
m1,207,353
m1,208,526
m1,209,771
m1,210,804
m1,211,437
m1,212,546
m1,213,857
m1,214,776
m1,215,977
m1,216,802
m1,217,724
m1,218,1014
m1,219,1177
m1,220,771
m1,221,1085
m1,222,821
m1,223,469
m1,224,280
m1,225,339
m1,226,497
m1,227,486
m1,228,437
m1,229,695
m1,230,920
m1,231,969
m1,232,474
m1,233,473
m1,234,817
m1,235,776
m1,236,780
m1,237,309
m1,238,496
m1,239,557
m1,240,714
m1,241,585
m1,242,634
m1,243,453
m1,244,312
m1,245,672
m1,246,861
m1,247,771
m1,248,1027
m1,249,954
m1,250,676
m1,251,736
m1,252,813
m1,253,748
m1,254,671
m1,255,690
m1,256,730
m1,257,620
m1,258,837
m1,259,834
m1,260,955
m1,261,736
m1,262,585
m1,263,647
m1,264,459
m1,265,943
m1,266,389
m1,267,322
m1,268,686
m1,269,270
m1,270,201
m1,271,762
m1,272,689
m1,273,1044
m1,274,882
m1,275,887
m1,276,733
m1,277,875
m1,278,634
m1,279,617
m1,280,637
m1,281,678
m1,282,848
