plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
0,PASS,"HC_DEEP,HC_SINGLE",4,n0,PASS,2/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
0,PASS,"HC_DEEP,HC_SINGLE",4,n1,PASS,2/5,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
0,PASS,"HC_DEEP,HC_SINGLE",4,n2,PASS,2/5,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
0,PASS,"HC_DEEP,HC_SINGLE",4,n3,PASS,2/5,0,0,3,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
1,SHIFT,,1,n0,SHIFT,147/1000,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
2,HASH,"HC_DEEP,HC_NONINT",5,n0,HASH,1/8,3,3,3,3,3,3,1,1,1,1,0,0,0,0,1,1,3,3,1,0,2,0,3,1,
2,HASH,"HC_DEEP,HC_NONINT",5,n1,HASH,1/13,5,5,5,5,5,5,1,1,1,1,0,0,0,0,1,1,5,5,1,5,5,0,0,0,
2,HASH,"HC_DEEP,HC_NONINT",5,n2,HASH,1/18,7,7,7,7,7,7,1,1,1,1,0,0,0,0,1,1,7,7,1,7,7,0,0,0,
2,HASH,"HC_DEEP,HC_NONINT",5,n3,HASH,1/13,7,7,7,7,7,7,1,1,1,1,0,0,0,0,1,1,7,7,1,5,6,0,2,1,
2,HASH,"HC_DEEP,HC_NONINT",5,n4,HASH,1/16,7,7,7,7,7,7,1,1,1,1,0,0,0,0,1,1,7,7,1,7,7,0,0,0,
3,ADD,,1,n0,ADD,4/25,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
4,SUB,,1,n0,SUB,1/4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
5,THETA,HC_DEEP,6,n0,THETA,35/32,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
5,THETA,HC_DEEP,6,n1,THETA,35/24,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,1,2,0,1,0,
5,THETA,HC_DEEP,6,n2,THETA,35/8,2,1,1,2,2,2,0,0,0,0,0,0,0,0,1,1,2,1,0,1,2,0,0,-1,
5,THETA,HC_DEEP,6,n3,THETA,175/24,3,1,2,3,2,2,0,0,0,1,0,0,0,0,1,1,3,1,0,1,2,0,0,-1,
5,THETA,HC_DEEP,6,n4,THETA,175/96,2,1,2,2,2,2,0,1,0,1,0,0,0,0,1,1,2,1,0,1,2,0,0,-1,
5,THETA,HC_DEEP,6,n5,THETA,35/3,3,2,2,3,2,3,0,0,1,0,0,0,0,0,1,1,3,2,0,1,2,0,1,0,
6,NTHETA,,2,n0,NTHETA,3/4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
6,NTHETA,,2,n1,NTHETA,1/2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
7,AGSE,,1,n0,AGSE,4/5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,4,n0,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,4,n1,REDUCE,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,4,n2,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,4,n3,REDUCE,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9,HC_NONINT,HC_NONINT,3,n0,AGSE,1/32,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,1,0,1,0,1,0,
9,HC_NONINT,HC_NONINT,3,n1,HASH,1/48,2,2,4,2,2,3,1,0,1,0,2,2,2,2,1,1,4,4,1,2,2,0,0,0,
9,HC_NONINT,HC_NONINT,3,n2,HASH,1/80,5,5,9,5,5,8,1,0,1,0,3,3,3,3,1,1,8,8,1,4,5,0,1,0,
10,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n0,PASS,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
10,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n1,SHIFT,4/25,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
10,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n2,HASH,2/25,1,1,2,1,1,1,1,0,1,0,4,4,4,4,1,1,5,5,1,0,1,1,1,0,1
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n0,SUB,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n1,AGSE,1/4,7,3,8,7,3,7,0,0,1,0,1,1,1,1,1,1,8,4,0,0,3,0,3,0,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n2,SHIFT,1/2,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n3,PASS,1/2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n4,HASH,1/4,1,1,2,1,1,1,1,0,1,0,4,4,4,4,1,1,5,5,1,0,1,0,1,0,
12,HC_SINGLE,HC_SINGLE,1,n0,PASS,3/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
13,HC_DEEP,HC_DEEP,6,n0,SUB,3/16,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
13,HC_DEEP,HC_DEEP,6,n1,REDUCE,3/16,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,
13,HC_DEEP,HC_DEEP,6,n2,SUB,1/6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
13,HC_DEEP,HC_DEEP,6,n3,AGSE,1/16,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
13,HC_DEEP,HC_DEEP,6,n4,SHIFT,3/16,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
13,HC_DEEP,HC_DEEP,6,n5,AGSE,3/64,1,1,2,1,1,2,1,0,1,1,3,3,3,3,1,1,4,4,1,0,1,0,1,0,
14,PASS,HC_SINGLE,3,n0,PASS,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
14,PASS,HC_SINGLE,3,n1,PASS,5/8,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
14,PASS,HC_SINGLE,3,n2,PASS,5/8,0,0,3,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
15,SHIFT,HC_SINGLE,2,n0,SHIFT,1/3,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
15,SHIFT,HC_SINGLE,2,n1,SHIFT,1/3,0,0,0,0,0,0,1,1,1,1,11,11,11,11,1,1,11,11,1,0,0,0,0,0,
16,HASH,HC_INT,2,n0,HASH,1/20,1,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
16,HASH,HC_INT,2,n1,HASH,1/30,3,3,5,3,3,4,1,0,1,0,0,0,0,0,1,1,3,3,1,2,3,0,1,0,
17,ADD,HC_DEEP,4,n0,ADD,1/10,2,2,3,2,2,2,1,0,1,0,0,0,0,0,1,1,2,2,1,0,2,0,2,0,
17,ADD,HC_DEEP,4,n1,ADD,1/10,6,6,6,6,6,6,1,1,1,1,0,0,0,0,1,1,6,6,1,0,6,0,6,0,
17,ADD,HC_DEEP,4,n2,ADD,1/10,6,6,7,6,6,6,1,0,1,0,0,0,0,0,1,1,6,6,1,6,6,0,0,0,
17,ADD,HC_DEEP,4,n3,ADD,1/10,6,6,8,6,6,7,1,0,1,0,0,0,0,0,1,1,6,6,1,6,6,0,0,0,
18,SUB,,3,n0,SUB,2/5,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
18,SUB,,3,n1,SUB,5/2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
18,SUB,,3,n2,SUB,16/15,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
19,THETA,,3,n0,THETA,2/5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
19,THETA,,3,n1,THETA,4/5,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
19,THETA,,3,n2,THETA,5/3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
20,NTHETA,HC_DEEP,5,n0,NTHETA,21/40,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
20,NTHETA,HC_DEEP,5,n1,NTHETA,12/25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
20,NTHETA,HC_DEEP,5,n2,NTHETA,9/20,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
20,NTHETA,HC_DEEP,5,n3,NTHETA,3/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
20,NTHETA,HC_DEEP,5,n4,NTHETA,1/2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
21,AGSE,HC_DEEP,4,n0,AGSE,4/3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
21,AGSE,HC_DEEP,4,n1,AGSE,15/8,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
21,AGSE,HC_DEEP,4,n2,AGSE,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
21,AGSE,HC_DEEP,4,n3,AGSE,2/3,0,0,2,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
22,REDUCE,HC_DEEP,6,n0,REDUCE,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
