plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
2412,SUB,HC_DEEP,5,n1,SUB,4/5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2412,SUB,HC_DEEP,5,n2,SUB,3/5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2412,SUB,HC_DEEP,5,n3,SUB,4/5,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
2412,SUB,HC_DEEP,5,n4,SUB,12/5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,
2413,THETA,HC_DEEP,5,n0,THETA,15/16,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
2413,THETA,HC_DEEP,5,n1,THETA,45/32,2,1,2,2,2,2,0,1,0,1,0,0,0,0,1,1,2,1,0,1,2,0,0,-1,
2413,THETA,HC_DEEP,5,n2,THETA,1/12,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
2413,THETA,HC_DEEP,5,n3,THETA,45/16,2,1,1,2,2,2,0,0,0,0,0,0,0,0,1,1,2,1,0,1,2,0,0,-1,
2413,THETA,HC_DEEP,5,n4,THETA,5/6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
2414,NTHETA,HC_DEEP,4,n0,NTHETA,3/10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2414,NTHETA,HC_DEEP,4,n1,NTHETA,2/15,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2414,NTHETA,HC_DEEP,4,n2,NTHETA,1/2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2414,NTHETA,HC_DEEP,4,n3,NTHETA,16/75,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2415,AGSE,HC_DEEP,5,n0,AGSE,1/5,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,1,0,1,0,1,0,
2415,AGSE,HC_DEEP,5,n1,AGSE,2/5,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,0,
2415,AGSE,HC_DEEP,5,n2,AGSE,1/10,3,3,6,3,3,5,1,0,1,0,3,3,3,3,1,1,6,6,1,2,3,0,1,0,
2415,AGSE,HC_DEEP,5,n3,AGSE,6/5,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
2415,AGSE,HC_DEEP,5,n4,AGSE,1/5,1,1,2,1,1,1,1,0,1,0,2,2,2,2,1,1,3,3,1,0,1,0,1,0,
2416,REDUCE,HC_SINGLE,3,n0,REDUCE,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2416,REDUCE,HC_SINGLE,3,n1,REDUCE,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2416,REDUCE,HC_SINGLE,3,n2,REDUCE,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2417,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n0,SHIFT,2/5,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
2417,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n1,PASS,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
2417,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n2,AGSE,1/5,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,1,0,1,0,1,0,
2417,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n3,SUB,6/5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
