family	variant	q	node	unit_weight
F9-R1	natural	8	SUB:m1:shift_A	0.6667
F9-R1	natural	8	SUB:m1:shift_B	0.3333
F9-R1	natural	8	SUB:m2:shift_A	0.6667
F9-R1	natural	8	SUB:m2:shift_B	0.3333
F9-R1	natural	8	SUB:m3:shift_A	0.6667
F9-R1	natural	8	SUB:m3:shift_B	0.3333
F9-R1	natural	8	SUB:m4:shift_A	0.6667
F9-R1	natural	8	SUB:m4:shift_B	0.3333
F9-R1	natural	8	SUB:m5:hash	1.0000
F9-R1	natural	8	SUB:m6:hash	1.0000
F9-R1	natural	8	SUB:m7:hash	1.0000
F9-R1	natural	8	SUB:m8:hash	1.0000
