m8,3,1062
m8,4,741
m8,5,435
m8,6,1015
m8,7,835
m8,8,705
m8,9,994
m8,10,974
m8,11,842
m8,12,532
m8,13,583
m8,14,867
m8,15,344
m8,16,891
m8,17,955
m8,18,969
m8,19,763
m8,20,1020
m8,21,233
m8,22,517
m8,23,612
m8,24,531
m8,25,766
m8,26,1048
m8,27,893
m8,28,805
m8,29,877
m8,30,537
m8,31,1175
m8,32,310
m8,33,312
m8,34,299
m8,35,1150
m8,36,1007
m8,37,428
m8,38,958
m8,39,515
m8,40,845
m8,41,988
m8,42,392
m8,43,781
m8,44,679
m8,45,1183
m8,46,974
m8,47,703
m8,48,1120
m8,49,1208
m8,50,937
m8,51,264
m8,52,78
m8,53,1144
m8,54,976
m8,55,1033
m8,56,409
m8,57,574
m8,58,328
m8,59,479
m8,60,859
m8,61,184
m8,62,786
m8,63,932
m8,64,719
m8,65,1075
m8,66,1210
m8,67,416
m8,68,514
m8,69,807
m8,70,884
m8,71,546
m8,72,831
m8,73,542
m8,74,1020
m8,75,451
m8,76,615
m8,77,996
m8,78,912
m8,79,1063
m8,80,961
m8,81,889
m8,82,802
m8,83,594
m8,84,909
m8,85,1084
m8,86,470
m8,87,1075
m8,88,473
m8,89,1074
m8,90,1035
m8,91,1162
m8,92,1049
m8,93,1287
m8,94,258
m8,95,917
m8,96,786
m8,97,880
m8,98,843
m8,99,999
m8,100,1196
m8,101,940
m8,102,1186
m8,103,926
m8,104,994
m8,105,319
m8,106,1256
m8,107,582
m8,108,453
m8,109,496
m8,110,767
m8,111,1083
m8,112,629
m8,113,1140
m8,114,894
m8,115,435
m8,116,978
m8,117,645
m8,118,1226
m8,119,818
m8,120,1042
m8,121,621
m8,122,204
m8,123,978
m8,124,942
m8,125,1134
m8,126,222
m8,127,359
m8,128,807
m8,129,395
m8,130,405
m8,131,689
m8,132,451
m8,133,1116
m8,134,1263
m8,135,1120
m8,136,1147
m8,137,339
m8,138,621
m8,139,1064
m8,140,293
m8,141,470
m8,142,516
m8,143,1159
m8,144,477
m8,145,1023
m8,146,462
m8,147,194
m8,148,1080
m8,149,1000
m8,150,198
m8,151,777
m8,152,546
