case,profile,rep,scale,f_phi_hz,stream_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W4_Q32,ALGSTRUCT,13,1,15,15,380,0,32478965,36931924,41405716,8886592887,7701333,32677627,37106961,41626426,41626426,21572,945,19175403,50110,32,0,130,1,227,1057,37,1006,31,1122816,1188,599e4a27c1166a2588a4c804713297758ce4cba1b0c2c441c5bea94b7ddbcfd9,514,20368
W4_Q32,OFF,10,1,15,15,380,0,31977978,34166346,34524085,8714651076,539290,32171882,34364457,34747978,34747978,21584,926,9617544,59463,0,0,130,2,260,1058,38,1007,31,1122816,1180,599e4a27c1166a2588a4c804713297758ce4cba1b0c2c441c5bea94b7ddbcfd9,514,20341
W4_Q08,OFF,6,1,15,15,380,0,8011195,8648985,8845072,2205653431,41896,8133516,8786151,8992550,8992550,20404,275,1967816,12777,0,0,34,2,68,266,14,263,31,280704,1180,2b71e341590c0dc06a3c2515d9803ca47e4140c7744bb3279ce46e5a7bfa5f55,130,20067
W4_Q08,ALGSTRUCT,9,1,15,15,380,0,8109229,9516802,11252428,2241986292,62189,8234240,9707395,11453378,11453378,20400,279,2968814,13389,8,0,34,1,59,265,13,262,31,280704,1188,2b71e341590c0dc06a3c2515d9803ca47e4140c7744bb3279ce46e5a7bfa5f55,130,20067
W4_Q32,OFF,15,1,15,15,380,0,31799492,33788420,34654058,8683040127,61306,32017183,33973097,34852878,34852878,21584,922,8330238,62461,0,0,130,2,260,1058,38,1007,31,1122816,1180,599e4a27c1166a2588a4c804713297758ce4cba1b0c2c441c5bea94b7ddbcfd9,514,20214
W4_Q32,OFF,1,1,15,15,380,0,31906283,34362091,34955168,8702188919,911063,32095615,34576102,35148047,35148047,21580,924,8430181,67573,0,0,130,2,260,1058,38,1007,31,1122816,1180,599e4a27c1166a2588a4c804713297758ce4cba1b0c2c441c5bea94b7ddbcfd9,514,20246
W4_Q32,STRUCT_R1,4,1,15,15,380,0,32588123,37289293,42018617,8931892193,8453442,32783603,37489117,42352407,42352407,21572,950,19109869,50779,32,0,130,1,227,1057,37,1006,31,1122816,1188,599e4a27c1166a2588a4c804713297758ce4cba1b0c2c441c5bea94b7ddbcfd9,514,20350
W4_Q32,STRUCT,5,1,15,15,380,0,32771683,35128735,36720373,8910086464,1736067,32967059,35333683,36918554,36918554,21592,950,10690155,64870,0,0,130,2,260,1058,38,1007,31,1122816,1180,599e4a27c1166a2588a4c804713297758ce4cba1b0c2c441c5bea94b7ddbcfd9,514,20346
W4_Q08,STRUCT_R1,13,1,15,15,380,0,8136947,8731950,8993530,2224477172,36114,8259886,8871115,9145515,9145515,20400,277,2931437,12777,8,0,34,1,59,265,13,262,31,280704,1188,2b71e341590c0dc06a3c2515d9803ca47e4140c7744bb3279ce46e5a7bfa5f55,130,20068
W4_Q08,STRUCT,13,1,15,15,380,0,8075391,9792160,11269843,2251675977,49720,8197842,10004936,11453619,11453619,20396,281,2317153,13222,0,0,34,2,68,266,14,263,31,280704,1180,2b71e341590c0dc06a3c2515d9803ca47e4140c7744bb3279ce46e5a7bfa5f55,130,20071
