ts_epoch,load1,mem_used_kb,temp_mC
1785489721,0.50,280320,38946
1785489722,0.50,311372,38459
1785489723,0.50,311368,36998
1785489724,0.50,313444,39433
1785489725,0.70,313764,39433
1785489726,0.70,303620,40894
1785489727,0.70,311708,40407
1785489728,0.70,311256,40407
1785489729,0.70,311008,40894
1785489730,0.88,307992,39433
1785489731,0.88,304088,39920
1785489733,0.88,303508,41381
1785489734,0.88,302016,40407
1785489735,0.88,300304,40407
1785489736,0.97,299980,40894
1785489737,0.97,299528,39920
1785489738,0.97,299036,41868
1785489739,0.97,297808,41868
1785489740,0.97,297116,40407
1785489741,1.21,296788,40407
1785489742,1.21,293832,40407
1785489743,1.21,286768,40407
1785489744,1.21,286748,40894
1785489745,1.28,288260,41381
1785489746,1.28,288576,40894
1785489747,1.28,288048,40894
1785489748,1.28,288300,40894
1785489749,1.28,288700,42355
1785489750,1.17,289772,40407
1785489751,1.17,288988,40407
1785489752,1.17,289592,40407
1785489753,1.17,289628,41381
1785489754,1.17,289792,41868
1785489755,1.40,289020,40407
1785489757,1.40,289908,40894
1785489758,1.40,289512,40894
1785489759,1.40,289820,41868
1785489760,1.40,289656,41381
1785489761,1.45,289316,41868
1785489762,1.45,288860,41381
1785489763,1.45,287968,41381
1785489764,1.45,284284,40894
1785489765,1.45,284576,40407
1785489766,1.41,286200,40894
1785489767,1.41,286316,39920
1785489768,1.41,286524,40407
1785489769,1.41,286216,40407
1785489770,1.38,285580,40407
1785489771,1.38,285632,40894
1785489772,1.38,284804,41381
1785489773,1.38,285396,39920
1785489774,1.38,284700,40894
1785489775,1.35,285276,40894
1785489776,1.35,284696,41381
1785489777,1.35,286060,40894
1785489778,1.35,285704,40894
1785489779,1.35,285972,39920
1785489780,1.24,285872,39920
1785489782,1.24,285868,40894
1785489783,1.24,287072,40407
1785489784,1.24,293932,40894
1785489785,1.24,292496,39920
1785489786,1.14,292452,40894
1785489787,1.14,291816,41381
1785489788,1.14,305548,41381
