plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
527,HC_NONINT,n1,1/100,147/1000,16,0,16,16
527,HC_NONINT,n3,1/3,147/1000,2,0,2,2
534,HASH,n0,2/5,1/5,1,0,1,1
534,HASH,n3,1/5,2/5,2,0,2,2
548,HASH,n0,1/8,2/5,4,0,4,4
555,HC_NONINT,n0,1/16,1/4,4,0,4,4
557,HC_INT,n1,1/5,1/5,1,0,1,1
562,HASH,n0,5/8,1,3,0,3,3
571,HC_INT,n1,1/5,1/10,1,0,1,1
576,HASH,n0,1,1/4,1,0,1,1
576,HASH,n2,1/4,1,4,0,4,4
583,HC_NONINT,n2,1,2/5,2,0,2,2
584,HC_SHIFT_UNDER_HASH,n0,1/4,147/1000,2,0,2,2
585,HC_INT,n0,3/10,1/100,1,0,1,1
585,HC_INT,n1,3/10,1/100,1,0,1,1
587,HC_DEEP,n0,1/4,2/5,3,0,3,3
590,HASH,n0,1/10,1/5,2,0,2,2
597,HC_NONINT,n0,1/5,147/1000,2,0,2,2
599,HC_INT,n0,4/25,1/100,1,0,1,1
601,HC_DEEP,n0,3/8,147/1000,2,0,2,2
604,HASH,n0,1/100,147/1000,16,0,16,16
611,HC_NONINT,n1,1/16,2/5,8,0,8,8
613,HC_INT,n0,1/5,1/5,1,0,1,1
618,HASH,n0,1/10,1/2,5,0,5,5
618,HASH,n2,1/10,1/2,5,0,5,5
625,HC_NONINT,n0,2/5,1/10,1,0,1,1
625,HC_NONINT,n1,2/5,1/10,1,0,1,1
626,HC_SHIFT_UNDER_HASH,n0,1/3,1/16,2,0,2,2
627,HC_INT,n0,1/16,1/4,4,0,4,4
632,HASH,n0,1/10,3/10,3,0,3,3
639,HC_NONINT,n0,3/10,1/2,3,0,3,3
639,HC_NONINT,n2,3/10,1/2,3,0,3,3
646,HASH,n0,1/2,3/10,2,0,2,2
646,HASH,n1,1/3,3/10,2,0,2,2
660,HASH,n0,2/3,2/3,1,0,1,1
660,HASH,n1,2/3,2/3,1,0,1,1
667,HC_NONINT,n2,1/4,1/2,2,0,2,2
669,HC_INT,n0,1/4,1/100,1,0,1,1
669,HC_INT,n3,1/100,1/4,25,0,25,25
674,HASH,n0,2/5,1/2,2,0,2,2
674,HASH,n2,1/2,2/5,2,0,2,2
674,HASH,n3,2/5,1/2,2,0,2,2
681,HC_NONINT,n1,1/16,2/5,8,0,8,8
681,HC_NONINT,n2,1/16,2/5,8,0,8,8
683,HC_INT,n0,1/2,1/16,1,0,1,1
683,HC_INT,n2,1/2,1/16,1,0,1,1
688,HASH,n0,1/5,3/8,3,0,3,3
688,HASH,n1,1/5,3/8,3,0,3,3
695,HC_NONINT,n0,1/16,5/8,10,0,10,10
699,HC_DEEP,n0,3/10,147/1000,2,0,2,2
702,HASH,n0,1,2/3,2,0,2,2
702,HASH,n1,1,2/3,2,0,2,2
709,HC_NONINT,n0,1/4,3/8,2,0,2,2
710,HC_SHIFT_UNDER_HASH,n0,1/5,2/3,4,0,4,4
716,HASH,n0,2/5,2/3,3,0,3,3
716,HASH,n1,2/3,2/5,2,0,2,2
723,HC_NONINT,n1,1/5,2/5,2,0,2,2
724,HC_SHIFT_UNDER_HASH,n1,1/2,1/3,2,0,2,2
730,HASH,n0,4/25,1/3,3,0,3,3
738,HC_SHIFT_UNDER_HASH,n0,147/1000,1,8,0,8,8
744,HASH,n0,4/25,1/5,2,0,2,2
744,HASH,n1,4/25,1/5,2,0,2,2
751,HC_NONINT,n3,1/4,5/8,3,0,3,3
752,HC_SHIFT_UNDER_HASH,n3,4/25,1/16,2,0,2,2
758,HASH,n0,1/3,1/8,2,0,2,2
766,HC_SHIFT_UNDER_HASH,n1,2/5,1/4,2,0,2,2
767,HC_INT,n1,3/8,1/16,1,0,1,1
772,HASH,n0,1/100,3/8,38,0,38,38
772,HASH,n4,3/8,1/100,2,0,2,2
779,HC_NONINT,n0,147/1000,1/3,4,0,4,4
779,HC_NONINT,n2,147/1000,2/5,4,0,4,4
783,HC_DEEP,n2,1/100,1/5,20,0,20,20
783,HC_DEEP,n4,1/5,1/100,1,0,1,1
786,HASH,n0,2/5,5/8,3,0,3,3
786,HASH,n1,2/5,5/8,3,0,3,3
793,HC_NONINT,n1,1/4,4/25,2,0,2,2
795,HC_INT,n1,1/5,1/5,1,0,1,1
800,HASH,n0,1/4,1/100,1,0,1,1
800,HASH,n2,1/2,1/4,1,0,1,1
807,HC_NONINT,n1,4/25,3/10,3,0,3,3
807,HC_NONINT,n5,1/100,4/25,16,0,16,16
