plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
2018,HASH,n0,2/3,1/16,2,0,2,2
2018,HASH,n1,1/16,2/3,12,0,12,12
2032,HASH,n0,2/3,2/5,2,0,2,2
2039,HC_NONINT,n2,1/10,5/8,7,0,7,7
2046,HASH,n0,1/16,1/5,4,0,4,4
2046,HASH,n2,1/16,1/5,4,0,4,4
2053,HC_NONINT,n3,1/2,2/3,2,0,2,2
2055,HC_INT,n2,1/3,1/3,1,0,1,1
2060,HASH,n0,5/8,2/3,2,0,2,2
2067,HC_NONINT,n0,4/25,1/16,2,0,2,2
2068,HC_SHIFT_UNDER_HASH,n0,5/8,1/100,2,0,2,2
2074,HASH,n0,1,1/5,1,0,1,1
2088,HASH,n0,3/8,1/100,2,0,2,2
2095,HC_NONINT,n0,1/100,5/8,63,0,63,63
2102,HASH,n0,1/16,2/5,8,0,8,8
2111,HC_INT,n0,1,1/8,1,0,1,1
2113,HC_DEEP,n0,147/1000,3/10,4,0,4,4
2116,HASH,n0,147/1000,1/3,4,0,4,4
2123,HC_NONINT,n0,1/100,1/10,10,0,10,10
2124,HC_SHIFT_UNDER_HASH,n0,3/10,2/3,4,0,4,4
2125,HC_INT,n0,1,1,1,0,1,1
2130,HASH,n0,1/8,2/5,4,0,4,4
2130,HASH,n2,2/5,1/8,2,0,2,2
2130,HASH,n3,1/8,2/5,4,0,4,4
2137,HC_NONINT,n1,4/25,147/1000,2,0,2,2
2139,HC_INT,n2,1/2,1/4,1,0,1,1
2144,HASH,n0,1/8,1/16,1,0,1,1
2144,HASH,n1,1/16,1/16,1,0,1,1
2151,HC_NONINT,n1,3/8,3/8,1,0,1,1
2158,HASH,n0,1/5,4/25,2,0,2,2
2158,HASH,n1,1/5,4/25,2,0,2,2
2165,HC_NONINT,n1,3/8,1,4,0,4,4
2172,HASH,n0,1/4,2/5,3,0,3,3
2172,HASH,n5,2/3,2/5,2,0,2,2
2180,HC_SHIFT_UNDER_HASH,n0,1/3,1/3,1,0,1,1
2181,HC_INT,n2,3/8,1/16,1,0,1,1
2186,HASH,n0,1/10,2/5,4,0,4,4
2186,HASH,n1,2/5,3/8,2,0,2,2
2186,HASH,n2,2/5,1/10,1,0,1,1
2194,HC_SHIFT_UNDER_HASH,n0,1,1/8,1,0,1,1
2197,HC_DEEP,n0,1,4/25,2,0,2,2
2200,HASH,n0,2/3,1/2,2,0,2,2
2207,HC_NONINT,n0,1/5,4/25,2,0,2,2
2209,HC_INT,n0,1/4,1/16,1,0,1,1
2214,HASH,n0,1/8,1/100,2,0,2,2
2214,HASH,n1,5/8,1/8,1,0,1,1
2221,HC_NONINT,n0,1,4/25,2,0,2,2
2222,HC_SHIFT_UNDER_HASH,n2,1/16,2/3,12,0,12,12
2228,HASH,n0,1/3,1/100,2,0,2,2
2235,HC_NONINT,n0,1/16,1,16,0,16,16
2237,HC_INT,n3,2/3,1/2,2,0,2,2
2242,HASH,n0,4/25,2/3,5,0,5,5
2249,HC_NONINT,n3,1/3,3/8,2,0,2,2
2256,HASH,n0,5/8,1/3,2,0,2,2
2256,HASH,n1,5/8,1/3,2,0,2,2
2263,HC_NONINT,n2,1/3,1,3,0,3,3
2270,HASH,n0,5/8,1/8,1,0,1,1
2277,HC_NONINT,n0,4/25,147/1000,2,0,2,2
2279,HC_INT,n0,3/10,1/100,1,0,1,1
2281,HC_DEEP,n1,4/25,5/8,5,0,5,5
2284,HASH,n0,1/3,4/25,2,0,2,2
2293,HC_INT,n1,1/2,1/8,1,0,1,1
2298,HASH,n0,1/5,1/10,1,0,1,1
2312,HASH,n0,5/8,2/3,2,0,2,2
2319,HC_NONINT,n0,2/3,1/8,2,0,2,2
2326,HASH,n0,2/3,1/8,2,0,2,2
2326,HASH,n1,1/8,2/3,6,0,6,6
2335,HC_INT,n4,1/2,1/4,1,0,1,1
2337,HC_DEEP,n1,1/4,1/10,2,0,2,2
2340,HASH,n0,1,2/5,2,0,2,2
2340,HASH,n2,2/5,1/2,2,0,2,2
2347,HC_NONINT,n0,1/3,1/3,1,0,1,1
2349,HC_INT,n1,1/2,1/4,1,0,1,1
2354,HASH,n0,1/2,1/16,1,0,1,1
2361,HC_NONINT,n0,1/4,1,4,0,4,4
2363,HC_INT,n1,2/5,1/100,1,0,1,1
2368,HASH,n0,1/16,1,16,0,16,16
2368,HASH,n2,1/16,1,16,0,16,16
2375,HC_NONINT,n0,3/8,1/2,2,0,2,2
2379,HC_DEEP,n0,2/3,3/10,2,0,2,2
2382,HASH,n0,147/1000,2/3,6,0,6,6
2382,HASH,n1,147/1000,147/1000,1,0,1,1
2382,HASH,n2,147/1000,147/1000,1,0,1,1
2382,HASH,n3,147/1000,147/1000,1,0,1,1
2396,HASH,n0,1,147/1000,2,0,2,2
2403,HC_NONINT,n1,4/25,3/8,4,0,4,4
2410,HASH,n0,147/1000,1/8,2,0,2,2
2419,HC_INT,n0,1/16,1/16,1,0,1,1
2424,HASH,n0,1/3,1/8,2,0,2,2
2438,HASH,n0,1/10,1/3,4,0,4,4
2447,HC_INT,n1,5/8,5/8,1,0,1,1
2452,HASH,n0,1/2,4/25,2,0,2,2
2452,HASH,n4,1/2,4/25,2,0,2,2
2459,HC_NONINT,n1,1,147/1000,2,0,2,2
2460,HC_SHIFT_UNDER_HASH,n2,1/100,1/5,20,0,20,20
2461,HC_INT,n2,2/3,4/25,2,0,2,2
2466,HASH,n0,5/8,1/8,1,0,1,1
2466,HASH,n1,1/8,5/8,5,0,5,5
2466,HASH,n2,5/8,1/8,1,0,1,1
2480,HASH,n0,1/2,1/5,2,0,2,2
2489,HC_INT,n2,2/3,2/3,1,0,1,1
2494,HASH,n0,1/100,1/100,1,0,1,1
2501,HC_NONINT,n0,3/8,1/5,2,0,2,2
2502,HC_SHIFT_UNDER_HASH,n1,5/8,147/1000,2,0,2,2
2505,HC_DEEP,n1,3/10,3/8,2,0,2,2
2505,HC_DEEP,n2,3/8,3/10,2,0,2,2
2508,HASH,n0,2/3,2/3,1,0,1,1
2508,HASH,n1,2/3,1/10,2,0,2,2
2508,HASH,n3,2/3,1/10,2,0,2,2
2522,HASH,n0,2/5,1/5,1,0,1,1
2529,HC_NONINT,n1,1/100,5/8,63,0,63,63
2533,HC_DEEP,n0,1/10,1/5,2,0,2,2
2536,HASH,n0,4/25,1/16,2,0,2,2
2543,HC_NONINT,n4,1/100,1/4,25,0,25,25
2550,HASH,n0,5/8,147/1000,2,0,2,2
2550,HASH,n1,147/1000,5/8,6,0,6,6
2557,HC_NONINT,n0,147/1000,2/3,6,0,6,6
2558,HC_SHIFT_UNDER_HASH,n0,1/100,147/1000,16,0,16,16
2559,HC_INT,n0,3/10,1/100,1,0,1,1
2564,HASH,n0,1/4,1,4,0,4,4
2564,HASH,n5,1,1/4,1,0,1,1
2571,HC_NONINT,n1,2/3,1/2,2,0,2,2
2578,HASH,n0,1/100,3/8,38,0,38,38
2578,HASH,n1,3/8,1/100,2,0,2,2
2578,HASH,n2,1/100,3/8,38,0,38,38
2578,HASH,n5,1/100,3/8,38,0,38,38
2586,HC_SHIFT_UNDER_HASH,n1,1/5,1/8,2,0,2,2
2587,HC_INT,n0,3/8,1/8,1,0,1,1
2592,HASH,n0,2/3,1/10,2,0,2,2
2592,HASH,n2,2/3,1/10,2,0,2,2
2601,HC_INT,n1,1,1/100,1,0,1,1
2606,HASH,n0,1/5,1,5,0,5,5
2606,HASH,n2,1/5,1,5,0,5,5
2613,HC_NONINT,n0,1/8,1/10,2,0,2,2
2620,HASH,n0,2/5,2/5,1,0,1,1
2627,HC_NONINT,n0,2/3,3/10,2,0,2,2
2634,HASH,n0,147/1000,1/4,3,0,3,3
2634,HASH,n1,147/1000,1/4,3,0,3,3
2641,HC_NONINT,n0,4/25,1/16,2,0,2,2
2642,HC_SHIFT_UNDER_HASH,n0,3/10,1,4,0,4,4
2645,HC_DEEP,n3,3/8,3/8,1,0,1,1
2648,HASH,n0,1/4,5/8,3,0,3,3
2655,HC_NONINT,n0,2/5,1,3,0,3,3
2655,HC_NONINT,n1,1,2/5,2,0,2,2
2662,HASH,n0,1/100,2/5,40,0,40,40
2669,HC_NONINT,n2,1/3,1/2,2,0,2,2
2676,HASH,n0,3/8,4/25,2,0,2,2
2676,HASH,n1,4/25,3/8,4,0,4,4
2685,HC_INT,n1,1/10,1/100,1,0,1,1
2690,HASH,n0,2/3,5/8,2,0,2,2
2697,HC_NONINT,n1,4/25,1/5,2,0,2,2
2699,HC_INT,n0,2/3,1/3,1,0,1,1
2704,HASH,n0,1/100,1/5,20,0,20,20
2704,HASH,n2,1/100,1/16,7,0,7,7
2711,HC_NONINT,n0,1/8,3/8,3,0,3,3
2713,HC_INT,n0,1/8,1/3,4,0,4,4
2718,HASH,n0,147/1000,2/3,6,0,6,6
2718,HASH,n2,147/1000,2/3,6,0,6,6
2725,HC_NONINT,n1,1/8,2/5,4,0,4,4
2729,HC_DEEP,n2,2/5,1/16,2,0,2,2
2732,HASH,n0,1/10,2/5,4,0,4,4
2739,HC_NONINT,n0,1/4,2/3,4,0,4,4
2746,HASH,n0,1/3,5/8,3,0,3,3
2753,HC_NONINT,n2,1/10,1/5,2,0,2,2
2760,HASH,n0,1/3,1/5,2,0,2,2
2767,HC_NONINT,n0,1/8,2/3,6,0,6,6
2774,HASH,n0,1/10,1,10,0,10,10
2774,HASH,n1,1/10,1,10,0,10,10
2785,HC_DEEP,n2,1/4,1/2,2,0,2,2
2788,HASH,n0,1/8,1/8,1,0,1,1
2796,HC_SHIFT_UNDER_HASH,n1,2/5,3/8,2,0,2,2
2802,HASH,n0,5/8,1/100,2,0,2,2
2811,HC_INT,n0,1/2,1/5,2,0,2,2
2816,HASH,n0,5/8,1,3,0,3,3
2816,HASH,n1,5/8,1,3,0,3,3
2816,HASH,n2,5/8,1,3,0,3,3
2823,HC_NONINT,n0,1/3,3/8,2,0,2,2
2830,HASH,n0,3/10,1/16,2,0,2,2
2830,HASH,n1,1/16,3/10,6,0,6,6
2830,HASH,n2,1/16,3/10,6,0,6,6
2837,HC_NONINT,n0,1/100,1,100,0,100,100
2839,HC_INT,n1,1/4,5/8,3,0,3,3
2844,HASH,n0,1/8,2/3,6,0,6,6
2844,HASH,n1,1/8,2/3,6,0,6,6
2844,HASH,n2,1/8,2/3,6,0,6,6
2851,HC_NONINT,n1,3/8,1/3,2,0,2,2
2858,HASH,n0,1/5,1/100,1,0,1,1
2865,HC_NONINT,n1,1/5,147/1000,2,0,2,2
2872,HASH,n0,4/25,2/3,5,0,5,5
2879,HC_NONINT,n0,1/100,147/1000,16,0,16,16
2881,HC_INT,n2,2/5,1/4,2,0,2,2
2886,HASH,n0,1/2,3/8,2,0,2,2
2886,HASH,n1,1/2,1/10,1,0,1,1
2893,HC_NONINT,n0,1/3,1/5,2,0,2,2
2893,HC_NONINT,n4,1/5,1/3,3,0,3,3
2895,HC_INT,n0,1,1/5,1,0,1,1
2900,HASH,n0,1/4,1/4,1,0,1,1
2907,HC_NONINT,n0,1/10,2/5,4,0,4,4
2908,HC_SHIFT_UNDER_HASH,n0,5/8,1,3,0,3,3
2908,HC_SHIFT_UNDER_HASH,n3,5/8,5/8,1,0,1,1
2909,HC_INT,n0,2/5,1/10,1,0,1,1
2914,HASH,n0,1/100,1/5,20,0,20,20
2914,HASH,n1,1/100,1/5,20,0,20,20
2921,HC_NONINT,n0,2/5,4/25,2,0,2,2
2923,HC_INT,n0,147/1000,3/10,4,0,4,4
2928,HASH,n0,1/8,2/5,4,0,4,4
2935,HC_NONINT,n1,2/3,1/10,2,0,2,2
2942,HASH,n0,3/8,1/100,2,0,2,2
2956,HASH,n0,1,1/2,1,0,1,1
2963,HC_NONINT,n0,5/8,1/3,2,0,2,2
2967,HC_DEEP,n3,147/1000,1/16,2,0,2,2
2970,HASH,n0,1/3,147/1000,2,0,2,2
2977,HC_NONINT,n0,1/5,147/1000,2,0,2,2
2984,HASH,n0,2/5,5/8,3,0,3,3
2984,HASH,n1,2/5,5/8,3,0,3,3
2993,HC_INT,n1,3/8,1/16,1,0,1,1
2998,HASH,n0,1/2,2/5,2,0,2,2
3005,HC_NONINT,n0,1/5,1,5,0,5,5
3006,HC_SHIFT_UNDER_HASH,n0,1/100,1,100,0,100,100
3007,HC_INT,n0,1/100,2/5,40,0,40,40
3012,HASH,n0,1/100,5/8,63,0,63,63
3021,HC_INT,n0,3/10,1/10,1,0,1,1
3026,HASH,n0,2/3,147/1000,2,0,2,2
3033,HC_NONINT,n0,4/25,3/10,3,0,3,3
3033,HC_NONINT,n1,4/25,3/10,3,0,3,3
3035,HC_INT,n1,2/3,1/5,2,0,2,2
3040,HASH,n0,1/8,3/10,4,0,4,4
3040,HASH,n1,1/8,1/8,1,0,1,1
3040,HASH,n2,1/8,1/8,1,0,1,1
3047,HC_NONINT,n0,3/10,1/100,1,0,1,1
3049,HC_INT,n0,1/2,1/100,1,0,1,1
3054,HASH,n0,1/4,2/3,4,0,4,4
3061,HC_NONINT,n2,2/5,2/3,3,0,3,3
3062,HC_SHIFT_UNDER_HASH,n0,4/25,1/16,2,0,2,2
3068,HASH,n0,3/10,4/25,2,0,2,2
3075,HC_NONINT,n0,147/1000,1/2,5,0,5,5
3082,HASH,n0,1/10,4/25,3,0,3,3
3082,HASH,n2,4/25,4/25,1,0,1,1
3089,HC_NONINT,n2,1/16,1/4,4,0,4,4
3091,HC_INT,n0,1/4,1/16,1,0,1,1
3096,HASH,n0,2/3,1,2,0,2,2
3096,HASH,n2,2/3,1,2,0,2,2
3103,HC_NONINT,n0,5/8,2/5,2,0,2,2
3110,HASH,n0,1,1/4,1,0,1,1
3110,HASH,n1,1,1/4,1,0,1,1
3110,HASH,n2,1/4,1,4,0,4,4
3117,HC_NONINT,n0,1/16,1/4,4,0,4,4
3124,HASH,n0,4/25,2/3,5,0,5,5
3124,HASH,n1,2/3,4/25,2,0,2,2
3138,HASH,n0,1/10,1,10,0,10,10
3145,HC_NONINT,n2,147/1000,1/100,2,0,2,2
3147,HC_INT,n0,1/16,1/16,1,0,1,1
3152,HASH,n0,1/5,1/100,1,0,1,1
3152,HASH,n1,1/100,1/5,20,0,20,20
3159,HC_NONINT,n1,4/25,1,7,0,7,7
3161,HC_INT,n1,2/3,1/4,2,0,2,2
3166,HASH,n0,1/5,1/4,2,0,2,2
3173,HC_NONINT,n0,1/5,3/10,2,0,2,2
3177,HC_DEEP,n1,147/1000,1/8,2,0,2,2
3180,HASH,n0,3/10,1/2,3,0,3,3
3187,HC_NONINT,n0,2/3,5/8,2,0,2,2
3191,HC_DEEP,n2,1/3,1,3,0,3,3
3194,HASH,n0,1/8,1/2,4,0,4,4
3194,HASH,n1,1/8,1/2,4,0,4,4
3201,HC_NONINT,n1,1/2,4/25,2,0,2,2
3201,HC_NONINT,n3,1/2,5/8,2,0,2,2
3208,HASH,n0,1/16,3/10,6,0,6,6
3208,HASH,n1,1/16,3/10,6,0,6,6
3215,HC_NONINT,n1,1/8,3/8,3,0,3,3
3222,HASH,n0,1,2/3,2,0,2,2
3229,HC_NONINT,n0,2/3,1/5,2,0,2,2
3236,HASH,n0,1/16,1,16,0,16,16
3236,HASH,n1,1,1/16,1,0,1,1
3243,HC_NONINT,n0,1/10,1,10,0,10,10
3244,HC_SHIFT_UNDER_HASH,n0,1/3,147/1000,2,0,2,2
3247,HC_DEEP,n0,147/1000,147/1000,1,0,1,1
3250,HASH,n0,3/10,1/16,2,0,2,2
3250,HASH,n1,1/16,3/10,6,0,6,6
3250,HASH,n2,1/16,3/10,6,0,6,6
3257,HC_NONINT,n0,1/8,1/8,1,0,1,1
3257,HC_NONINT,n1,1/8,1/8,1,0,1,1
3258,HC_SHIFT_UNDER_HASH,n1,5/8,1/16,1,0,1,1
3261,HC_DEEP,n0,1/3,5/8,3,0,3,3
3264,HASH,n0,5/8,1/16,1,0,1,1
3271,HC_NONINT,n0,3/10,2/3,4,0,4,4
3272,HC_SHIFT_UNDER_HASH,n1,1/8,147/1000,3,0,3,3
3273,HC_INT,n1,4/25,4/25,1,0,1,1
3278,HASH,n0,1/8,1/4,2,0,2,2
3285,HC_NONINT,n0,2/3,1/5,2,0,2,2
3287,HC_INT,n0,3/8,2/5,2,0,2,2
3287,HC_INT,n1,3/8,2/5,2,0,2,2
3292,HASH,n0,1/4,1/2,2,0,2,2
3292,HASH,n2,1/4,1/2,2,0,2,2
3292,HASH,n4,1/4,1/3,2,0,2,2
3299,HC_NONINT,n1,2/3,1/16,2,0,2,2
3306,HASH,n0,4/25,1/16,2,0,2,2
3313,HC_NONINT,n0,5/8,1,3,0,3,3
3313,HC_NONINT,n1,1,5/8,2,0,2,2
3314,HC_SHIFT_UNDER_HASH,n0,4/25,2/5,3,0,3,3
3320,HASH,n0,1/5,1,5,0,5,5
3327,HC_NONINT,n0,3/10,3/10,1,0,1,1
3328,HC_SHIFT_UNDER_HASH,n0,1/100,3/8,38,0,38,38
3329,HC_INT,n0,1/3,1/3,1,0,1,1
3334,HASH,n0,147/1000,1/5,3,0,3,3
3334,HASH,n1,147/1000,2/5,4,0,4,4
3348,HASH,n0,1/4,3/10,2,0,2,2
3357,HC_INT,n0,147/1000,4/25,3,0,3,3
3357,HC_INT,n1,147/1000,4/25,3,0,3,3
3359,HC_DEEP,n0,3/8,2/3,3,0,3,3
3362,HASH,n0,1/5,1/5,1,0,1,1
3362,HASH,n2,1/5,1/5,1,0,1,1
3373,HC_DEEP,n0,1/2,1/2,1,0,1,1
3376,HASH,n0,4/25,1/3,3,0,3,3
3383,HC_NONINT,n0,2/3,1/8,2,0,2,2
3385,HC_INT,n0,1/2,1/16,1,0,1,1
3390,HASH,n0,2/5,2/3,3,0,3,3
3404,HASH,n0,1/5,2/5,2,0,2,2
3413,HC_INT,n0,1,1,1,0,1,1
3415,HC_DEEP,n1,1/10,2/5,4,0,4,4
3415,HC_DEEP,n2,3/8,1/10,2,0,2,2
3415,HC_DEEP,n5,1/10,3/8,5,0,5,5
3418,HASH,n0,1/2,1/8,1,0,1,1
3418,HASH,n1,1/2,1/8,1,0,1,1
3418,HASH,n2,1/8,2/5,4,0,4,4
3425,HC_NONINT,n0,5/8,147/1000,2,0,2,2
3427,HC_INT,n0,1,1,1,0,1,1
3432,HASH,n0,147/1000,5/8,6,0,6,6
3432,HASH,n1,5/8,147/1000,2,0,2,2
3439,HC_NONINT,n0,1/4,2/5,3,0,3,3
3440,HC_SHIFT_UNDER_HASH,n2,3/10,147/1000,2,0,2,2
3446,HASH,n0,1,3/8,2,0,2,2
3446,HASH,n1,3/8,1/5,2,0,2,2
3453,HC_NONINT,n2,1/2,1/3,2,0,2,2
3454,HC_SHIFT_UNDER_HASH,n0,2/5,1/4,2,0,2,2
3460,HASH,n0,3/8,1/5,2,0,2,2
3460,HASH,n2,3/8,1/3,2,0,2,2
3468,HC_SHIFT_UNDER_HASH,n0,4/25,3/8,4,0,4,4
3469,HC_INT,n2,1,1/10,1,0,1,1
3471,HC_DEEP,n3,3/10,1/16,2,0,2,2
3474,HASH,n0,2/3,1,2,0,2,2
3488,HASH,n0,4/25,3/8,4,0,4,4
3497,HC_INT,n0,1/8,1,8,0,8,8
3502,HASH,n0,1/10,1/8,2,0,2,2
3511,HC_INT,n0,1/10,1/10,1,0,1,1
3516,HASH,n0,1/10,1/3,4,0,4,4
3523,HC_NONINT,n0,1/4,3/10,2,0,2,2
3525,HC_INT,n1,3/10,1/100,1,0,1,1
3530,HASH,n0,2/5,147/1000,2,0,2,2
3539,HC_INT,n0,1/2,1/8,1,0,1,1
3544,HASH,n0,4/25,2/3,5,0,5,5
3551,HC_NONINT,n0,1/2,147/1000,2,0,2,2
3552,HC_SHIFT_UNDER_HASH,n0,1/8,3/10,4,0,4,4
3558,HASH,n0,1/100,1/8,13,0,13,13
3558,HASH,n1,1/100,1/8,13,0,13,13
3558,HASH,n3,2/5,1/8,2,0,2,2
3565,HC_NONINT,n0,1/4,5/8,3,0,3,3
3567,HC_INT,n4,1/4,1/100,1,0,1,1
3572,HASH,n0,1/2,4/25,2,0,2,2
3572,HASH,n1,1/2,2/5,2,0,2,2
3581,HC_INT,n0,2/5,1/100,1,0,1,1
3586,HASH,n0,1/10,1,10,0,10,10
3600,HASH,n0,147/1000,1/100,2,0,2,2
3600,HASH,n1,1/100,147/1000,16,0,16,16
3609,HC_INT,n0,1,1/5,1,0,1,1
3614,HASH,n0,147/1000,147/1000,1,0,1,1
3614,HASH,n1,147/1000,147/1000,1,0,1,1
3621,HC_NONINT,n1,1/100,1/3,34,0,34,34
3623,HC_INT,n1,2/3,1/3,1,0,1,1
3628,HASH,n0,1/8,1/3,4,0,4,4
3635,HC_NONINT,n0,1/8,1/3,4,0,4,4
3637,HC_INT,n0,4/25,1/100,1,0,1,1
3642,HASH,n0,2/3,3/10,2,0,2,2
3651,HC_INT,n0,147/1000,147/1000,1,0,1,1
3653,HC_DEEP,n1,1/3,1/16,2,0,2,2
3656,HASH,n0,1/8,2/5,4,0,4,4
3663,HC_NONINT,n1,1/100,1/16,7,0,7,7
3665,HC_INT,n0,1/8,1,8,0,8,8
3670,HASH,n0,1/16,147/1000,4,0,4,4
3677,HC_NONINT,n1,1/3,2/3,2,0,2,2
3684,HASH,n0,1/5,4/25,2,0,2,2
3691,HC_NONINT,n1,1/16,147/1000,4,0,4,4
3692,HC_SHIFT_UNDER_HASH,n0,1/8,2/5,4,0,4,4
3698,HASH,n0,1,1,1,0,1,1
3705,HC_NONINT,n0,5/8,1/4,2,0,2,2
3712,HASH,n0,1,1/2,1,0,1,1
3719,HC_NONINT,n0,147/1000,2/3,6,0,6,6
3721,HC_INT,n0,4/25,4/25,1,0,1,1
3726,HASH,n0,4/25,2/3,5,0,5,5
3726,HASH,n2,2/3,4/25,2,0,2,2
3733,HC_NONINT,n1,3/10,1/3,2,0,2,2
3740,HASH,n0,3/10,1/5,2,0,2,2
3740,HASH,n1,1/5,3/10,2,0,2,2
3754,HASH,n0,3/10,3/8,2,0,2,2
3761,HC_NONINT,n2,1/2,147/1000,2,0,2,2
3762,HC_SHIFT_UNDER_HASH,n3,2/5,4/25,2,0,2,2
3768,HASH,n0,1/16,5/8,10,0,10,10
3777,HC_INT,n1,1/100,4/25,16,0,16,16
3782,HASH,n0,1/4,1/4,1,0,1,1
3796,HASH,n0,1/5,5/8,4,0,4,4
3803,HC_NONINT,n0,1/16,1/2,8,0,8,8
3804,HC_SHIFT_UNDER_HASH,n0,2/3,4/25,2,0,2,2
3810,HASH,n0,1/5,1/3,3,0,3,3
3817,HC_NONINT,n0,2/5,1/3,2,0,2,2
3824,HASH,n0,1/8,1/2,4,0,4,4
3832,HC_SHIFT_UNDER_HASH,n0,1/8,2/3,6,0,6,6
3833,HC_INT,n0,1,1/10,1,0,1,1
3838,HASH,n0,1/10,3/8,5,0,5,5
3838,HASH,n1,1/10,3/8,5,0,5,5
3845,HC_NONINT,n1,2/5,4/25,2,0,2,2
3852,HASH,n0,1/10,1/4,3,0,3,3
3859,HC_NONINT,n2,2/3,2/5,2,0,2,2
3861,HC_INT,n1,1,1/5,1,0,1,1
3866,HASH,n0,147/1000,1/3,4,0,4,4
3873,HC_NONINT,n0,1/100,1/4,25,0,25,25
3880,HASH,n0,1/3,147/1000,2,0,2,2
3880,HASH,n1,147/1000,1/3,4,0,4,4
3891,HC_DEEP,n2,1/8,3/10,4,0,4,4
3894,HASH,n0,3/10,1/16,2,0,2,2
3894,HASH,n1,1/5,3/10,2,0,2,2
3901,HC_NONINT,n0,3/8,1/5,2,0,2,2
3908,HASH,n0,1/100,147/1000,16,0,16,16
3916,HC_SHIFT_UNDER_HASH,n0,5/8,1/16,1,0,1,1
3916,HC_SHIFT_UNDER_HASH,n1,1/16,5/8,10,0,10,10
3922,HASH,n0,1/8,1,8,0,8,8
3929,HC_NONINT,n1,1/10,1/2,5,0,5,5
3931,HC_INT,n1,2/3,1/3,1,0,1,1
3936,HASH,n0,3/10,147/1000,2,0,2,2
3943,HC_NONINT,n1,147/1000,2/5,4,0,4,4
3944,HC_SHIFT_UNDER_HASH,n1,1/4,1/100,1,0,1,1
3945,HC_INT,n3,1,1/16,1,0,1,1
3950,HASH,n0,2/5,3/10,2,0,2,2
3957,HC_NONINT,n1,147/1000,2/3,6,0,6,6
3961,HC_DEEP,n1,1/2,1/4,1,0,1,1
3964,HASH,n0,1/8,1/16,1,0,1,1
3971,HC_NONINT,n3,1/3,5/8,3,0,3,3
3973,HC_INT,n4,3/8,1/8,1,0,1,1
3978,HASH,n0,1/4,1/10,2,0,2,2
3985,HC_NONINT,n1,2/5,1/3,2,0,2,2
3987,HC_INT,n0,1,1/8,1,0,1,1
3992,HASH,n0,2/5,1/10,1,0,1,1
3992,HASH,n1,2/5,1/10,1,0,1,1
4001,HC_INT,n0,1/10,1,10,0,10,10
4006,HASH,n0,147/1000,1/100,2,0,2,2
4013,HC_NONINT,n0,1/16,1/5,4,0,4,4
4015,HC_INT,n0,1,1,1,0,1,1
4020,HASH,n0,1/100,4/25,16,0,16,16
4027,HC_NONINT,n0,1/5,2/5,2,0,2,2
4028,HC_SHIFT_UNDER_HASH,n2,1/8,1/2,4,0,4,4
4034,HASH,n0,1/3,3/8,2,0,2,2
4041,HC_NONINT,n2,2/3,1/100,2,0,2,2
4048,HASH,n0,1/8,2/5,4,0,4,4
4048,HASH,n1,2/5,1/8,2,0,2,2
4055,HC_NONINT,n0,1/8,147/1000,3,0,3,3
4056,HC_SHIFT_UNDER_HASH,n0,3/8,1/3,2,0,2,2
4062,HASH,n0,2/3,5/8,2,0,2,2
4069,HC_NONINT,n1,4/25,5/8,5,0,5,5
4069,HC_NONINT,n2,4/25,1/5,2,0,2,2
4070,HC_SHIFT_UNDER_HASH,n5,4/25,1/16,2,0,2,2
4073,HC_DEEP,n1,1/8,3/8,3,0,3,3
4076,HASH,n0,147/1000,4/25,3,0,3,3
4076,HASH,n1,1/10,4/25,3,0,3,3
4083,HC_NONINT,n2,1/4,1/3,2,0,2,2
4085,HC_INT,n0,1/5,1/100,1,0,1,1
4087,HC_DEEP,n4,1/10,147/1000,3,0,3,3
4090,HASH,n0,2/5,147/1000,2,0,2,2
4090,HASH,n1,147/1000,1/16,2,0,2,2
4097,HC_NONINT,n0,1/5,1/2,3,0,3,3
4104,HASH,n0,1/3,1/8,2,0,2,2
4111,HC_NONINT,n1,2/3,3/10,2,0,2,2
4111,HC_NONINT,n2,1/5,2/3,4,0,4,4
4118,HASH,n0,5/8,1/3,2,0,2,2
4125,HC_NONINT,n0,3/8,1/10,2,0,2,2
4127,HC_INT,n0,3/8,1/16,1,0,1,1
4132,HASH,n0,5/8,1/3,2,0,2,2
4139,HC_NONINT,n1,5/8,2/5,2,0,2,2
4146,HASH,n0,1,3/10,2,0,2,2
4155,HC_INT,n1,1/5,1/10,1,0,1,1
4155,HC_INT,n3,1/5,1/10,1,0,1,1
4157,HC_DEEP,n0,1,1/2,1,0,1,1
4160,HASH,n0,3/10,2/5,2,0,2,2
4160,HASH,n1,2/5,3/10,2,0,2,2
4167,HC_NONINT,n0,2/5,1,3,0,3,3
4167,HC_NONINT,n1,2/5,1,3,0,3,3
4174,HASH,n0,1/4,1/100,1,0,1,1
4174,HASH,n1,1/100,1/4,25,0,25,25
4181,HC_NONINT,n2,1/3,1/8,2,0,2,2
4188,HASH,n0,3/10,3/10,1,0,1,1
4202,HASH,n0,1/2,2/5,2,0,2,2
4210,HC_SHIFT_UNDER_HASH,n0,1/8,1/5,3,0,3,3
4210,HC_SHIFT_UNDER_HASH,n1,1/5,1/8,2,0,2,2
4211,HC_INT,n0,2/3,2/3,1,0,1,1
4211,HC_INT,n4,2/3,2/3,1,0,1,1
