case,profile,rep,scale,f_phi_hz,stream_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q08,STRUCT,5,12,180,180,1368,0,606013,880548,908973,733891345,35242,679694,1014441,1039267,1040794,20692,103,577570,1721,0,0,10,2,28,10,6,15,4,34368,4300,9df4790b0af0e849a728cc3987eda0b5404032511ee96b39506d7a0f8efeedcb,34,6081
W2_Q01,STRUCT_R1,8,12,180,180,1368,0,132406,263164,288664,178614710,45604,194730,385258,403504,407865,20696,45,275016,1315,1,0,3,1,5,2,5,14,4,4296,4308,a93ec5bd5c4869b79751e590f6ed40e23df83b6930a6e2918c812ebb13074d34,6,6073
W2_Q01,OFF,12,12,180,180,1368,0,126443,325220,338368,188158717,42097,173709,446316,462861,463733,20696,47,194296,1795,0,0,3,2,7,3,6,15,4,4296,4300,a93ec5bd5c4869b79751e590f6ed40e23df83b6930a6e2918c812ebb13074d34,6,6070
W2_Q08,STRUCT_R1,3,12,180,180,1368,0,636808,816936,968825,712052016,35836,703850,944896,981648,1102471,20696,100,582181,1610,8,0,10,1,19,9,5,14,4,34368,4308,9df4790b0af0e849a728cc3987eda0b5404032511ee96b39506d7a0f8efeedcb,34,6079
W2_Q08,STRUCT_R1,10,12,180,180,1368,0,635216,807363,867677,709162751,37931,701863,930534,977008,986452,20696,101,581143,1648,8,0,10,1,19,9,5,14,4,34368,4308,9df4790b0af0e849a728cc3987eda0b5404032511ee96b39506d7a0f8efeedcb,34,6078
W2_Q01,STRUCT_R1,10,12,180,180,1368,0,132073,268442,290127,178377030,49249,194126,389575,401479,413524,20696,46,275607,1353,1,0,3,1,5,2,5,14,4,4296,4308,a93ec5bd5c4869b79751e590f6ed40e23df83b6930a6e2918c812ebb13074d34,6,6070
W2_Q08,STRUCT,6,12,180,180,1368,0,606087,888251,950695,735505020,43434,679179,1015316,1036074,1064963,20700,104,577717,1907,0,0,10,2,28,10,6,15,4,34368,4300,9df4790b0af0e849a728cc3987eda0b5404032511ee96b39506d7a0f8efeedcb,34,6080
W2_Q08,STRUCT,7,12,180,180,1368,0,612596,884880,978898,735862641,45299,677093,1013499,1061705,1067691,20696,103,569126,1999,0,0,10,2,28,10,6,15,4,34368,4300,9df4790b0af0e849a728cc3987eda0b5404032511ee96b39506d7a0f8efeedcb,34,6076
W2_Q01,STRUCT,1,12,180,180,1368,0,126221,335015,383256,191214817,37411,175773,458898,474822,483806,20696,47,260219,1482,0,0,3,2,7,3,6,15,4,4296,4300,a93ec5bd5c4869b79751e590f6ed40e23df83b6930a6e2918c812ebb13074d34,6,6071
W2_Q32,STRUCT_R1,15,12,180,180,1368,0,2412718,2738456,2840751,2569262065,37182,2500331,2888881,2951799,2981042,20824,294,2215869,3018,32,0,34,1,67,33,5,14,4,137472,4308,3a226855509460ff7e0ee51b9f2c7825d4509bcd71223443e523f30986cb9841,130,6109
