case,profile,rep,scale,f_phi_hz,stream_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W9_Q32,STRUCT,7,12,180,120,912,0,3159736,3585709,3951858,2903953003,50402,3337717,3799270,4103443,4188317,21120,353,5971177,13388,0,0,34,2,38,608,4,4,1,1964032,122752,d8119e17309857f06996c108f87b59a65aec0d13a7485241204db10fe05d5b0f,130,8281
W9_Q32,OFF,6,12,180,120,912,0,3437135,4809322,5384045,3123631888,102257,3584298,5066747,5652877,5795502,21156,378,4193341,13684,0,0,34,0,96,1536,4,4,1,1964032,0,d8119e17309857f06996c108f87b59a65aec0d13a7485241204db10fe05d5b0f,130,8260
W9_Q32,ALGSTRUCT,13,12,180,120,912,0,3014958,3438264,3654060,2784007633,36288,3184183,3571164,3826790,3867957,21112,337,5848841,13667,0,16,34,1,35,560,4,4,1,1964032,61376,d8119e17309857f06996c108f87b59a65aec0d13a7485241204db10fe05d5b0f,130,8264
W9_Q08,ALGSTRUCT,10,12,180,120,912,0,822788,1031502,1078724,776255639,40550,959661,1208604,1249673,1260146,20832,120,1484168,6223,0,4,10,1,11,176,4,4,1,491008,61376,654b169e14c84c328d08a7bbe8e7d462bba7e145137aced7c79701fd4eacd310,34,8089
W9_Q08,ALGSTRUCT,1,12,180,120,912,0,817418,1012817,1085057,776798138,40845,954033,1203026,1237167,1287537,20832,121,1484410,5925,0,4,10,1,11,176,4,4,1,491008,61376,654b169e14c84c328d08a7bbe8e7d462bba7e145137aced7c79701fd4eacd310,34,8091
W9_Q08,STRUCT,1,12,180,120,912,0,926251,1371410,1771206,866452945,92906,1063128,1605255,1935890,2139426,20824,130,1594595,7259,0,0,10,2,14,224,4,4,1,491008,122752,654b169e14c84c328d08a7bbe8e7d462bba7e145137aced7c79701fd4eacd310,34,8094
W9_Q32,STRUCT_R2,12,12,180,120,912,0,3060966,3336837,3660894,2801971715,41177,3228126,3557780,3858906,3862503,21108,340,5836266,13390,0,16,34,1,35,560,4,4,1,1964032,61376,d8119e17309857f06996c108f87b59a65aec0d13a7485241204db10fe05d5b0f,130,8264
W9_Q32,STRUCT_R2,4,12,180,120,912,0,2960652,3321634,3526115,2736199541,45340,3131596,3532460,3730407,3735434,21100,334,5057952,12629,0,16,34,1,35,560,4,4,1,1964032,61376,d8119e17309857f06996c108f87b59a65aec0d13a7485241204db10fe05d5b0f,130,8147
W9_Q32,STRUCT_R2,11,12,180,120,912,0,2952994,3348968,3657727,2734470445,40823,3123855,3554360,3823385,3889283,21104,334,5036489,13388,0,16,34,1,35,560,4,4,1,1964032,61376,d8119e17309857f06996c108f87b59a65aec0d13a7485241204db10fe05d5b0f,130,8149
W9_Q32,STRUCT_R2,7,12,180,120,912,0,2966448,3319004,3555245,2740617140,62222,3138740,3499423,3765650,3778038,21100,335,5461636,17445,0,16,34,1,35,560,4,4,1,1964032,61376,d8119e17309857f06996c108f87b59a65aec0d13a7485241204db10fe05d5b0f,130,8170
