ts_epoch,load1,mem_used_kb,temp_mC
1785523501,0.77,274564,34076
1785523502,0.77,299524,33589
1785523503,0.77,299524,34076
1785523504,0.77,299988,34076
1785523505,0.79,298836,34076
1785523507,0.79,297248,33589
1785523508,0.79,304456,35050
1785523509,0.79,303980,34563
1785523510,0.79,302536,34563
1785523511,0.80,298064,34076
1785523512,0.80,316492,34563
1785523513,0.80,329984,35050
1785523514,0.80,328876,34563
1785523515,0.80,326732,35050
1785523516,0.90,323748,35050
1785523517,0.90,320972,34563
1785523518,0.90,315748,35050
1785523519,0.90,309984,35050
1785523520,0.90,309384,34563
1785523521,0.83,309900,35050
1785523522,0.83,309428,36024
1785523523,0.83,308204,35050
1785523524,0.83,307176,35537
1785523525,0.83,304728,35537
1785523526,1.08,303780,34563
1785523527,1.08,291960,35050
1785523528,1.08,302424,35050
1785523530,1.08,302416,34076
1785523531,1.08,303412,34563
1785523532,1.08,302644,35050
1785523533,1.08,301776,35050
1785523534,1.08,300636,35050
1785523535,1.08,299808,35050
1785523536,1.23,296804,35537
1785523537,1.23,304744,35050
1785523538,1.23,303908,33589
1785523539,1.23,306440,35537
1785523540,1.23,306500,35050
1785523541,1.37,304564,34563
1785523542,1.37,303308,34563
1785523543,1.37,302596,34563
1785523544,1.37,293848,35050
1785523545,1.37,307192,34563
1785523546,1.26,305524,33589
1785523547,1.26,316560,34563
1785523548,1.26,316236,35050
1785523549,1.26,315236,34563
1785523550,1.16,313304,35537
1785523551,1.16,311340,35537
1785523553,1.16,299648,34563
1785523554,1.16,311224,35537
1785523555,1.16,311156,35050
1785523556,1.31,311644,35537
1785523557,1.31,311752,34563
1785523558,1.31,310900,34563
1785523559,1.31,310572,35050
1785523560,1.31,310196,35050
1785523561,1.28,308520,35537
1785523562,1.28,311792,35050
1785523563,1.28,310552,34563
1785523564,1.28,310480,35537
1785523565,1.28,308692,35537
1785523566,1.42,308788,36511
1785523567,1.42,308560,37485
1785523568,1.42,308740,35537
1785523569,1.42,308228,35537
1785523570,1.42,311276,34076
1785523571,1.39,311484,35050
1785523572,1.39,310984,35537
1785523573,1.39,311480,34563
1785523574,1.39,310908,35050
1785523576,1.28,310236,36511
1785523577,1.28,309392,35537
1785523578,1.28,310972,34563
1785523579,1.28,313144,36511
1785523580,1.28,311516,35050
1785523581,1.17,311640,34076
1785523582,1.17,313804,35050
1785523583,1.17,313804,36024
1785523584,1.17,313604,35537
1785523585,1.17,313160,35050
1785523586,1.16,313916,36998
1785523587,1.16,310744,35050
1785523588,1.16,313304,35050
1785523589,1.16,312244,34076
1785523590,1.16,312892,35050
1785523591,1.07,310960,35050
1785523592,1.07,310520,34076
1785523593,1.07,309504,34563
1785523594,1.07,309080,34563
1785523595,1.54,296900,36024
1785523596,1.54,314896,36511
1785523597,1.54,314768,35050
1785523599,1.54,317176,35050
1785523600,1.54,315924,36024
1785523601,1.42,314636,36511
1785523602,1.42,313364,35537
1785523603,1.42,314792,36511
1785523604,1.42,314232,36024
1785523605,1.42,310268,35537
1785523606,1.30,310268,34563
1785523607,1.30,313404,34563
1785523608,1.30,312868,36024
1785523609,1.30,313120,35537
1785523610,1.30,311820,36024
1785523611,1.44,312296,35537
1785523612,1.44,312136,35537
1785523613,1.44,315660,36998
1785523614,1.44,314868,34563
1785523615,1.44,315340,35537
1785523616,1.32,315844,36024
1785523617,1.32,314796,36024
1785523618,1.32,313740,36024
1785523619,1.32,313220,35050
1785523620,1.30,315236,35537
1785523622,1.30,308616,36024
1785523623,1.30,317784,35050
1785523624,1.30,318160,35537
1785523625,1.30,319284,35537
1785523626,1.59,318324,34563
1785523627,1.59,317476,35537
1785523628,1.59,316844,35537
1785523629,1.59,315524,35537
1785523630,1.59,307156,35537
1785523631,1.55,316416,35537
1785523632,1.55,316116,34076
1785523633,1.55,317288,36024
1785523634,1.55,317036,35537
1785523635,1.55,315328,35537
1785523636,1.50,315660,36024
1785523637,1.50,316504,35050
1785523638,1.50,308836,37485
1785523639,1.50,318588,35050
1785523640,1.50,317648,34076
1785523641,1.62,318704,35537
1785523642,1.62,318552,34563
1785523644,1.62,317588,35537
1785523645,1.62,317028,36024
1785523646,1.49,316836,34076
1785523647,1.49,305320,35537
1785523648,1.49,322192,36024
1785523649,1.49,320780,34563
1785523650,1.49,322320,35050
1785523651,1.37,322024,34563
1785523652,1.37,320940,34563
1785523653,1.37,320632,36511
1785523654,1.37,320144,35537
1785523655,1.37,319656,35050
1785523656,1.34,325092,34563
1785523657,1.34,321940,34076
1785523658,1.34,324888,35537
1785523659,1.34,323804,36024
1785523660,1.34,322340,35050
1785523661,1.31,323816,36511
1785523662,1.31,323028,35537
1785523663,1.31,321944,36024
1785523664,1.31,325576,35050
1785523665,1.29,324956,36511
1785523667,1.29,324428,35537
1785523668,1.29,324376,36511
1785523669,1.29,323280,36024
1785523670,1.29,322496,35537
1785523671,1.35,322952,36511
1785523672,1.35,322448,36024
1785523673,1.35,326380,35537
1785523674,1.35,325368,35050
1785523675,1.35,325908,34563
1785523676,1.32,325656,35050
1785523677,1.32,324244,35050
1785523678,1.32,323416,34563
1785523679,1.32,321756,35537
1785523680,1.32,321188,35050
1785523681,1.45,312764,36024
1785523682,1.45,321480,35537
1785523683,1.45,321584,36024
1785523684,1.45,322740,34563
1785523685,1.45,322364,35050
1785523686,1.50,321404,36024
1785523687,1.50,321112,35537
1785523688,1.50,320348,35050
1785523690,1.50,316644,36024
1785523691,1.38,324632,35050
1785523692,1.38,323608,35050
1785523693,1.38,325268,35537
1785523694,1.38,324976,36024
1785523695,1.38,324828,35050
1785523696,1.35,323872,35537
1785523697,1.35,323108,34076
1785523698,1.35,315628,34563
1785523699,1.35,326236,34563
1785523700,1.35,326580,34563
1785523701,1.32,326912,35050
1785523702,1.32,327752,35050
1785523703,1.32,326368,35050
1785523704,1.32,327836,35537
1785523705,1.32,326868,36024
1785523706,1.29,326884,36511
1785523707,1.29,329700,36511
1785523708,1.29,328896,35050
1785523709,1.29,330124,36024
1785523710,1.19,328792,35537
1785523711,1.19,326648,36024
1785523713,1.19,326452,35537
1785523714,1.19,326532,35050
1785523715,1.19,326268,35537
1785523716,1.17,326400,35537
1785523717,1.17,325956,35537
1785523718,1.17,326400,35050
1785523719,1.17,326416,35537
1785523720,1.17,325592,36024
1785523721,1.24,326120,34563
1785523722,1.24,325244,36024
1785523723,1.24,324888,34076
1785523724,1.24,331688,36024
1785523725,1.24,331684,34563
1785523726,1.22,331984,35537
1785523727,1.22,331752,35050
1785523728,1.22,330316,36024
1785523729,1.22,331488,35537
1785523730,1.22,331372,35537
1785523731,1.20,331832,36024
1785523732,1.20,330300,35050
1785523733,1.20,331696,35537
1785523734,1.20,332096,36511
1785523736,1.19,331560,36024
1785523737,1.19,331192,36024
1785523738,1.19,330716,36024
1785523739,1.19,330460,35537
1785523740,1.19,329848,36511
1785523741,1.33,324708,36511
1785523742,1.33,334488,33589
1785523743,1.33,334592,35050
1785523744,1.33,335396,35537
1785523745,1.33,334696,36024
1785523746,1.22,334360,35537
1785523747,1.22,333084,35050
1785523748,1.22,331116,34563
1785523749,1.22,327892,36024
1785523750,1.22,331784,35537
1785523751,1.13,332132,35050
1785523752,1.13,332776,36024
1785523753,1.13,333520,35537
1785523754,1.13,332988,35537
1785523755,1.13,332368,35050
1785523756,1.36,331968,36998
1785523758,1.36,320456,36998
1785523759,1.36,334736,34563
1785523760,1.36,333812,35050
1785523761,1.49,335472,36024
1785523762,1.49,335984,35050
1785523763,1.49,335220,35537
1785523764,1.49,334280,36998
1785523765,1.49,336008,36511
1785523766,1.53,335512,35537
1785523767,1.53,338808,35537
1785523768,1.53,338364,34563
1785523769,1.53,337364,35050
1785523770,1.53,337136,35050
1785523771,1.49,336756,36511
1785523772,1.49,336544,35537
1785523773,1.49,335768,35050
1785523774,1.49,335312,35537
1785523775,1.49,340528,36024
1785523776,1.37,339528,34563
1785523777,1.37,339836,35537
1785523778,1.37,339580,35537
1785523779,1.37,338588,35537
1785523781,1.34,339380,35537
1785523782,1.34,339600,35537
1785523783,1.34,338648,36024
1785523784,1.34,340548,36024
1785523785,1.34,340076,35050
1785523786,1.23,340132,34563
1785523787,1.23,339880,35050
1785523788,1.23,339732,35537
1785523789,1.23,339172,34563
1785523790,1.23,338228,35537
1785523791,1.13,336776,35050
1785523792,1.13,327584,35537
1785523793,1.13,336288,35050
1785523794,1.13,336588,35537
1785523795,1.13,337092,36024
1785523796,1.04,337848,35537
1785523797,1.04,337596,35537
1785523798,1.04,337344,35050
1785523799,1.04,335308,35537
1785523800,1.04,331796,35537
1785523801,1.12,341704,34563
1785523802,1.12,341756,35537
1785523804,1.12,341748,36511
1785523805,1.12,342312,36024
1785523806,1.03,341692,36024
1785523807,1.03,343468,36024
1785523808,1.03,342592,36024
1785523809,1.03,335160,35537
1785523810,1.03,344716,35537
1785523811,0.95,344192,35537
1785523812,0.95,344552,35537
1785523813,0.95,343464,35537
1785523814,0.95,341820,35537
1785523815,0.95,341584,35537
1785523816,1.11,340616,36511
1785523817,1.11,340040,36511
1785523818,1.11,343740,36024
1785523819,1.11,343076,36024
1785523820,1.11,342972,36024
1785523821,1.02,342964,35050
1785523822,1.02,342072,35537
1785523823,1.02,341180,35537
1785523824,1.02,340768,34563
1785523825,1.10,340976,35537
1785523827,1.10,346516,36024
1785523828,1.10,347468,35050
1785523829,1.10,347516,36511
1785523830,1.10,347032,35537
1785523831,1.09,346548,35050
1785523832,1.09,346552,35537
1785523833,1.09,347228,36998
1785523834,1.09,346220,35537
1785523835,1.09,345400,35050
1785523836,1.08,345228,34563
1785523837,1.08,346132,35537
1785523838,1.08,347136,36511
1785523839,1.08,346380,36024
1785523840,1.08,345452,36024
1785523841,1.16,344768,36511
1785523842,1.16,344720,36511
1785523843,1.16,333036,36998
1785523844,1.16,343928,36024
1785523845,1.16,344432,36024
1785523846,1.06,346332,35050
1785523847,1.06,345948,35537
1785523848,1.06,345684,35537
1785523850,1.06,345200,36024
1785523851,1.06,346816,36024
1785523852,1.06,344436,36024
1785523853,1.06,347320,35050
1785523854,1.06,347320,35050
1785523855,1.06,350360,36511
1785523856,1.30,348944,36024
1785523857,1.30,348312,35050
1785523858,1.30,348040,34563
1785523859,1.30,347272,36024
1785523860,1.30,336888,35537
1785523861,1.27,347068,36024
1785523862,1.27,347564,35050
1785523863,1.27,348292,36511
1785523864,1.27,348544,36998
1785523865,1.27,348352,36511
1785523866,1.33,347716,36024
1785523867,1.33,347964,36511
1785523868,1.33,348040,35537
1785523869,1.33,351532,36511
1785523870,1.33,350412,35050
1785523871,1.30,352156,36024
1785523873,1.30,352088,35537
1785523874,1.30,351124,34563
1785523875,1.30,351220,35537
1785523876,1.28,350468,35537
1785523877,1.28,349876,35050
1785523878,1.28,349656,36024
1785523879,1.28,349896,35050
1785523880,1.28,351680,35537
1785523881,1.50,351132,35537
1785523882,1.50,352140,35050
1785523883,1.50,352276,36024
1785523884,1.50,351604,36024
1785523885,1.50,350916,36024
1785523886,1.62,352916,35537
1785523887,1.62,351876,34563
1785523888,1.62,352848,35537
1785523889,1.62,352084,35537
1785523890,1.62,350388,36024
1785523891,1.73,350892,35537
1785523892,1.73,349196,35537
1785523893,1.73,348900,35537
1785523894,1.73,349656,35537
1785523896,1.59,349512,35050
1785523897,1.59,350172,35537
1785523898,1.59,350424,35050
1785523899,1.59,350632,35050
1785523900,1.59,350204,35050
1785523901,1.62,349796,35537
1785523902,1.62,350032,35050
1785523903,1.62,346928,35050
1785523904,1.62,355976,34563
1785523905,1.62,354748,35050
1785523906,1.57,356956,35050
1785523907,1.57,356304,36024
1785523908,1.57,356428,35537
1785523909,1.57,355396,36511
1785523910,1.57,356708,36024
1785523911,1.77,353256,35537
1785523912,1.77,359796,35050
1785523913,1.77,358700,35537
1785523914,1.77,358828,36024
1785523915,1.77,358472,36024
1785523916,1.79,356480,34563
1785523917,1.79,355956,35537
1785523919,1.79,354972,36024
1785523920,1.79,344160,35537
1785523921,1.80,354224,34563
1785523922,1.80,353892,35050
1785523923,1.80,354900,35537
1785523924,1.80,355152,35050
1785523925,1.80,354856,35537
1785523926,2.06,355048,36024
1785523927,2.06,354168,36024
1785523928,2.06,353916,35537
1785523929,2.06,360160,35537
1785523930,2.06,359792,34563
1785523931,2.14,359028,36024
1785523932,2.14,358908,35537
1785523933,2.14,358288,35537
1785523934,2.14,357232,36024
1785523935,2.14,356380,35537
1785523936,2.04,355728,36998
1785523937,2.04,363436,35050
1785523938,2.04,362320,34563
1785523939,2.04,364332,36024
1785523940,2.04,363972,35537
1785523942,2.20,362252,35537
1785523943,2.20,361140,35050
1785523944,2.20,363300,36024
1785523945,2.20,362812,36511
1785523946,2.18,365676,35537
1785523947,2.18,365064,35050
1785523948,2.18,365924,36024
1785523949,2.18,365452,35537
1785523950,2.18,365340,35537
1785523951,2.01,364812,36024
1785523952,2.01,363540,35537
1785523953,2.01,361232,35050
1785523954,2.01,365384,34076
1785523955,2.01,363940,35537
1785523956,1.85,363732,35537
1785523957,1.85,363056,35537
1785523958,1.85,361288,35537
1785523959,1.85,361032,34563
1785523960,1.85,360536,35537
1785523961,1.86,359748,36024
1785523962,1.86,360428,35537
1785523963,1.86,360428,34563
1785523965,1.86,360932,35050
1785523966,2.03,362784,35537
1785523967,2.03,362784,36511
1785523968,2.03,362196,35537
1785523969,2.03,361668,36024
1785523970,2.03,360420,35050
1785523971,2.03,358680,35537
1785523972,2.03,367280,35050
1785523973,2.03,367532,35050
1785523974,2.03,368252,36998
1785523975,2.03,367236,35537
1785523976,2.27,366740,35537
1785523977,2.27,364860,35537
1785523978,2.27,366352,35537
1785523979,2.27,362972,36024
1785523980,2.27,366904,36024
1785523981,2.09,365368,35050
1785523982,2.09,366260,35537
1785523983,2.09,365384,35050
1785523984,2.09,364960,35537
1785523985,2.09,363948,35537
1785523986,2.16,362864,35537
1785523988,2.16,352416,36024
1785523989,2.16,367296,35050
1785523990,2.16,366424,35050
1785523991,1.99,367828,36024
1785523992,1.99,367236,35050
1785523993,1.99,367512,35537
1785523994,1.99,366120,35537
1785523995,1.99,365772,36024
1785523996,2.15,365424,35050
1785523997,2.15,361388,35050
1785523998,2.15,361892,35050
1785523999,2.15,363828,35050
1785524000,2.15,364288,34563
1785524001,2.22,363784,34563
1785524002,2.22,363748,35537
1785524003,2.22,364756,35537
1785524004,2.22,364408,36024
1785524005,2.22,369964,35537
1785524006,2.04,369304,35050
1785524007,2.04,370544,35050
1785524008,2.04,370032,35537
1785524009,2.04,369808,36024
1785524011,2.03,369120,35537
1785524012,2.03,368716,36024
1785524013,2.03,367684,36024
1785524014,2.03,367124,36024
1785524015,2.03,367244,35050
1785524016,2.03,367136,35537
1785524017,2.03,368248,35537
1785524018,2.03,368004,35537
1785524019,2.03,366824,35050
1785524020,2.03,367708,35537
1785524021,2.03,367048,36024
1785524022,2.03,373916,34563
1785524023,2.03,371108,35537
1785524024,2.03,373104,36024
1785524025,2.03,372276,35537
1785524026,2.03,371860,35537
1785524027,2.03,372376,36998
1785524028,2.03,372060,35537
1785524029,2.03,372844,35050
1785524030,2.03,357840,35537
1785524031,2.02,366272,35050
1785524032,2.02,367412,35050
1785524034,2.02,369680,36024
1785524035,2.02,369932,35537
1785524036,2.18,369740,35537
1785524037,2.18,370172,36511
1785524038,2.18,370928,36511
1785524039,2.18,367536,36024
1785524040,2.18,373424,35537
1785524041,2.01,372396,36024
1785524042,2.01,373364,35537
1785524043,2.01,375128,36024
1785524044,2.01,374532,35537
1785524045,2.01,373088,36998
1785524046,2.17,372584,36511
1785524047,2.17,362296,36024
1785524048,2.17,369724,36024
1785524049,2.17,369716,34563
1785524050,2.17,371880,35537
1785524051,1.99,372552,36024
1785524052,1.99,372620,36511
1785524053,1.99,371524,36024
1785524054,1.99,371792,35537
1785524055,1.99,370716,35537
1785524057,2.23,371348,35537
1785524058,2.23,371340,36024
1785524059,2.23,373608,35050
1785524060,2.23,373608,35050
1785524061,2.38,374364,36511
1785524062,2.38,373204,35050
1785524063,2.38,372356,34563
1785524064,2.38,372460,35537
1785524065,2.38,372416,36024
1785524066,2.19,372416,34076
1785524067,2.19,372668,36511
1785524068,2.19,373172,35050
1785524069,2.19,374180,34563
1785524070,2.19,374432,35050
1785524071,2.17,374092,36024
1785524072,2.17,373604,36511
1785524073,2.17,377888,35537
1785524074,2.17,376844,34563
1785524075,2.17,377672,35537
1785524076,2.48,376516,35050
1785524077,2.48,376608,34563
1785524078,2.48,376000,35537
1785524080,2.48,375400,35050
1785524081,2.28,374924,35537
1785524082,2.28,381508,35537
1785524083,2.28,381180,34563
1785524084,2.28,382096,35537
1785524085,2.28,381928,35537
1785524086,2.10,380964,35050
1785524087,2.10,380076,35537
1785524088,2.10,381428,36511
1785524089,2.10,380548,36511
1785524090,2.10,376536,36024
1785524091,2.01,383912,35537
1785524092,2.01,382588,36511
1785524093,2.01,382124,36511
1785524094,2.01,381408,36511
1785524095,2.01,380804,36511
