profile,slug,suite,path,expected_failure,status,returncode,r1,r2,stdout_sha256,stderr_sha256
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/issue56_timeshift/query-51.rql,False,compiled,0,0,0,b6315b36799829756a14cc67b0ca891458e2ab8c6485ff47f7ee56cbbe2b4951,328ba6bca0c0583b18d2f70aa6a77b52a23b71e71279585495aca30de4472d78
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/issue61_tmpmem/query-61.rql,False,compiled,0,0,0,8d26530c4b1bd8eae728a21f9b031c5eddba5c6bba1ff2b0d4d4ef588411c18a,328ba6bca0c0583b18d2f70aa6a77b52a23b71e71279585495aca30de4472d78
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/issue6_adhoc/query-6.rql,False,compiled,0,0,0,ac22f73bec26150a28f46a3f017ac7045324b0ceb2e000fc0babd7ed927efb19,05a4c4033f3ca3c4bfb0d7cff126bbf1166be157a414c49282492b57e8304869
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/k19_boundaries/query.rql,False,compiled,0,0,0,a566b7961ac11e8a2bde704c159004832695ffca8f803b02fd6be2213de3f172,8d3c27844ee6c3db8131c27c7e7f008443a3ed79e9ca7d3e64ba6637fed62f73
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/null_divide_by_zero/query.rql,False,compiled,0,0,0,bcbd03a703fe51998a010c9ac914791e4846c0d4eac6c28a8748fb83f2b9f918,05a4c4033f3ca3c4bfb0d7cff126bbf1166be157a414c49282492b57e8304869
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/operations/query.rql,False,compiled,0,0,0,1acfbb37d9382d8688b8de870ff5c082e7895995619d4be7db5d7e10143bff07,30b874e45398b701780194d6a6f95324a2edcb45eb9cdaec7f1c4992fa985b43
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/optimizer_ablation/query.rql,False,compiled,0,1,1,6a70e40578f236ebc38c978a101b654f11419efbe31b24d219997ec44f8c9f69,372ce2f82069aea9316b0490dbb655b787f340531ecf068d484d1dc415b0a0d8
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/r1_identity_nulls/query.rql,False,compiled,0,1,0,a8922051e5a6b2a660b8f1cf9c1fcc5f0e2b9db32cc89822fb92a0b1a3d683c8,72d7c872101eb9383ad992029a59322c73d63d65093f583c2ebcf4ed4eb97126
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/rotation_test/query.rql,False,compiled,0,0,0,a5f4b566c3e88bb483a528eda7d0d88f189fdfc62025242344be94c2649f1024,05a4c4033f3ca3c4bfb0d7cff126bbf1166be157a414c49282492b57e8304869
ALGSTRUCT,ALGSTRUCT,integration_serial,test/IntegrationTest_serial/select_cse_commutative_add/query.rql,False,compiled,0,0,6,84cb17b3f387b3079947e6ac34172ed456a18814f32b5f708a30963c692a467a,e0eb9507b2066855bbe1927378793ebf6f773ecf3a3c7de6a1dc7282ae9f9d9a
