plan,stratum,consumer,kind,child,child_declared,needed,provided,deficit
1,SHIFT,n0,SHIFT,s0,1,2,2,0
2,HASH,n0,HASH,s2,1,1,4,-3
2,HASH,n0,HASH,s1,1,8,10,-2
3,ADD,n0,ADD,s0,1,4,4,0
3,ADD,n0,ADD,s1,1,7,7,0
3,ADD,n1,ADD,s1,1,7,7,0
3,ADD,n1,ADD,s0,1,4,4,0
3,ADD,n2,ADD,s1,1,7,7,0
3,ADD,n2,ADD,s0,1,4,4,0
4,SUB,n0,SUB,s0,1,10,10,0
4,SUB,n1,SUB,s0,1,6,10,-4
4,SUB,n2,SUB,n1,0,4,2,2
5,THETA,n0,THETA,s0,1,3,4,-1
5,THETA,n1,THETA,s1,1,3,4,-1
5,THETA,n2,THETA,n1,0,3,5,-2
5,THETA,n3,THETA,s0,1,2,4,-2
5,THETA,n4,THETA,n1,0,3,5,-2
5,THETA,n5,THETA,n2,0,3,4,-1
6,NTHETA,n0,NTHETA,s1,1,2,4,-2
6,NTHETA,n1,NTHETA,n0,0,2,4,-2
6,NTHETA,n2,NTHETA,s1,1,2,4,-2
6,NTHETA,n3,NTHETA,s1,1,2,4,-2
7,AGSE,n0,AGSE,s2,1,6,6,0
7,AGSE,n1,AGSE,n0,0,1,1,0
9,HC_NONINT,n0,HASH,s2,1,2,4,-2
9,HC_NONINT,n0,HASH,s1,1,1,4,-3
9,HC_NONINT,n1,AGSE,n0,0,6,3,3
10,HC_SHIFT_UNDER_HASH,n0,HASH,s0,1,1,6,-5
10,HC_SHIFT_UNDER_HASH,n0,HASH,s1,1,2,11,-9
10,HC_SHIFT_UNDER_HASH,n1,SHIFT,s0,1,6,6,0
10,HC_SHIFT_UNDER_HASH,n2,AGSE,n0,0,2,6,-4
10,HC_SHIFT_UNDER_HASH,n3,HASH,n1,0,1,4,-3
10,HC_SHIFT_UNDER_HASH,n3,HASH,s1,1,10,11,-1
10,HC_SHIFT_UNDER_HASH,n4,SHIFT,n0,0,6,6,0
11,HC_INT,n0,HASH,s1,1,1,7,-6
11,HC_INT,n0,HASH,s2,1,1,4,-3
11,HC_INT,n2,SUB,s1,1,7,7,0
11,HC_INT,n3,SUB,s1,1,4,7,-3
12,HC_SINGLE,n0,SHIFT,s0,1,4,4,0
13,HC_DEEP,n0,SHIFT,s0,1,6,6,0
13,HC_DEEP,n1,NTHETA,s0,1,2,6,-4
13,HC_DEEP,n2,HASH,n0,0,1,4,-3
13,HC_DEEP,n2,HASH,s1,1,226,227,-1
13,HC_DEEP,n3,SUB,n1,0,4,4,0
13,HC_DEEP,n4,THETA,n1,0,3,4,-1
15,SHIFT,n0,SHIFT,s2,1,3,3,0
15,SHIFT,n1,SHIFT,s1,1,3,3,0
15,SHIFT,n2,SHIFT,s0,1,3,3,0
16,HASH,n0,HASH,s0,1,1,4,-3
16,HASH,n0,HASH,s1,1,2,4,-2
17,ADD,n0,ADD,s0,1,3,3,0
17,ADD,n0,ADD,s1,1,3,3,0
18,SUB,n0,SUB,s0,1,7,7,0
18,SUB,n1,SUB,s1,1,10,10,0
18,SUB,n2,SUB,s0,1,7,7,0
18,SUB,n3,SUB,s1,1,7,10,-3
19,THETA,n0,THETA,s1,1,2,4,-2
20,NTHETA,n0,NTHETA,s0,1,2,4,-2
20,NTHETA,n1,NTHETA,s0,1,2,4,-2
21,AGSE,n0,AGSE,s0,1,4,4,0
21,AGSE,n1,AGSE,s2,1,5,5,0
23,HC_NONINT,n0,HASH,s0,1,1,4,-3
23,HC_NONINT,n0,HASH,s1,1,1,4,-3
23,HC_NONINT,n1,AGSE,n0,0,3,3,0
23,HC_NONINT,n2,AGSE,n1,0,1,1,0
23,HC_NONINT,n3,SUB,n2,0,3,4,-1
23,HC_NONINT,n4,HASH,n2,0,2,4,-2
23,HC_NONINT,n4,HASH,n3,0,1,4,-3
24,HC_SHIFT_UNDER_HASH,n0,SHIFT,s1,1,2,2,0
24,HC_SHIFT_UNDER_HASH,n1,SHIFT,s1,1,2,2,0
24,HC_SHIFT_UNDER_HASH,n2,HASH,n1,0,1,4,-3
24,HC_SHIFT_UNDER_HASH,n2,HASH,n0,0,1,4,-3
24,HC_SHIFT_UNDER_HASH,n3,SUB,n2,0,4,2,2
25,HC_INT,n1,HASH,n0,0,1,4,-3
25,HC_INT,n1,HASH,s0,1,1,9,-8
25,HC_INT,n2,SHIFT,s0,1,9,9,0
26,HC_SINGLE,n1,SHIFT,s1,1,4,4,0
27,HC_DEEP,n0,THETA,s0,1,2,4,-2
27,HC_DEEP,n1,HASH,s2,1,1,4,-3
27,HC_DEEP,n1,HASH,n0,0,1,4,-3
27,HC_DEEP,n2,SUB,s0,1,4,4,0
27,HC_DEEP,n3,SHIFT,n2,0,6,6,0
29,SHIFT,n0,SHIFT,s0,1,3,3,0
29,SHIFT,n1,SHIFT,s2,1,3,4,-1
29,SHIFT,n2,SHIFT,s2,1,4,4,0
30,HASH,n0,HASH,s1,1,1,4,-3
30,HASH,n0,HASH,s0,1,1,4,-3
31,ADD,n0,ADD,s2,1,4,4,0
31,ADD,n0,ADD,s0,1,4,4,0
32,SUB,n0,SUB,s0,1,8,8,0
33,THETA,n0,THETA,s0,1,2,5,-3
33,THETA,n1,THETA,s0,1,2,5,-3
33,THETA,n2,THETA,n1,0,3,5,-2
33,THETA,n3,THETA,n0,0,2,7,-5
33,THETA,n4,THETA,s0,1,4,5,-1
33,THETA,n5,THETA,n0,0,6,7,-1
34,NTHETA,n0,NTHETA,s1,1,2,4,-2
35,AGSE,n0,AGSE,s1,1,6,6,0
37,HC_NONINT,n0,HASH,s0,1,1,4,-3
37,HC_NONINT,n0,HASH,s1,1,2,10,-8
37,HC_NONINT,n1,SHIFT,s0,1,3,4,-1
37,HC_NONINT,n2,SHIFT,s1,1,3,10,-7
37,HC_NONINT,n3,SUB,s1,1,10,10,0
37,HC_NONINT,n4,AGSE,s1,1,4,10,-6
38,HC_SHIFT_UNDER_HASH,n0,HASH,s2,1,1,4,-3
38,HC_SHIFT_UNDER_HASH,n0,HASH,s0,1,2,9,-7
38,HC_SHIFT_UNDER_HASH,n1,SHIFT,s0,1,9,9,0
38,HC_SHIFT_UNDER_HASH,n2,HASH,s1,1,35,37,-2
38,HC_SHIFT_UNDER_HASH,n2,HASH,n1,0,1,4,-3
38,HC_SHIFT_UNDER_HASH,n3,SUB,n2,0,5,2,3
39,HC_INT,n0,AGSE,s0,1,6,6,0
39,HC_INT,n1,HASH,s1,1,1,4,-3
39,HC_INT,n1,HASH,s0,1,1,6,-5
40,HC_SINGLE,n0,SHIFT,s0,1,6,6,0
40,HC_SINGLE,n1,SHIFT,n0,0,3,3,0
40,HC_SINGLE,n2,AGSE,s1,1,5,5,0
41,HC_DEEP,n0,SHIFT,s0,1,3,4,-1
41,HC_DEEP,n1,NTHETA,s0,1,2,4,-2
41,HC_DEEP,n2,SUB,s1,1,7,7,0
43,SHIFT,n0,SHIFT,s0,1,6,6,0
43,SHIFT,n1,SHIFT,s0,1,6,6,0
43,SHIFT,n2,SHIFT,s0,1,3,6,-3
43,SHIFT,n3,SHIFT,n1,0,3,3,0
43,SHIFT,n4,SHIFT,n3,0,6,6,0
44,HASH,n0,HASH,s0,1,1,4,-3
44,HASH,n0,HASH,s1,1,2,4,-2
45,ADD,n0,ADD,s1,1,4,5,-1
45,ADD,n0,ADD,s2,1,4,6,-2
45,ADD,n1,ADD,s0,1,4,4,0
45,ADD,n1,ADD,s2,1,6,6,0
45,ADD,n2,ADD,s0,1,4,4,0
45,ADD,n2,ADD,s1,1,5,5,0
45,ADD,n3,ADD,s0,1,4,4,0
45,ADD,n3,ADD,s2,1,6,6,0
46,SUB,n0,SUB,s2,1,6,6,0
46,SUB,n1,SUB,s0,1,4,6,-2
46,SUB,n2,SUB,n0,0,4,2,2
46,SUB,n3,SUB,s0,1,6,6,0
46,SUB,n4,SUB,n2,0,1,1,0
46,SUB,n5,SUB,n4,0,4,2,2
47,THETA,n0,THETA,s1,1,2,4,-2
48,NTHETA,n0,NTHETA,s0,1,2,4,-2
48,NTHETA,n1,NTHETA,n0,0,2,4,-2
48,NTHETA,n2,NTHETA,s1,1,2,4,-2
49,AGSE,n0,AGSE,s1,1,5,5,0
51,HC_NONINT,n0,AGSE,s0,1,3,4,-1
51,HC_NONINT,n1,HASH,n0,0,1,4,-3
51,HC_NONINT,n1,HASH,s2,1,3,4,-1
51,HC_NONINT,n2,SUB,n0,0,2,4,-2
51,HC_NONINT,n3,HASH,s2,1,1,4,-3
51,HC_NONINT,n3,HASH,s0,1,2,4,-2
51,HC_NONINT,n4,SHIFT,s1,1,3,3,0
52,HC_SHIFT_UNDER_HASH,n0,SHIFT,s0,1,3,4,-1
52,HC_SHIFT_UNDER_HASH,n1,HASH,s0,1,2,4,-2
52,HC_SHIFT_UNDER_HASH,n1,HASH,n0,0,1,4,-3
52,HC_SHIFT_UNDER_HASH,n2,SUB,n0,0,2,4,-2
53,HC_INT,n1,HASH,n0,0,1,4,-3
53,HC_INT,n1,HASH,s1,1,1,7,-6
