plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
53,HC_INT,"HC_DEEP,HC_INT",4,n3,AGSE,2/3,1,1,4,1,1,4,1,0,1,1,1,1,0,0,0,
54,HC_SINGLE,HC_SINGLE,3,n0,REDUCE,2/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
54,HC_SINGLE,HC_SINGLE,3,n1,SHIFT,2/5,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
54,HC_SINGLE,HC_SINGLE,3,n2,PASS,2/5,8,8,10,8,8,9,1,0,1,0,8,8,0,0,0,
55,HC_DEEP,"HC_DEEP,HC_NONINT",5,n0,THETA,4/3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
55,HC_DEEP,"HC_DEEP,HC_NONINT",5,n1,HASH,4/7,3,3,3,3,3,3,1,1,1,1,3,3,0,0,0,
55,HC_DEEP,"HC_DEEP,HC_NONINT",5,n2,SUB,16/7,1,0,1,1,1,1,0,1,0,1,1,1,0,-1,-1,
55,HC_DEEP,"HC_DEEP,HC_NONINT",5,n3,ADD,3/8,7,7,7,7,7,7,1,1,1,1,4,7,0,3,0,
55,HC_DEEP,"HC_DEEP,HC_NONINT",5,n4,NTHETA,32/7,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,
56,PASS,,3,n0,PASS,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
56,PASS,,3,n1,PASS,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
56,PASS,,3,n2,PASS,1/16,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
57,SHIFT,HC_DEEP,4,n0,SHIFT,4/25,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
57,SHIFT,HC_DEEP,4,n1,SHIFT,1/3,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
57,SHIFT,HC_DEEP,4,n2,SHIFT,4/25,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
