plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
1565,HC_INT,"HC_DEEP,HC_INT",5,n4,SHIFT,5/16,2,2,4,2,2,3,1,0,1,0,2,2,0,0,0,
1566,HC_SINGLE,HC_SINGLE,1,n0,REDUCE,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1567,HC_DEEP,"HC_DEEP,HC_INT",6,n0,SHIFT,2/3,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
1567,HC_DEEP,"HC_DEEP,HC_INT",6,n1,AGSE,3/32,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1567,HC_DEEP,"HC_DEEP,HC_INT",6,n2,SUB,3/32,1,1,3,1,1,2,1,0,1,0,1,1,0,0,0,
1567,HC_DEEP,"HC_DEEP,HC_INT",6,n3,SHIFT,1/8,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
1567,HC_DEEP,"HC_DEEP,HC_INT",6,n4,ADD,1/8,5,5,5,5,5,5,1,1,1,1,0,5,0,5,0,
1567,HC_DEEP,"HC_DEEP,HC_INT",6,n5,HASH,3/64,3,3,7,3,3,6,1,0,1,0,2,3,0,1,0,
1568,PASS,,2,n0,PASS,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1568,PASS,,2,n1,PASS,3/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1569,SHIFT,,2,n0,SHIFT,5/8,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
1569,SHIFT,,2,n1,SHIFT,1/5,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
1570,HASH,HC_NONINT,3,n0,HASH,2/9,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
1570,HASH,HC_NONINT,3,n1,HASH,2/9,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
1570,HASH,HC_NONINT,3,n2,HASH,2/9,2,2,3,2,2,2,1,0,1,0,0,2,0,2,0,
1571,ADD,HC_SINGLE,1,n0,ADD,3/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1572,SUB,,3,n0,SUB,1/3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1572,SUB,,3,n1,SUB,3/5,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1572,SUB,,3,n2,SUB,6/5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,
1573,THETA,HC_DEEP,4,n0,THETA,1/75,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1573,THETA,HC_DEEP,4,n1,THETA,1/50,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1573,THETA,HC_DEEP,4,n2,THETA,2/125,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1573,THETA,HC_DEEP,4,n3,THETA,3/200,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1574,NTHETA,HC_DEEP,6,n0,NTHETA,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1574,NTHETA,HC_DEEP,6,n1,NTHETA,3/2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1574,NTHETA,HC_DEEP,6,n2,NTHETA,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1574,NTHETA,HC_DEEP,6,n3,NTHETA,8/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1574,NTHETA,HC_DEEP,6,n4,NTHETA,16/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1574,NTHETA,HC_DEEP,6,n5,NTHETA,16/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1575,AGSE,,2,n0,AGSE,3/20,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1575,AGSE,,2,n1,AGSE,3/20,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1576,REDUCE,,1,n0,REDUCE,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1577,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n0,PASS,4/25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1577,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n1,SUB,6/25,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1577,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n2,SHIFT,1/10,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
1577,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n3,HASH,6/85,7,6,8,7,7,8,0,0,0,1,5,6,0,1,0,
1578,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n0,PASS,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1578,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n1,SHIFT,1,3,3,5,3,3,4,1,0,1,0,3,3,0,0,0,
1578,HC_SHIFT_UNDER_HASH,"HC_INT,HC_SHIFT_UNDER_HASH",3,n2,HASH,1/2,6,6,11,6,6,10,1,0,1,0,6,6,1,0,0,1
1579,HC_INT,"HC_DEEP,HC_INT",6,n0,SUB,1/8,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1579,HC_INT,"HC_DEEP,HC_INT",6,n1,SHIFT,1/8,2,1,2,2,1,1,0,1,1,0,1,1,0,0,0,
1579,HC_INT,"HC_DEEP,HC_INT",6,n2,HASH,1/24,3,1,2,3,1,1,0,0,1,0,0,1,0,1,0,
1579,HC_INT,"HC_DEEP,HC_INT",6,n3,SUB,7/48,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1579,HC_INT,"HC_DEEP,HC_INT",6,n4,AGSE,1/16,6,4,7,6,4,6,0,0,1,0,2,4,0,2,0,
1579,HC_INT,"HC_DEEP,HC_INT",6,n5,AGSE,3/32,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1580,HC_SINGLE,HC_SINGLE,2,n0,REDUCE,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1580,HC_SINGLE,HC_SINGLE,2,n1,SHIFT,1/4,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
1581,HC_DEEP,"HC_DEEP,HC_NONINT",6,n0,SHIFT,147/1000,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
1581,HC_DEEP,"HC_DEEP,HC_NONINT",6,n1,HASH,147/3352,4,4,4,4,4,4,1,1,1,1,0,3,0,4,1,
1581,HC_DEEP,"HC_DEEP,HC_NONINT",6,n2,ADD,1/16,14,14,16,14,14,16,1,0,1,1,12,14,0,2,0,
1581,HC_DEEP,"HC_DEEP,HC_NONINT",6,n3,AGSE,147/1676,2,2,2,2,2,2,1,1,1,1,2,2,0,0,0,
1581,HC_DEEP,"HC_DEEP,HC_NONINT",6,n4,REDUCE,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1581,HC_DEEP,"HC_DEEP,HC_NONINT",6,n5,PASS,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1582,PASS,HC_DEEP,6,n0,PASS,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1582,PASS,HC_DEEP,6,n1,PASS,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1582,PASS,HC_DEEP,6,n2,PASS,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1582,PASS,HC_DEEP,6,n3,PASS,1/8,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
1582,PASS,HC_DEEP,6,n4,PASS,1/8,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
1582,PASS,HC_DEEP,6,n5,PASS,1/8,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
1583,SHIFT,,3,n0,SHIFT,2/5,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
1583,SHIFT,,3,n1,SHIFT,4/25,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
1583,SHIFT,,3,n2,SHIFT,4/25,13,13,15,13,13,14,1,0,1,0,13,13,0,0,0,
1584,HASH,"HC_INT,HC_NONINT",3,n0,HASH,1/12,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1584,HASH,"HC_INT,HC_NONINT",3,n1,HASH,1/16,3,3,4,3,3,3,1,0,1,0,2,3,0,1,0,
1584,HASH,"HC_INT,HC_NONINT",3,n2,HASH,1/24,5,5,7,5,5,6,1,0,1,0,5,5,0,0,0,
1585,ADD,,2,n0,ADD,1/5,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1585,ADD,,2,n1,ADD,1/5,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
1586,SUB,HC_DEEP,6,n0,SUB,3/4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1586,SUB,HC_DEEP,6,n1,SUB,3/8,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1586,SUB,HC_DEEP,6,n2,SUB,9/16,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1586,SUB,HC_DEEP,6,n3,SUB,3/2,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1586,SUB,HC_DEEP,6,n4,SUB,3/2,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1586,SUB,HC_DEEP,6,n5,SUB,2,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1587,THETA,HC_DEEP,6,n0,THETA,15/8,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1587,THETA,HC_DEEP,6,n1,THETA,5/2,2,1,2,2,1,2,0,1,1,1,0,1,0,1,0,
1587,THETA,HC_DEEP,6,n2,THETA,35/8,3,1,2,3,2,3,0,0,0,0,1,2,0,0,-1,
1587,THETA,HC_DEEP,6,n3,THETA,245/32,3,1,2,3,2,3,0,0,0,0,1,2,0,0,-1,
1587,THETA,HC_DEEP,6,n4,THETA,105/16,3,1,2,3,2,3,0,0,0,0,1,2,0,0,-1,
1587,THETA,HC_DEEP,6,n5,THETA,5/6,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1588,NTHETA,HC_DEEP,4,n0,NTHETA,7/10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1588,NTHETA,HC_DEEP,4,n1,NTHETA,3/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1588,NTHETA,HC_DEEP,4,n2,NTHETA,4/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1588,NTHETA,HC_DEEP,4,n3,NTHETA,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1589,AGSE,,1,n0,AGSE,3/10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1590,REDUCE,HC_SINGLE,3,n0,REDUCE,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1590,REDUCE,HC_SINGLE,3,n1,REDUCE,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1590,REDUCE,HC_SINGLE,3,n2,REDUCE,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1591,HC_NONINT,HC_NONINT,3,n0,AGSE,2,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1591,HC_NONINT,HC_NONINT,3,n1,SHIFT,3/10,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
1591,HC_NONINT,HC_NONINT,3,n2,HASH,3/13,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
1592,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",4,n0,SHIFT,2/3,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
1592,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",4,n1,SUB,2/3,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1592,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",4,n2,HASH,1/3,5,5,8,5,5,7,1,0,1,0,4,5,0,1,0,
1592,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",4,n3,SHIFT,2/3,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
1593,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n0,AGSE,3/100,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1593,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n1,HASH,1/108,13,13,14,13,13,13,1,0,1,0,0,13,0,13,0,
1593,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n2,SHIFT,1/8,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
1593,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n3,HASH,1/16,17,17,20,17,17,19,1,0,1,0,16,17,0,1,0,
1593,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n4,SUB,1/6,7,6,8,7,7,8,0,0,0,1,7,7,0,-1,-1,
1593,HC_INT,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",6,n5,SUB,2/3,2,1,2,2,2,2,0,1,0,1,2,2,0,-1,-1,
1594,HC_SINGLE,HC_SINGLE,1,n0,PASS,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1595,HC_DEEP,"HC_DEEP,HC_NONINT",6,n0,SHIFT,4/25,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
1595,HC_DEEP,"HC_DEEP,HC_NONINT",6,n1,NTHETA,12/25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1595,HC_DEEP,"HC_DEEP,HC_NONINT",6,n2,SUB,32/25,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1595,HC_DEEP,"HC_DEEP,HC_NONINT",6,n3,REDUCE,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1595,HC_DEEP,"HC_DEEP,HC_NONINT",6,n4,NTHETA,32/15,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,
1595,HC_DEEP,"HC_DEEP,HC_NONINT",6,n5,HASH,32/175,24,12,12,24,12,12,0,0,1,1,0,11,0,12,1,
1596,PASS,,3,n0,PASS,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1596,PASS,,3,n1,PASS,1/8,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
1596,PASS,,3,n2,PASS,1/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1597,SHIFT,HC_DEEP,5,n0,SHIFT,1/2,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
1597,SHIFT,HC_DEEP,5,n1,SHIFT,4/25,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
1597,SHIFT,HC_DEEP,5,n2,SHIFT,1/2,5,5,7,5,5,6,1,0,1,0,5,5,0,0,0,
1597,SHIFT,HC_DEEP,5,n3,SHIFT,1/16,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
1597,SHIFT,HC_DEEP,5,n4,SHIFT,1/2,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
1598,HASH,HC_NONINT,1,n0,HASH,4/65,3,3,3,3,3,3,1,1,1,1,0,2,1,3,1,3
1599,ADD,HC_DEEP,6,n0,ADD,5/8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1599,ADD,HC_DEEP,6,n1,ADD,5/8,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
1599,ADD,HC_DEEP,6,n2,ADD,5/8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1599,ADD,HC_DEEP,6,n3,ADD,5/8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1599,ADD,HC_DEEP,6,n4,ADD,5/8,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
1599,ADD,HC_DEEP,6,n5,ADD,5/8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1600,SUB,HC_SINGLE,1,n0,SUB,1/10,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1601,THETA,,2,n0,THETA,5/12,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1601,THETA,,2,n1,THETA,3/16,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1602,NTHETA,HC_DEEP,4,n0,NTHETA,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1602,NTHETA,HC_DEEP,4,n1,NTHETA,4/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1602,NTHETA,HC_DEEP,4,n2,NTHETA,4/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1602,NTHETA,HC_DEEP,4,n3,NTHETA,7/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1603,AGSE,HC_DEEP,4,n0,AGSE,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1603,AGSE,HC_DEEP,4,n1,AGSE,1/16,3,3,4,3,3,3,1,0,1,0,0,3,0,3,0,
1603,AGSE,HC_DEEP,4,n2,AGSE,1/16,6,6,8,6,6,7,1,0,1,0,3,6,0,3,0,
1603,AGSE,HC_DEEP,4,n3,AGSE,3/400,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1604,REDUCE,HC_DEEP,6,n0,REDUCE,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1604,REDUCE,HC_DEEP,6,n1,REDUCE,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1604,REDUCE,HC_DEEP,6,n2,REDUCE,1/100,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1604,REDUCE,HC_DEEP,6,n3,REDUCE,1/100,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1604,REDUCE,HC_DEEP,6,n4,REDUCE,1/100,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1604,REDUCE,HC_DEEP,6,n5,REDUCE,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1605,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n0,SHIFT,1/10,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
1605,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n1,SHIFT,1/10,8,8,10,8,8,9,1,0,1,0,8,8,0,0,0,
1605,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n2,SHIFT,1/10,11,11,13,11,11,12,1,0,1,0,11,11,0,0,0,
1605,HC_NONINT,"HC_DEEP,HC_NONINT,HC_SHIFT_UNDER_HASH",4,n3,HASH,1/18,15,15,19,15,15,18,1,0,1,0,15,15,1,0,0,2
1606,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n0,SHIFT,1,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
1606,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n1,SHIFT,1,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
1606,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n2,PASS,1,3,3,5,3,3,4,1,0,1,0,3,3,0,0,0,
1606,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n3,AGSE,3/4,2,2,2,2,2,2,1,1,1,1,0,2,0,2,0,
1606,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n4,HASH,1/2,5,5,8,5,5,7,1,0,1,0,4,5,0,1,0,
1607,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",4,n0,HASH,1/12,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1607,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",4,n1,HASH,1/12,2,2,3,2,2,2,1,0,1,0,0,2,0,2,0,
1607,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",4,n2,PASS,1/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1607,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",4,n3,SHIFT,1/8,2,2,4,2,2,3,1,0,1,0,2,2,0,0,0,
1608,HC_SINGLE,HC_SINGLE,1,n0,SUB,1/4,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1609,HC_DEEP,HC_DEEP,5,n0,ADD,3/8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1609,HC_DEEP,HC_DEEP,5,n1,THETA,3/5,2,2,2,2,2,2,1,1,1,1,1,2,0,1,0,
1609,HC_DEEP,HC_DEEP,5,n2,SUB,9/8,1,0,0,1,1,1,0,0,0,0,1,1,0,-1,-1,
1609,HC_DEEP,HC_DEEP,5,n3,NTHETA,1/2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1609,HC_DEEP,HC_DEEP,5,n4,SUB,15/8,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1610,PASS,,3,n0,PASS,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1610,PASS,,3,n1,PASS,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1610,PASS,,3,n2,PASS,147/1000,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,
1611,SHIFT,"HC_DEEP,HC_SINGLE",4,n0,SHIFT,1/8,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
1611,SHIFT,"HC_DEEP,HC_SINGLE",4,n1,SHIFT,1/8,9,9,11,9,9,10,1,0,1,0,9,9,0,0,0,
1611,SHIFT,"HC_DEEP,HC_SINGLE",4,n2,SHIFT,1/8,10,10,13,10,10,12,1,0,1,0,10,10,0,0,0,
1611,SHIFT,"HC_DEEP,HC_SINGLE",4,n3,SHIFT,1/8,12,12,16,12,12,15,1,0,1,0,12,12,0,0,0,
1612,HASH,HC_NONINT,2,n0,HASH,1/110,10,10,11,10,10,10,1,0,1,0,0,10,0,10,0,
1612,HASH,HC_NONINT,2,n1,HASH,2/205,40,40,41,40,40,40,1,0,1,0,0,40,0,40,0,
1613,ADD,,1,n0,ADD,147/1000,2,2,2,2,2,2,1,1,1,1,0,2,0,2,0,
1614,SUB,HC_DEEP,5,n0,SUB,7/24,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1614,SUB,HC_DEEP,5,n1,SUB,7/24,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1614,SUB,HC_DEEP,5,n2,SUB,5/8,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1614,SUB,HC_DEEP,5,n3,SUB,15/8,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,
1614,SUB,HC_DEEP,5,n4,SUB,49/72,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1615,THETA,,2,n0,THETA,3/16,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1615,THETA,,2,n1,THETA,21/32,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1616,NTHETA,,1,n0,NTHETA,3/4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1617,AGSE,HC_DEEP,5,n0,AGSE,1/150,2,2,2,2,2,2,1,1,1,1,0,2,0,2,0,
1617,AGSE,HC_DEEP,5,n1,AGSE,147/1000,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1617,AGSE,HC_DEEP,5,n2,AGSE,1/150,3,3,4,3,3,3,1,0,1,0,2,3,0,1,0,
1617,AGSE,HC_DEEP,5,n3,AGSE,49/1000,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
1617,AGSE,HC_DEEP,5,n4,AGSE,1/200,6,6,7,6,6,7,1,0,1,1,4,6,0,2,0,
1618,REDUCE,HC_SINGLE,2,n0,REDUCE,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1618,REDUCE,HC_SINGLE,2,n1,REDUCE,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1619,HC_NONINT,HC_NONINT,3,n0,SHIFT,3/10,5,5,6,5,5,5,1,0,1,0,5,5,0,0,0,
1619,HC_NONINT,HC_NONINT,3,n1,SUB,15/8,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1619,HC_NONINT,HC_NONINT,3,n2,HASH,15/74,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
1620,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n0,SHIFT,1/4,8,8,9,8,8,8,1,0,1,0,8,8,0,0,0,
1620,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n1,HASH,1/8,16,16,19,16,16,18,1,0,1,0,16,16,0,0,0,
1620,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n2,SUB,1/2,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1620,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n3,SHIFT,1/4,9,9,11,9,9,10,1,0,1,0,9,9,0,0,0,
1620,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n4,SUB,3/8,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
1620,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",6,n5,SUB,3/8,7,6,8,7,7,8,0,0,0,1,6,7,0,0,-1,
1621,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",4,n0,HASH,2/25,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
1621,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",4,n1,HASH,4/75,2,2,4,2,2,3,1,0,1,0,2,2,0,0,0,
1621,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",4,n2,HASH,1/25,3,3,6,3,3,6,1,0,1,1,3,3,0,0,0,
1621,HC_INT,"HC_DEEP,HC_INT,HC_NONINT",4,n3,AGSE,4/75,3,3,5,3,3,4,1,0,1,0,2,3,0,1,0,
1622,HC_SINGLE,HC_SINGLE,1,n0,REDUCE,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1623,HC_DEEP,"HC_DEEP,HC_NONINT",5,n0,NTHETA,2/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
1623,HC_DEEP,"HC_DEEP,HC_NONINT",5,n1,AGSE,1/6,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
1623,HC_DEEP,"HC_DEEP,HC_NONINT",5,n2,ADD,1/2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
1623,HC_DEEP,"HC_DEEP,HC_NONINT",5,n3,SUB,4/3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
1623,HC_DEEP,"HC_DEEP,HC_NONINT",5,n4,HASH,4/11,8,4,4,8,4,4,0,0,1,1,0,3,0,4,1,
1624,PASS,HC_DEEP,5,n0,PASS,3/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
