case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q08,ALGSTRUCT,7,6,90,684,0,647094,816305,838398,362542599,32396,715184,941036,975053,1023139,20344,61,588345,1592,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q08,ALGSTRUCT,2,6,90,684,0,662437,832213,881713,368605932,44190,717856,949506,975964,1021568,20340,61,587920,1685,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
W2_Q01,OFF,14,6,90,684,0,143554,324811,348607,99042366,36876,188923,452806,462166,468949,20340,33,199202,1592,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6069
W2_Q32,STRUCT,7,6,90,684,0,2484917,2839005,2968745,1335698658,35674,2548044,2990704,3068941,3122106,20476,162,1882868,3536,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6102
W2_Q32,OFF,13,6,90,684,0,2502417,2848857,3123243,1343818003,38332,2567988,2987762,3090307,3270849,20476,162,1574503,3220,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6103
W2_Q32,STRUCT_R1,14,6,90,684,0,2508129,2788895,2881116,1318110998,33443,2591223,2938017,3005898,3029985,20468,160,2229846,3018,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6105
W2_Q08,ALGSTRUCT,14,6,90,684,0,661965,819843,890323,367574234,33009,715374,944200,986860,998887,20340,61,580604,1556,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
W2_Q08,ALGSTRUCT,6,6,90,684,0,644761,813899,837028,361068508,37358,710649,941901,952339,965082,20344,61,582604,1611,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q08,ALGSTRUCT,12,6,90,684,0,670316,849139,863157,371531868,28245,737450,970940,997224,1034626,20340,62,580142,1815,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
W2_Q01,OFF,8,6,90,684,0,137063,328275,497272,99139670,41866,186972,445660,481208,628025,20344,33,204128,1629,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q08,STRUCT,2,6,90,684,0,626549,891379,909713,376525732,33346,707371,1009953,1025891,1027412,20344,62,582141,1889,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
