plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
2264,HC_SHIFT_UNDER_HASH,n1,1/2,1/2,1,0,1,1
2270,HASH,n0,5/8,1/10,2,0,2,2
2270,HASH,n1,1/10,5/8,7,0,7,7
2277,HC_NONINT,n1,1,1/4,1,0,1,1
2277,HC_NONINT,n2,1/4,1,4,0,4,4
2284,HASH,n0,1/2,1/8,1,0,1,1
2284,HASH,n1,1/8,4/25,3,0,3,3
2284,HASH,n2,1/2,1/8,1,0,1,1
2291,HC_NONINT,n1,1/2,1/3,2,0,2,2
2292,HC_SHIFT_UNDER_HASH,n0,1/10,2/3,8,0,8,8
2292,HC_SHIFT_UNDER_HASH,n3,2/3,1/10,2,0,2,2
2293,HC_INT,n0,1,1/2,1,0,1,1
2293,HC_INT,n1,1,1/2,1,0,1,1
2295,HC_DEEP,n1,147/1000,147/1000,1,0,1,1
2298,HASH,n0,1/10,1,10,0,10,10
2305,HC_NONINT,n1,1/10,147/1000,3,0,3,3
2306,HC_SHIFT_UNDER_HASH,n2,2/5,1/4,2,0,2,2
2312,HASH,n0,1/10,1/8,2,0,2,2
2312,HASH,n1,1/8,1/8,1,0,1,1
2319,HC_NONINT,n0,2/3,147/1000,2,0,2,2
2326,HASH,n0,3/8,4/25,2,0,2,2
2326,HASH,n1,4/25,3/8,4,0,4,4
2326,HASH,n3,1/2,3/8,2,0,2,2
2333,HC_NONINT,n0,1,147/1000,2,0,2,2
2340,HASH,n0,1/2,1/3,2,0,2,2
2347,HC_NONINT,n0,1/2,1/3,2,0,2,2
2349,HC_INT,n3,3/10,1/3,2,0,2,2
2354,HASH,n0,3/10,1/10,1,0,1,1
2361,HC_NONINT,n0,1/100,2/3,68,0,68,68
2362,HC_SHIFT_UNDER_HASH,n1,147/1000,1/16,2,0,2,2
2363,HC_INT,n1,1/10,1/10,1,0,1,1
2368,HASH,n0,5/8,1/5,2,0,2,2
2368,HASH,n1,5/8,1/5,2,0,2,2
2368,HASH,n4,1/5,3/8,3,0,3,3
2377,HC_INT,n1,1/2,1/10,1,0,1,1
2382,HASH,n0,1/3,147/1000,2,0,2,2
2382,HASH,n1,1/16,147/1000,4,0,4,4
2396,HASH,n0,1/3,2/5,2,0,2,2
2396,HASH,n3,1/3,2/5,2,0,2,2
2403,HC_NONINT,n1,1/4,2/5,3,0,3,3
2405,HC_INT,n2,1/4,1/100,1,0,1,1
2410,HASH,n0,2/5,5/8,3,0,3,3
2417,HC_NONINT,n1,3/10,147/1000,2,0,2,2
2424,HASH,n0,2/5,3/10,2,0,2,2
2433,HC_INT,n0,1/100,1/100,1,0,1,1
2438,HASH,n0,1/5,1/16,2,0,2,2
2438,HASH,n1,1/16,1/5,4,0,4,4
2447,HC_INT,n0,1/10,1/10,1,0,1,1
2452,HASH,n0,3/10,2/5,2,0,2,2
2452,HASH,n1,2/5,3/10,2,0,2,2
2452,HASH,n5,1,3/10,2,0,2,2
2459,HC_NONINT,n0,1/10,147/1000,3,0,3,3
2460,HC_SHIFT_UNDER_HASH,n1,3/10,5/8,3,0,3,3
2460,HC_SHIFT_UNDER_HASH,n2,3/10,5/8,3,0,3,3
2466,HASH,n0,1/8,3/10,4,0,4,4
2466,HASH,n1,1/8,3/10,4,0,4,4
2466,HASH,n2,3/10,1/8,2,0,2,2
2473,HC_NONINT,n0,1/3,1/10,2,0,2,2
2480,HASH,n0,3/10,1/100,1,0,1,1
2487,HC_NONINT,n5,1/16,1/2,8,0,8,8
2491,HC_DEEP,n0,1/5,1/8,2,0,2,2
2494,HASH,n0,1/8,147/1000,3,0,3,3
2503,HC_INT,n0,3/10,1/10,1,0,1,1
2508,HASH,n0,1/10,1/10,1,0,1,1
2508,HASH,n1,1/10,1/10,1,0,1,1
2516,HC_SHIFT_UNDER_HASH,n5,3/10,1/2,3,0,3,3
2522,HASH,n0,1/3,1/8,2,0,2,2
2529,HC_NONINT,n1,1/10,2/3,8,0,8,8
2531,HC_INT,n2,1/100,1/100,1,0,1,1
2533,HC_DEEP,n2,3/8,2/3,3,0,3,3
2536,HASH,n0,1/2,3/10,2,0,2,2
2536,HASH,n1,1/2,3/10,2,0,2,2
2536,HASH,n2,1/2,3/10,2,0,2,2
2543,HC_NONINT,n0,1,5/8,2,0,2,2
2545,HC_INT,n0,1,1/4,1,0,1,1
2550,HASH,n0,147/1000,2/5,4,0,4,4
2557,HC_NONINT,n0,1/10,147/1000,3,0,3,3
2559,HC_INT,n0,1/2,2/5,2,0,2,2
2559,HC_INT,n3,1/2,1/100,1,0,1,1
2564,HASH,n0,1/2,3/10,2,0,2,2
2564,HASH,n3,3/10,2/3,4,0,4,4
2573,HC_INT,n1,1/5,1/100,1,0,1,1
2578,HASH,n0,1/10,1/10,1,0,1,1
2585,HC_NONINT,n0,1/8,1/10,2,0,2,2
2587,HC_INT,n1,1/3,1,3,0,3,3
2592,HASH,n0,4/25,147/1000,2,0,2,2
2592,HASH,n2,4/25,147/1000,2,0,2,2
2601,HC_INT,n0,3/10,1/100,1,0,1,1
2606,HASH,n0,4/25,1/16,2,0,2,2
2613,HC_NONINT,n0,1/100,1/2,50,0,50,50
2620,HASH,n0,1/10,1/16,2,0,2,2
2620,HASH,n1,1/10,1/16,2,0,2,2
2629,HC_INT,n2,1,1/100,1,0,1,1
2634,HASH,n0,2/3,1/16,2,0,2,2
2634,HASH,n1,1/16,2/3,12,0,12,12
2648,HASH,n0,2/3,1/16,2,0,2,2
2648,HASH,n2,1/16,2/3,12,0,12,12
2655,HC_NONINT,n1,1/100,3/8,38,0,38,38
2659,HC_DEEP,n1,5/8,1/100,2,0,2,2
2662,HASH,n0,1/4,1/10,2,0,2,2
2662,HASH,n2,1/10,1/4,3,0,3,3
2669,HC_NONINT,n4,1,3/8,2,0,2,2
2671,HC_INT,n0,2/3,1,2,0,2,2
2673,HC_DEEP,n0,1/10,3/10,3,0,3,3
2676,HASH,n0,1/4,1/4,1,0,1,1
2683,HC_NONINT,n0,1/5,1/16,2,0,2,2
2684,HC_SHIFT_UNDER_HASH,n0,2/3,3/10,2,0,2,2
2690,HASH,n0,1/100,1/10,10,0,10,10
2690,HASH,n1,1/100,1/10,10,0,10,10
2697,HC_NONINT,n0,1,2/5,2,0,2,2
2699,HC_INT,n3,1/4,1/8,1,0,1,1
2704,HASH,n0,147/1000,2/3,6,0,6,6
2704,HASH,n2,2/3,147/1000,2,0,2,2
2711,HC_NONINT,n0,2/3,1/16,2,0,2,2
2711,HC_NONINT,n1,2/3,1/16,2,0,2,2
2718,HASH,n0,1,1/100,1,0,1,1
2718,HASH,n1,2/3,1,2,0,2,2
2718,HASH,n4,1/100,1,100,0,100,100
2727,HC_INT,n0,1,1/5,1,0,1,1
2732,HASH,n0,3/8,1/5,2,0,2,2
2739,HC_NONINT,n1,1/2,1,2,0,2,2
2741,HC_INT,n0,1/100,1/100,1,0,1,1
2743,HC_DEEP,n0,147/1000,1/16,2,0,2,2
2746,HASH,n0,2/5,5/8,3,0,3,3
2746,HASH,n1,1/5,5/8,4,0,4,4
2746,HASH,n2,2/5,1/5,1,0,1,1
2753,HC_NONINT,n0,1/16,1/4,4,0,4,4
2755,HC_INT,n1,1/100,1/100,1,0,1,1
2757,HC_DEEP,n0,2/3,1/3,1,0,1,1
2760,HASH,n0,1/2,1/8,1,0,1,1
2760,HASH,n1,1/2,1/8,1,0,1,1
2767,HC_NONINT,n0,4/25,1/8,2,0,2,2
2768,HC_SHIFT_UNDER_HASH,n0,4/25,3/10,3,0,3,3
2769,HC_INT,n1,1/2,1/100,1,0,1,1
2774,HASH,n0,1/3,1/4,2,0,2,2
2781,HC_NONINT,n1,1,3/10,2,0,2,2
2783,HC_INT,n1,1/8,5/8,5,0,5,5
2788,HASH,n0,3/10,1,4,0,4,4
2788,HASH,n1,3/10,1,4,0,4,4
2797,HC_INT,n0,1,1/16,1,0,1,1
2802,HASH,n0,147/1000,1/2,5,0,5,5
2811,HC_INT,n0,2/3,2/3,1,0,1,1
2813,HC_DEEP,n4,1,3/8,2,0,2,2
2816,HASH,n0,1/16,3/10,6,0,6,6
2816,HASH,n1,1/16,3/10,6,0,6,6
2823,HC_NONINT,n0,3/10,1,4,0,4,4
2830,HASH,n0,1/16,1/16,1,0,1,1
2844,HASH,n0,1/10,147/1000,3,0,3,3
2853,HC_INT,n0,3/10,3/10,1,0,1,1
2858,HASH,n0,1/10,1/4,3,0,3,3
2858,HASH,n1,1/4,1/10,2,0,2,2
2858,HASH,n2,1/10,2/3,8,0,8,8
2865,HC_NONINT,n0,2/5,147/1000,2,0,2,2
2872,HASH,n0,1/8,147/1000,3,0,3,3
2879,HC_NONINT,n0,1/16,1/10,3,0,3,3
2883,HC_DEEP,n0,1,147/1000,2,0,2,2
2886,HASH,n0,1/8,5/8,5,0,5,5
2886,HASH,n1,1/5,5/8,4,0,4,4
2893,HC_NONINT,n0,3/8,1/100,2,0,2,2
2897,HC_DEEP,n1,1/3,1/16,2,0,2,2
2900,HASH,n0,1/4,3/8,2,0,2,2
2900,HASH,n1,3/8,1/4,2,0,2,2
2907,HC_NONINT,n0,1/100,5/8,63,0,63,63
2914,HASH,n0,1/5,5/8,4,0,4,4
2921,HC_NONINT,n0,1/8,1/100,2,0,2,2
2928,HASH,n0,1/5,3/8,3,0,3,3
2937,HC_INT,n0,2/3,1/3,1,0,1,1
2942,HASH,n0,4/25,4/25,1,0,1,1
2942,HASH,n1,4/25,3/10,3,0,3,3
2949,HC_NONINT,n0,1/3,3/10,2,0,2,2
2951,HC_INT,n0,3/8,1/8,1,0,1,1
2956,HASH,n0,2/3,1/2,2,0,2,2
2956,HASH,n3,1/2,2/3,2,0,2,2
2963,HC_NONINT,n0,1/100,3/10,30,0,30,30
2967,HC_DEEP,n2,3/10,5/8,3,0,3,3
2970,HASH,n0,5/8,1/5,2,0,2,2
2977,HC_NONINT,n1,1,1,1,0,1,1
2984,HASH,n0,1/100,147/1000,16,0,16,16
2984,HASH,n2,1/3,1/100,2,0,2,2
2991,HC_NONINT,n1,3/10,3/10,1,0,1,1
2992,HC_SHIFT_UNDER_HASH,n0,1/2,4/25,2,0,2,2
2998,HASH,n0,1/3,1/100,2,0,2,2
3006,HC_SHIFT_UNDER_HASH,n3,4/25,1/10,2,0,2,2
3012,HASH,n0,147/1000,1/100,2,0,2,2
3012,HASH,n1,1/100,147/1000,16,0,16,16
3019,HC_NONINT,n0,1/2,1,2,0,2,2
3021,HC_INT,n0,1/16,1/16,1,0,1,1
3021,HC_INT,n2,1/16,1/16,1,0,1,1
3023,HC_DEEP,n0,2/3,1,2,0,2,2
3026,HASH,n0,2/5,1,3,0,3,3
3026,HASH,n1,1,2/5,2,0,2,2
3033,HC_NONINT,n0,2/5,3/10,2,0,2,2
3040,HASH,n0,1/8,1/16,1,0,1,1
3040,HASH,n1,1/8,1/16,1,0,1,1
3047,HC_NONINT,n0,2/3,1/10,2,0,2,2
3049,HC_INT,n0,1,1,1,0,1,1
3054,HASH,n0,1/16,4/25,4,0,4,4
3061,HC_NONINT,n0,2/5,1,3,0,3,3
3063,HC_INT,n4,4/25,1/100,1,0,1,1
3068,HASH,n0,1,1/2,1,0,1,1
3068,HASH,n1,1/2,1,2,0,2,2
3075,HC_NONINT,n1,3/8,3/10,2,0,2,2
3077,HC_INT,n1,3/10,3/10,1,0,1,1
3082,HASH,n0,4/25,5/8,5,0,5,5
3090,HC_SHIFT_UNDER_HASH,n5,1/2,2/3,2,0,2,2
3096,HASH,n0,1/10,1/2,5,0,5,5
3110,HASH,n0,147/1000,1/5,3,0,3,3
3117,HC_NONINT,n0,5/8,2/5,2,0,2,2
3118,HC_SHIFT_UNDER_HASH,n0,4/25,3/10,3,0,3,3
3119,HC_INT,n5,1/5,2/3,4,0,4,4
3121,HC_DEEP,n0,1/4,1/10,2,0,2,2
3124,HASH,n0,1/4,3/10,2,0,2,2
3131,HC_NONINT,n0,1/2,147/1000,2,0,2,2
3132,HC_SHIFT_UNDER_HASH,n0,3/8,1/5,2,0,2,2
3138,HASH,n0,1/4,1/8,1,0,1,1
3147,HC_INT,n2,1/5,1/100,1,0,1,1
3152,HASH,n0,5/8,1/3,2,0,2,2
3152,HASH,n1,5/8,1/3,2,0,2,2
3160,HC_SHIFT_UNDER_HASH,n0,2/5,1/2,2,0,2,2
3160,HC_SHIFT_UNDER_HASH,n1,1/2,2/5,2,0,2,2
3166,HASH,n0,1/5,1/8,2,0,2,2
3166,HASH,n1,3/10,1/5,2,0,2,2
3173,HC_NONINT,n2,147/1000,2/3,6,0,6,6
3175,HC_INT,n0,1/5,1/100,1,0,1,1
3180,HASH,n0,1,1,1,0,1,1
3180,HASH,n2,1,1,1,0,1,1
3187,HC_NONINT,n2,1/10,3/8,5,0,5,5
3191,HC_DEEP,n1,1/2,1/16,1,0,1,1
3194,HASH,n0,1/8,1/8,1,0,1,1
3208,HASH,n0,4/25,147/1000,2,0,2,2
3208,HASH,n1,147/1000,1/3,4,0,4,4
3217,HC_INT,n0,2/3,2/3,1,0,1,1
3222,HASH,n0,1/3,1/4,2,0,2,2
3222,HASH,n1,1/3,1/4,2,0,2,2
3229,HC_NONINT,n0,3/8,1/3,2,0,2,2
3231,HC_INT,n4,1/5,1/100,1,0,1,1
3236,HASH,n0,2/3,1/10,2,0,2,2
3250,HASH,n0,1,147/1000,2,0,2,2
3258,HC_SHIFT_UNDER_HASH,n0,1/10,3/10,3,0,3,3
3264,HASH,n0,1/16,3/8,6,0,6,6
3264,HASH,n3,3/8,1/16,1,0,1,1
3273,HC_INT,n3,3/10,1/5,2,0,2,2
3278,HASH,n0,1/5,1/16,2,0,2,2
3278,HASH,n1,1/16,1/5,4,0,4,4
3285,HC_NONINT,n0,1/3,1/2,2,0,2,2
3292,HASH,n0,1/5,2/5,2,0,2,2
3292,HASH,n2,2/5,1/5,1,0,1,1
3292,HASH,n3,2/5,1/5,1,0,1,1
3299,HC_NONINT,n0,1/16,1/100,2,0,2,2
3301,HC_INT,n3,1,1/16,1,0,1,1
3306,HASH,n0,5/8,1,3,0,3,3
3306,HASH,n1,5/8,1,3,0,3,3
3306,HASH,n2,5/8,1,3,0,3,3
3313,HC_NONINT,n0,1/100,3/10,30,0,30,30
3320,HASH,n0,1/3,1/8,2,0,2,2
3320,HASH,n1,1/3,1/4,2,0,2,2
3334,HASH,n0,3/8,1/5,2,0,2,2
3334,HASH,n1,3/8,1/100,2,0,2,2
3341,HC_NONINT,n0,1/16,1/5,4,0,4,4
3348,HASH,n0,3/8,1/16,1,0,1,1
3355,HC_NONINT,n0,1/5,3/8,3,0,3,3
3362,HASH,n0,2/3,4/25,2,0,2,2
3362,HASH,n2,2/3,4/25,2,0,2,2
3369,HC_NONINT,n0,1/3,2/3,2,0,2,2
3369,HC_NONINT,n2,1/3,2/3,2,0,2,2
3373,HC_DEEP,n2,1/2,5/8,2,0,2,2
3376,HASH,n0,147/1000,1/8,2,0,2,2
3383,HC_NONINT,n0,4/25,1/4,3,0,3,3
3385,HC_INT,n0,1/5,3/8,3,0,3,3
3390,HASH,n0,3/10,1/100,1,0,1,1
3404,HASH,n0,3/8,1/2,2,0,2,2
3411,HC_NONINT,n1,3/8,1/4,2,0,2,2
3418,HASH,n0,5/8,4/25,2,0,2,2
3425,HC_NONINT,n0,1,2/3,2,0,2,2
3432,HASH,n0,2/5,3/8,2,0,2,2
3432,HASH,n5,3/8,2/5,2,0,2,2
3441,HC_INT,n0,1/8,5/8,5,0,5,5
3446,HASH,n0,147/1000,1/100,2,0,2,2
3446,HASH,n1,1/5,147/1000,2,0,2,2
3453,HC_NONINT,n0,147/1000,1/3,4,0,4,4
3454,HC_SHIFT_UNDER_HASH,n0,2/3,1/8,2,0,2,2
3457,HC_DEEP,n1,1/16,1/10,3,0,3,3
3460,HASH,n0,1/3,3/10,2,0,2,2
3469,HC_INT,n1,1/3,1/5,2,0,2,2
3474,HASH,n0,1/3,1/3,1,0,1,1
3474,HASH,n1,1/3,1/3,1,0,1,1
3474,HASH,n2,1/3,1,3,0,3,3
3474,HASH,n3,1/3,1/3,1,0,1,1
3481,HC_NONINT,n0,1/16,4/25,4,0,4,4
3488,HASH,n0,2/5,1/5,1,0,1,1
3495,HC_NONINT,n0,1/100,1/100,1,0,1,1
3495,HC_NONINT,n1,1/8,1/100,2,0,2,2
3496,HC_SHIFT_UNDER_HASH,n0,5/8,5/8,1,0,1,1
3497,HC_INT,n0,1/4,1/100,1,0,1,1
3502,HASH,n0,1/4,1/3,2,0,2,2
3502,HASH,n2,1/4,1/3,2,0,2,2
3509,HC_NONINT,n1,1/4,3/10,2,0,2,2
3510,HC_SHIFT_UNDER_HASH,n0,1/2,147/1000,2,0,2,2
3510,HC_SHIFT_UNDER_HASH,n1,1/2,147/1000,2,0,2,2
3511,HC_INT,n2,4/25,4/25,1,0,1,1
3511,HC_INT,n3,4/25,1/10,2,0,2,2
3516,HASH,n0,1/16,1,16,0,16,16
3524,HC_SHIFT_UNDER_HASH,n0,1/10,1/4,3,0,3,3
3524,HC_SHIFT_UNDER_HASH,n1,1/10,1/4,3,0,3,3
3525,HC_INT,n0,1/4,1/16,1,0,1,1
3530,HASH,n0,1/2,1/16,1,0,1,1
3539,HC_INT,n3,1/5,1/3,3,0,3,3
3544,HASH,n0,1,2/5,2,0,2,2
3544,HASH,n1,2/5,1/4,2,0,2,2
3552,HC_SHIFT_UNDER_HASH,n0,1/100,2/3,68,0,68,68
3553,HC_INT,n0,1/3,1/3,1,0,1,1
3558,HASH,n0,5/8,147/1000,2,0,2,2
3558,HASH,n1,147/1000,1,8,0,8,8
3565,HC_NONINT,n0,1/3,2/5,2,0,2,2
3566,HC_SHIFT_UNDER_HASH,n0,1/100,1/4,25,0,25,25
3572,HASH,n0,1/4,1,4,0,4,4
3579,HC_NONINT,n0,1/8,4/25,3,0,3,3
3586,HASH,n0,2/5,147/1000,2,0,2,2
3593,HC_NONINT,n0,4/25,1/2,4,0,4,4
3593,HC_NONINT,n2,4/25,1/2,4,0,4,4
3600,HASH,n0,3/8,1/2,2,0,2,2
3600,HASH,n1,3/8,4/25,2,0,2,2
3600,HASH,n4,3/8,4/25,2,0,2,2
3607,HC_NONINT,n0,1/100,3/10,30,0,30,30
3614,HASH,n0,4/25,4/25,1,0,1,1
3614,HASH,n1,1/3,4/25,2,0,2,2
3621,HC_NONINT,n2,1/5,1/3,3,0,3,3
3623,HC_INT,n1,5/8,1/8,1,0,1,1
3628,HASH,n0,2/3,1/100,2,0,2,2
3628,HASH,n1,2/3,1/100,2,0,2,2
3642,HASH,n0,1/2,3/8,2,0,2,2
3642,HASH,n2,3/8,4/25,2,0,2,2
3642,HASH,n4,3/8,4/25,2,0,2,2
3649,HC_NONINT,n0,1/16,1/8,2,0,2,2
3650,HC_SHIFT_UNDER_HASH,n2,1/3,1/10,2,0,2,2
3651,HC_INT,n3,147/1000,147/1000,1,0,1,1
3656,HASH,n0,2/3,2/5,2,0,2,2
3663,HC_NONINT,n0,1/8,4/25,3,0,3,3
3665,HC_INT,n0,4/25,3/8,4,0,4,4
3670,HASH,n0,1/16,1/10,3,0,3,3
3679,HC_INT,n0,4/25,1/100,1,0,1,1
3684,HASH,n0,4/25,4/25,1,0,1,1
3684,HASH,n1,4/25,1/8,2,0,2,2
3691,HC_NONINT,n2,147/1000,1/5,3,0,3,3
3698,HASH,n0,2/3,4/25,2,0,2,2
3705,HC_NONINT,n0,3/10,2/3,4,0,4,4
3712,HASH,n0,1/5,147/1000,2,0,2,2
3723,HC_DEEP,n0,1/2,1/10,1,0,1,1
3726,HASH,n0,1/100,1/16,7,0,7,7
3733,HC_NONINT,n1,3/8,1/4,2,0,2,2
3740,HASH,n0,1/100,3/10,30,0,30,30
3749,HC_INT,n3,1/5,1/5,1,0,1,1
3754,HASH,n0,2/5,1/3,2,0,2,2
3761,HC_NONINT,n3,1/4,1/2,2,0,2,2
3768,HASH,n0,1/3,2/5,2,0,2,2
3777,HC_INT,n1,1/5,1/100,1,0,1,1
3782,HASH,n0,4/25,3/8,4,0,4,4
3796,HASH,n0,1/16,1,16,0,16,16
3803,HC_NONINT,n0,3/8,1/3,2,0,2,2
3805,HC_INT,n0,1,1/3,1,0,1,1
3810,HASH,n0,1/100,147/1000,16,0,16,16
3819,HC_INT,n0,1/8,1/16,1,0,1,1
3824,HASH,n0,1/8,1/100,2,0,2,2
3831,HC_NONINT,n3,3/8,1/10,2,0,2,2
3833,HC_INT,n1,2/5,1/100,1,0,1,1
3835,HC_DEEP,n0,2/3,5/8,2,0,2,2
3835,HC_DEEP,n1,3/8,2/3,3,0,3,3
3838,HASH,n0,2/3,2/5,2,0,2,2
3838,HASH,n2,2/3,2/5,2,0,2,2
3838,HASH,n3,1,2/5,2,0,2,2
3838,HASH,n4,2/3,2/5,2,0,2,2
3845,HC_NONINT,n0,1/3,1/8,2,0,2,2
3846,HC_SHIFT_UNDER_HASH,n0,1,1/100,1,0,1,1
3852,HASH,n0,1/8,4/25,3,0,3,3
3852,HASH,n3,4/25,1/8,2,0,2,2
3852,HASH,n4,1/8,4/25,3,0,3,3
3859,HC_NONINT,n0,1/4,1,4,0,4,4
3860,HC_SHIFT_UNDER_HASH,n0,2/5,1/4,2,0,2,2
3861,HC_INT,n1,2/5,4/25,2,0,2,2
3866,HASH,n0,1/8,1/10,2,0,2,2
3875,HC_INT,n1,1/2,1/8,1,0,1,1
3880,HASH,n0,2/5,1/16,2,0,2,2
3880,HASH,n2,1/16,2/5,8,0,8,8
3880,HASH,n3,1/5,1/16,2,0,2,2
3888,HC_SHIFT_UNDER_HASH,n0,2/5,1/8,2,0,2,2
3889,HC_INT,n0,1/2,1/8,1,0,1,1
3891,HC_DEEP,n0,147/1000,3/8,4,0,4,4
3891,HC_DEEP,n4,3/8,1/10,2,0,2,2
3894,HASH,n0,5/8,4/25,2,0,2,2
3894,HASH,n1,5/8,4/25,2,0,2,2
3894,HASH,n3,5/8,4/25,2,0,2,2
3902,HC_SHIFT_UNDER_HASH,n4,2/3,4/25,2,0,2,2
3905,HC_DEEP,n1,1/5,1/2,3,0,3,3
3908,HASH,n0,3/10,1,4,0,4,4
3915,HC_NONINT,n0,2/3,2/5,2,0,2,2
3922,HASH,n0,3/8,1/5,2,0,2,2
3929,HC_NONINT,n2,1/16,2/3,12,0,12,12
3930,HC_SHIFT_UNDER_HASH,n1,3/10,1/8,2,0,2,2
3933,HC_DEEP,n1,1/10,1/4,3,0,3,3
3936,HASH,n0,1/10,1/8,2,0,2,2
3943,HC_NONINT,n1,1/2,5/8,2,0,2,2
3945,HC_INT,n0,1/5,2/5,2,0,2,2
3945,HC_INT,n1,2/5,1/5,1,0,1,1
3950,HASH,n0,1/4,1/5,2,0,2,2
3950,HASH,n1,1/5,1/4,2,0,2,2
3950,HASH,n4,1/4,1/5,2,0,2,2
3957,HC_NONINT,n0,2/5,1/3,2,0,2,2
3959,HC_INT,n0,1/8,1/8,1,0,1,1
3964,HASH,n0,1/4,1/8,1,0,1,1
3971,HC_NONINT,n1,5/8,1,3,0,3,3
3978,HASH,n0,1/16,1/4,4,0,4,4
3978,HASH,n1,1/16,1/4,4,0,4,4
3985,HC_NONINT,n1,1/3,3/8,2,0,2,2
3989,HC_DEEP,n1,3/10,4/25,2,0,2,2
3992,HASH,n0,1/100,1/2,50,0,50,50
4000,HC_SHIFT_UNDER_HASH,n0,2/5,4/25,2,0,2,2
4001,HC_INT,n0,5/8,1/8,1,0,1,1
4001,HC_INT,n1,5/8,1/8,1,0,1,1
4006,HASH,n0,1/10,3/10,3,0,3,3
4006,HASH,n2,3/10,1/10,1,0,1,1
4013,HC_NONINT,n1,1/4,5/8,3,0,3,3
4014,HC_SHIFT_UNDER_HASH,n0,1/100,3/8,38,0,38,38
4020,HASH,n0,1/16,2/3,12,0,12,12
4027,HC_NONINT,n1,1/8,1/10,2,0,2,2
4028,HC_SHIFT_UNDER_HASH,n0,1/3,5/8,3,0,3,3
4034,HASH,n0,1/3,1/5,2,0,2,2
4041,HC_NONINT,n0,2/5,3/8,2,0,2,2
4043,HC_INT,n1,3/10,3/10,1,0,1,1
4048,HASH,n0,1/8,2/5,4,0,4,4
4048,HASH,n1,2/5,1,3,0,3,3
4055,HC_NONINT,n0,3/10,1/3,2,0,2,2
4059,HC_DEEP,n1,2/5,3/10,2,0,2,2
4062,HASH,n0,5/8,1/16,1,0,1,1
4062,HASH,n1,5/8,1/16,1,0,1,1
4062,HASH,n3,1/16,5/8,10,0,10,10
4076,HASH,n0,2/3,147/1000,2,0,2,2
4076,HASH,n3,147/1000,2/3,6,0,6,6
4083,HC_NONINT,n0,1,2/5,2,0,2,2
4090,HASH,n0,1/8,2/5,4,0,4,4
4097,HC_NONINT,n2,1,2/5,2,0,2,2
4098,HC_SHIFT_UNDER_HASH,n0,1/2,3/10,2,0,2,2
4099,HC_INT,n0,1/4,1/100,1,0,1,1
4101,HC_DEEP,n3,1/16,3/8,6,0,6,6
4104,HASH,n0,1/10,1/5,2,0,2,2
4118,HASH,n0,1/8,1/4,2,0,2,2
4118,HASH,n1,1/4,1/8,1,0,1,1
4118,HASH,n2,1/8,1/4,2,0,2,2
4125,HC_NONINT,n0,1/8,147/1000,3,0,3,3
4127,HC_INT,n0,1/100,1/4,25,0,25,25
4132,HASH,n0,1/3,1/8,2,0,2,2
4132,HASH,n1,1/8,1/3,4,0,4,4
4146,HASH,n0,3/10,3/8,2,0,2,2
4153,HC_NONINT,n2,1/5,1/5,1,0,1,1
4153,HC_NONINT,n4,1/5,1/5,1,0,1,1
4154,HC_SHIFT_UNDER_HASH,n1,3/8,1/2,2,0,2,2
4160,HASH,n0,4/25,1/100,1,0,1,1
4167,HC_NONINT,n1,3/8,2/5,2,0,2,2
4169,HC_INT,n0,1/5,1/100,1,0,1,1
4174,HASH,n0,147/1000,2/5,4,0,4,4
4181,HC_NONINT,n2,5/8,1/3,2,0,2,2
4183,HC_INT,n0,1/4,1/16,1,0,1,1
4185,HC_DEEP,n0,2/5,3/8,2,0,2,2
4188,HASH,n0,1,1/3,1,0,1,1
4195,HC_NONINT,n0,2/5,4/25,2,0,2,2
4202,HASH,n0,1/16,1/100,2,0,2,2
4209,HC_NONINT,n1,1/16,1/4,4,0,4,4
4211,HC_INT,n4,3/10,1/10,1,0,1,1
4213,HC_DEEP,n0,4/25,1/16,2,0,2,2
4216,HASH,n0,3/10,3/10,1,0,1,1
4216,HASH,n2,3/10,3/10,1,0,1,1
4216,HASH,n3,3/10,3/10,1,0,1,1
4223,HC_NONINT,n0,2/3,147/1000,2,0,2,2
4223,HC_NONINT,n1,2/3,147/1000,2,0,2,2
4227,HC_DEEP,n1,147/1000,3/10,4,0,4,4
4230,HASH,n0,1/100,1,100,0,100,100
4230,HASH,n1,1/100,1,100,0,100,100
4237,HC_NONINT,n1,147/1000,1/100,2,0,2,2
4244,HASH,n0,5/8,1,3,0,3,3
4244,HASH,n3,4/25,5/8,5,0,5,5
4244,HASH,n5,5/8,1,3,0,3,3
4251,HC_NONINT,n1,1/2,2/3,2,0,2,2
4258,HASH,n0,5/8,1/16,1,0,1,1
4272,HASH,n0,1/16,1/5,4,0,4,4
4279,HC_NONINT,n3,1/3,1/5,2,0,2,2
4281,HC_INT,n5,1/4,1/16,1,0,1,1
4286,HASH,n0,2/3,3/8,2,0,2,2
4286,HASH,n2,2/3,3/8,2,0,2,2
4300,HASH,n0,1/10,2/3,8,0,8,8
4314,HASH,n0,1,1/2,1,0,1,1
4322,HC_SHIFT_UNDER_HASH,n1,1/3,5/8,3,0,3,3
4323,HC_INT,n0,1/10,1/10,1,0,1,1
4328,HASH,n0,3/8,1/10,2,0,2,2
4328,HASH,n1,3/8,1/10,2,0,2,2
