plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
599,HC_INT,n0,2/3,2/3,1,0,1,1
604,HASH,n0,1/4,147/1000,2,0,2,2
604,HASH,n1,1/4,147/1000,2,0,2,2
611,HC_NONINT,n2,2/5,1/2,2,0,2,2
615,HC_DEEP,n2,1/10,1,10,0,10,10
618,HASH,n0,1/100,5/8,63,0,63,63
618,HASH,n3,5/8,2/3,2,0,2,2
625,HC_NONINT,n0,1,5/8,2,0,2,2
626,HC_SHIFT_UNDER_HASH,n0,1/100,1/2,50,0,50,50
632,HASH,n0,5/8,1/100,2,0,2,2
639,HC_NONINT,n0,1/8,5/8,5,0,5,5
640,HC_SHIFT_UNDER_HASH,n0,5/8,5/8,1,0,1,1
641,HC_INT,n2,1/4,1/8,1,0,1,1
646,HASH,n0,4/25,2/5,3,0,3,3
653,HC_NONINT,n1,1/16,147/1000,4,0,4,4
660,HASH,n0,3/8,1/4,2,0,2,2
660,HASH,n1,3/8,1/4,2,0,2,2
660,HASH,n3,1/4,3/8,2,0,2,2
667,HC_NONINT,n0,4/25,1/3,3,0,3,3
667,HC_NONINT,n1,1/3,4/25,2,0,2,2
674,HASH,n0,1/8,4/25,3,0,3,3
674,HASH,n2,1/8,4/25,3,0,3,3
681,HC_NONINT,n2,3/10,1,4,0,4,4
683,HC_INT,n0,1/2,1/8,1,0,1,1
688,HASH,n0,147/1000,1/3,4,0,4,4
688,HASH,n1,147/1000,1/3,4,0,4,4
695,HC_NONINT,n1,1/10,5/8,7,0,7,7
702,HASH,n0,1/3,2/5,2,0,2,2
716,HASH,n0,1/10,1/100,1,0,1,1
723,HC_NONINT,n0,1/100,2/5,40,0,40,40
725,HC_INT,n0,1/4,1/16,1,0,1,1
730,HASH,n0,1/3,1,3,0,3,3
730,HASH,n1,1,1/3,1,0,1,1
737,HC_NONINT,n0,1/2,3/10,2,0,2,2
741,HC_DEEP,n1,5/8,1/16,1,0,1,1
744,HASH,n0,1/5,5/8,4,0,4,4
744,HASH,n1,1/5,5/8,4,0,4,4
744,HASH,n5,5/8,1/5,2,0,2,2
751,HC_NONINT,n5,1/2,3/10,2,0,2,2
752,HC_SHIFT_UNDER_HASH,n1,1/3,1/100,2,0,2,2
758,HASH,n0,1/8,2/5,4,0,4,4
772,HASH,n0,1/100,1/16,7,0,7,7
780,HC_SHIFT_UNDER_HASH,n0,1/2,1,2,0,2,2
781,HC_INT,n0,1/8,1/5,3,0,3,3
786,HASH,n0,1/5,1,5,0,5,5
786,HASH,n5,1,1/5,1,0,1,1
800,HASH,n0,3/10,4/25,2,0,2,2
807,HC_NONINT,n2,1/10,1/5,2,0,2,2
809,HC_INT,n1,2/5,1/10,1,0,1,1
814,HASH,n0,4/25,3/10,3,0,3,3
814,HASH,n1,4/25,3/10,3,0,3,3
821,HC_NONINT,n0,1/4,2/3,4,0,4,4
822,HC_SHIFT_UNDER_HASH,n0,1/4,147/1000,2,0,2,2
828,HASH,n0,147/1000,1/2,5,0,5,5
828,HASH,n1,1/2,1,2,0,2,2
828,HASH,n2,1/2,1,2,0,2,2
836,HC_SHIFT_UNDER_HASH,n0,1/3,2/5,2,0,2,2
837,HC_INT,n0,3/8,1/8,1,0,1,1
837,HC_INT,n1,3/8,1/8,1,0,1,1
842,HASH,n0,1/2,2/5,2,0,2,2
851,HC_INT,n0,1/8,1/16,1,0,1,1
856,HASH,n0,1/10,3/8,5,0,5,5
863,HC_NONINT,n0,2/3,1/10,2,0,2,2
863,HC_NONINT,n1,2/3,1/10,2,0,2,2
870,HASH,n0,2/3,1/4,2,0,2,2
870,HASH,n1,1/4,2/3,4,0,4,4
877,HC_NONINT,n0,1/10,1/4,3,0,3,3
884,HASH,n0,1/3,1/16,2,0,2,2
891,HC_NONINT,n0,3/10,147/1000,2,0,2,2
898,HASH,n0,5/8,4/25,2,0,2,2
906,HC_SHIFT_UNDER_HASH,n2,147/1000,5/8,6,0,6,6
907,HC_INT,n0,2/3,1/3,1,0,1,1
912,HASH,n0,147/1000,3/10,4,0,4,4
912,HASH,n2,147/1000,3/10,4,0,4,4
912,HASH,n4,3/10,147/1000,2,0,2,2
912,HASH,n5,3/10,147/1000,2,0,2,2
919,HC_NONINT,n0,1/5,3/10,2,0,2,2
921,HC_INT,n2,1/4,1/4,1,0,1,1
923,HC_DEEP,n1,4/25,147/1000,2,0,2,2
926,HASH,n0,3/10,1/8,2,0,2,2
940,HASH,n0,1/2,1/16,1,0,1,1
940,HASH,n1,1/2,1/16,1,0,1,1
947,HC_NONINT,n0,1/10,2/5,4,0,4,4
949,HC_INT,n0,4/25,3/10,3,0,3,3
949,HC_INT,n3,4/25,4/25,1,0,1,1
954,HASH,n0,5/8,1/4,2,0,2,2
954,HASH,n2,5/8,1/4,2,0,2,2
961,HC_NONINT,n0,1/3,5/8,3,0,3,3
962,HC_SHIFT_UNDER_HASH,n0,1/8,1/2,4,0,4,4
968,HASH,n0,1/5,3/8,3,0,3,3
968,HASH,n1,1/5,3/8,3,0,3,3
977,HC_INT,n0,1,1/10,1,0,1,1
982,HASH,n0,4/25,1/3,3,0,3,3
982,HASH,n1,4/25,1/3,3,0,3,3
982,HASH,n2,1/3,4/25,2,0,2,2
989,HC_NONINT,n0,3/10,5/8,3,0,3,3
989,HC_NONINT,n1,5/8,3/10,2,0,2,2
991,HC_INT,n0,1/100,1/10,10,0,10,10
991,HC_INT,n1,1/10,1/100,1,0,1,1
996,HASH,n0,1/4,1/5,2,0,2,2
