case,profile,rep,scale,f_phi_hz,stream_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W3_d1,ALGSTRUCT,2,12,180,180,1368,0,636528,815538,890537,711842484,45600,703656,939021,1010219,1017783,20720,101,1436797,1574,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6213
W3_d1,ALGSTRUCT,15,12,180,180,1368,0,633315,813370,854852,709311577,39690,698737,938149,982803,983786,20692,100,593221,1612,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6077
W3_d1,ALGSTRUCT,9,12,180,180,1368,0,637982,820686,935797,714852926,51610,704529,950021,1003741,1080081,20692,100,585260,1462,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6076
W3_d1,OFF,3,12,180,180,1368,0,624750,919593,1010482,752022166,31280,696829,1046738,1133958,1171937,20724,106,1295704,1908,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6192
W3_d1,ALGSTRUCT,13,12,180,180,1368,0,659759,851000,942001,728663558,51387,724598,974040,1025060,1082321,20692,102,592129,1649,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6077
W3_d3,STRUCT,12,12,180,405,3078,0,587519,1183593,1334316,1560121482,939201,658262,1297893,1460046,1465428,21496,195,2273740,2279,0,0,12,8,42,16,14,46,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4908
W3_d1,STRUCT,13,12,180,180,1368,0,600518,884834,978074,729085174,33069,671321,1017756,1052501,1062410,20696,103,567740,1927,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6075
W3_d3,ALGSTRUCT,5,12,180,405,3078,0,650584,1077223,1156278,1532405786,1022547,701581,1195961,1248485,1309405,21464,192,1431426,2056,10,0,12,5,29,13,11,43,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4791
W3_d3,OFF,1,12,180,405,3078,0,586630,1147371,1357686,1529222007,937536,634099,1280515,1449652,1509201,21456,192,1181500,2723,0,0,12,8,42,16,14,46,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4790
W3_d1,ALGSTRUCT,14,12,180,180,1368,0,633917,819371,863334,710100308,43561,700669,942405,983336,983965,20692,100,582000,1463,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6078
W3_d1,ALGSTRUCT,10,12,180,180,1368,0,657722,844815,994334,727782158,42365,723415,974770,1043484,1053951,20696,102,587148,1593,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6076
W3_d1,STRUCT,4,12,180,180,1368,0,595250,877464,961445,723525612,46546,665985,1007422,1061716,1079377,20696,102,578093,1796,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6074
W3_d3,ALGSTRUCT,3,12,180,405,3078,0,647009,1083889,1198797,1526696795,1008045,676314,1203251,1293734,1574978,21464,192,1430557,2221,10,0,12,5,29,13,11,43,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4788
W3_d1,OFF,4,12,180,180,1368,0,597010,880223,914519,726827289,40139,669415,1012839,1067454,1071432,20692,102,452928,1925,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6077
W3_d3,STRUCT_R1,9,12,180,405,3078,0,642991,1065408,1162723,1517865457,992748,708261,1200376,1256263,1346435,21496,191,2267315,2297,10,0,12,5,29,13,11,43,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4913
W3_d1,STRUCT_R1,12,12,180,180,1368,0,626157,808019,839168,699745273,51017,691557,931412,986698,986931,20692,99,581204,1722,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6074
W3_d3,OFF,2,12,180,405,3078,0,591695,1167538,1382927,1544385087,926729,639794,1295600,1422920,1462485,21460,194,1184593,2130,0,0,12,8,42,16,14,46,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4793
W3_d1,STRUCT,11,12,180,180,1368,0,602334,888574,961649,730932664,42869,674218,1020256,1068143,1096616,20692,103,571630,2093,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6075
W3_d3,OFF,6,12,180,405,3078,0,589250,1152371,1396297,1533962128,926603,641868,1290415,1411542,1487849,21460,193,1180631,2537,0,0,12,8,42,16,14,46,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4791
W3_d1,STRUCT_R1,4,12,180,180,1368,0,627666,839908,1030204,710025032,59222,693681,972173,1057817,1304001,20696,101,581278,1574,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6075
W3_d1,OFF,5,12,180,180,1368,0,649000,1041815,1250575,771877555,82209,717378,1119728,1253447,1338482,20692,111,454038,2259,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6082
W3_d3,OFF,4,12,180,405,3078,0,587538,1154279,1417297,1532883672,921208,637978,1284574,1410924,1499346,21460,193,1173704,2352,0,0,12,8,42,16,14,46,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4792
W3_d1,STRUCT,2,12,180,180,1368,0,629222,993297,1646409,767064838,49592,704537,1130676,1446306,1834733,20704,108,573500,1833,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6075
W3_d1,OFF,7,12,180,180,1368,0,600325,881834,998686,729569452,41250,672860,1009882,1087280,1137524,20692,103,458574,1945,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6078
W3_d1,STRUCT_R1,7,12,180,180,1368,0,629880,818593,1072334,703652270,44981,696344,940521,974497,1262250,20692,100,581705,1740,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6075
W3_d1,STRUCT,14,12,180,180,1368,0,621750,909464,980834,745307058,39501,694758,1038731,1078290,1106570,20692,104,576795,2038,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6079
W3_d1,OFF,13,12,180,180,1368,0,624130,920500,1010927,750633923,43250,697694,1049290,1084471,1175632,20692,105,459464,2055,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6078
W3_d1,OFF,8,12,180,180,1368,0,600167,882297,936779,728357403,35735,673865,1011371,1060589,1071961,20696,102,454797,1907,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6077
W3_d1,OFF,11,12,180,180,1368,0,609713,889278,928001,738494250,33398,674334,1016388,1054894,1067970,20696,104,457795,1835,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6077
W3_d1,STRUCT,8,12,180,180,1368,0,603546,880352,957371,726973057,36890,670739,1007000,1073246,1098516,20692,102,568168,2036,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6079
W3_d3,STRUCT_R1,10,12,180,405,3078,0,642463,1066019,1172723,1516321671,1015949,672949,1197245,1263792,1315451,21464,191,1493167,3297,10,0,12,5,29,13,11,43,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4794
W3_d3,OFF,5,12,180,405,3078,0,591250,1154686,1356223,1543136911,939976,641281,1294356,1426398,1436526,21464,195,1162446,2832,0,0,12,8,42,16,14,46,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4790
W3_d1,STRUCT,3,12,180,180,1368,0,691593,1070630,1377427,796860564,87411,738861,1282465,1636012,1817466,20696,113,577816,2129,0,0,10,2,28,10,6,15,4,34368,4300,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6076
W3_d1,ALGSTRUCT,7,12,180,180,1368,0,664389,849816,901371,732446930,45611,731665,977447,1034158,1052357,20696,103,594501,1814,8,0,10,1,19,9,5,14,4,34368,4308,8ddbcc7f9b06689df061e8aa42a9c97b497b353858025fd919f467020991e2ec,34,6077
W3_d3,ALGSTRUCT,14,12,180,405,3078,0,651185,1081111,1187630,1537736136,1022853,683030,1211061,1255410,1381959,21460,192,1435741,2334,10,0,12,5,29,13,11,43,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4791
W3_d3,STRUCT_R1,3,12,180,405,3078,0,641611,1097630,1174482,1540695715,1041382,675581,1222053,1273982,1314859,21460,193,1496241,2648,10,0,12,5,29,13,11,43,8,60192,24320,b2bec6aa3c07c8dd779b780bfa185a0e58bdfe1731f1aa09a98d1bb5693767ad,36,4792
