family	profile	q	block	compute_median_ns	compute_p99_ns	slot_ns	lost_records
F9-R2	NO_R1_FACTOR	2	2	259831	327034	40000000	0
F9-R2	NO_R1_NO_R2	2	2	257238	325496	40000000	0
F9-R2	NO_R2_CANON	2	2	261645	360515	40000000	0
F9-R2	DEFAULT	2	3	262405	337756	40000000	0
F9-R2	NO_R1_FACTOR	2	3	262942	355922	40000000	0
F9-R2	NO_R1_NO_R2	2	3	260660	322826	40000000	0
F9-R2	NO_R2_CANON	2	3	261752	326973	40000000	0
F9-R2	DEFAULT	2	4	258794	315331	40000000	0
F9-R2	NO_R1_FACTOR	2	4	260960	337737	40000000	0
F9-R2	NO_R1_NO_R2	2	4	259387	391034	40000000	0
F9-R2	NO_R2_CANON	2	4	262238	372885	40000000	0
F9-R2	DEFAULT	2	5	262756	342181	40000000	0
F9-R2	NO_R1_FACTOR	2	5	260793	441772	40000000	0
F9-R2	NO_R1_NO_R2	2	5	258164	393254	40000000	0
F9-R2	NO_R2_CANON	2	5	262015	342107	40000000	0
F9-R2	DEFAULT	2	6	262942	352274	40000000	0
F9-R2	NO_R1_FACTOR	2	6	262812	340477	40000000	0
F9-R2	NO_R1_NO_R2	2	6	262127	338774	40000000	0
F9-R2	NO_R2_CANON	2	6	261220	318904	40000000	0
F9-R2	DEFAULT	2	7	264812	341533	40000000	0
F9-R2	NO_R1_FACTOR	2	7	260404	360700	40000000	0
F9-R2	NO_R1_NO_R2	2	7	261423	334755	40000000	0
F9-R2	NO_R2_CANON	2	7	263515	335811	40000000	0
F9-R2	DEFAULT	2	8	254571	358125	40000000	0
F9-R2	NO_R1_FACTOR	2	8	262386	338590	40000000	0
F9-R2	NO_R1_NO_R2	2	8	261572	335516	40000000	0
F9-R2	NO_R2_CANON	2	8	261887	338627	40000000	0
F9-R2	DEFAULT	2	9	262293	356272	40000000	0
F9-R2	NO_R1_FACTOR	2	9	261978	341736	40000000	0
F9-R2	NO_R1_NO_R2	2	9	261404	354421	40000000	0
F9-R2	NO_R2_CANON	2	9	263478	329051	40000000	0
F9-R2	DEFAULT	2	10	262663	343422	40000000	0
F9-R2	NO_R1_FACTOR	2	10	262385	367255	40000000	0
F9-R2	NO_R1_NO_R2	2	10	262089	354329	40000000	0
F9-R2	NO_R2_CANON	2	10	263811	338496	40000000	0
F9-R2	DEFAULT	2	11	261275	328126	40000000	0
F9-R2	NO_R1_FACTOR	2	11	262108	335237	40000000	0
F9-R2	NO_R1_NO_R2	2	11	260256	370718	40000000	0
F9-R2	NO_R2_CANON	2	11	264145	339514	40000000	0
F9-R2	DEFAULT	2	12	257904	325977	40000000	0
F9-R2	NO_R1_FACTOR	2	12	259960	337940	40000000	0
F9-R2	NO_R1_NO_R2	2	12	256756	334699	40000000	0
F9-R2	NO_R2_CANON	2	12	263978	338607	40000000	0
F9-R2	DEFAULT	2	13	261552	339458	40000000	0
F9-R2	NO_R1_FACTOR	2	13	260644	352773	40000000	0
F9-R2	NO_R1_NO_R2	2	13	259978	359809	40000000	0
F9-R2	NO_R2_CANON	2	13	262664	341459	40000000	0
F9-R2	DEFAULT	2	14	259682	331033	40000000	0
F9-R2	NO_R1_FACTOR	2	14	253608	325681	40000000	0
F9-R2	NO_R1_NO_R2	2	14	258904	341144	40000000	0
F9-R2	NO_R2_CANON	2	14	255590	355699	40000000	0
F9-R2	DEFAULT	2	15	254663	320940	40000000	0
F9-R2	NO_R1_FACTOR	2	15	260330	341718	40000000	0
F9-R2	NO_R1_NO_R2	2	15	263775	461680	40000000	0
F9-R2	NO_R2_CANON	2	15	254978	352570	40000000	0
F9-R2	DEFAULT	2	16	260330	332181	40000000	0
F9-R2	NO_R1_FACTOR	2	16	262126	339014	40000000	0
F9-R2	NO_R1_NO_R2	2	16	251812	344181	40000000	0
F9-R2	NO_R2_CANON	2	16	262978	343829	40000000	0
F9-R2	DEFAULT	2	17	261367	330792	40000000	0
F9-R2	NO_R1_FACTOR	2	17	262182	342292	40000000	0
F9-R2	NO_R1_NO_R2	2	17	261182	382569	40000000	0
F9-R2	NO_R2_CANON	2	17	263923	352347	40000000	0
F9-R2	DEFAULT	2	18	258460	333163	40000000	0
F9-R2	NO_R1_FACTOR	2	18	262700	340977	40000000	0
F9-R2	NO_R1_NO_R2	2	18	251849	348162	40000000	0
F9-R2	NO_R2_CANON	2	18	264515	352588	40000000	0
F9-R2	DEFAULT	2	19	261053	374218	40000000	0
F9-R2	NO_R1_FACTOR	2	19	261423	343644	40000000	0
F9-R2	NO_R1_NO_R2	2	19	259738	329421	40000000	0
F9-R2	NO_R2_CANON	2	19	263071	343996	40000000	0
F9-R2	DEFAULT	2	20	262534	351144	40000000	0
F9-R2	NO_R1_FACTOR	2	20	260978	352607	40000000	0
F9-R2	NO_R1_NO_R2	2	20	252867	353754	40000000	0
F9-R2	NO_R2_CANON	2	20	263700	348477	40000000	0
F9-R2	DEFAULT	4	1	443922	547272	40000000	0
F9-R2	NO_R1_FACTOR	4	1	444995	542402	40000000	0
F9-R2	NO_R1_NO_R2	4	1	514402	621419	40000000	0
F9-R2	NO_R2_CANON	4	1	514680	634549	40000000	0
F9-R2	DEFAULT	4	2	442606	545198	40000000	0
F9-R2	NO_R1_FACTOR	4	2	441643	584160	40000000	0
F9-R2	NO_R1_NO_R2	4	2	512735	639141	40000000	0
F9-R2	NO_R2_CANON	4	2	509105	634381	40000000	0
F9-R2	DEFAULT	4	3	430418	514232	40000000	0
F9-R2	NO_R1_FACTOR	4	3	444454	558376	40000000	0
F9-R2	NO_R1_NO_R2	4	3	508916	639933	40000000	0
F9-R2	NO_R2_CANON	4	3	517045	652135	40000000	0
F9-R2	DEFAULT	4	4	443643	530253	40000000	0
F9-R2	NO_R1_FACTOR	4	4	447440	592920	40000000	0
F9-R2	NO_R1_NO_R2	4	4	512624	617216	40000000	0
F9-R2	NO_R2_CANON	4	4	519309	648789	40000000	0
F9-R2	DEFAULT	4	5	448384	552235	40000000	0
F9-R2	NO_R1_FACTOR	4	5	445698	559678	40000000	0
F9-R2	NO_R1_NO_R2	4	5	495494	615567	40000000	0
F9-R2	NO_R2_CANON	4	5	515160	619030	40000000	0
F9-R2	DEFAULT	4	6	436957	552345	40000000	0
F9-R2	NO_R1_FACTOR	4	6	436402	558937	40000000	0
F9-R2	NO_R1_NO_R2	4	6	511346	646363	40000000	0
F9-R2	NO_R2_CANON	4	6	516309	627808	40000000	0
F9-R2	DEFAULT	4	7	445679	564345	40000000	0
F9-R2	NO_R1_FACTOR	4	7	440773	595048	40000000	0
F9-R2	NO_R1_NO_R2	4	7	513993	649178	40000000	0
F9-R2	NO_R2_CANON	4	7	519438	659122	40000000	0
F9-R2	DEFAULT	4	8	441755	586457	40000000	0
F9-R2	NO_R1_FACTOR	4	8	444940	565068	40000000	0
F9-R2	NO_R1_NO_R2	4	8	513235	647438	40000000	0
F9-R2	NO_R2_CANON	4	8	517403	618031	40000000	0
F9-R2	DEFAULT	4	9	445347	556696	40000000	0
F9-R2	NO_R1_FACTOR	4	9	444623	563123	40000000	0
F9-R2	NO_R1_NO_R2	4	9	514382	627566	40000000	0
F9-R2	NO_R2_CANON	4	9	497068	622288	40000000	0
F9-R2	DEFAULT	4	10	446143	597974	40000000	0
F9-R2	NO_R1_FACTOR	4	10	442402	547270	40000000	0
F9-R2	NO_R1_NO_R2	4	10	510753	609622	40000000	0
F9-R2	NO_R2_CANON	4	10	500883	641677	40000000	0
F9-R2	DEFAULT	4	11	448328	571567	40000000	0
F9-R2	NO_R1_FACTOR	4	11	442513	561011	40000000	0
F9-R2	NO_R1_NO_R2	4	11	514790	639252	40000000	0
F9-R2	NO_R2_CANON	4	11	513605	629103	40000000	0
F9-R2	DEFAULT	4	12	429865	536179	40000000	0
F9-R2	NO_R1_FACTOR	4	12	444494	542401	40000000	0
F9-R2	NO_R1_NO_R2	4	12	514809	685695	40000000	0
F9-R2	NO_R2_CANON	4	12	517049	646529	40000000	0
F9-R2	DEFAULT	4	13	442401	528160	40000000	0
F9-R2	NO_R1_FACTOR	4	13	438883	506827	40000000	0
F9-R2	NO_R1_NO_R2	4	13	508901	632677	40000000	0
F9-R2	NO_R2_CANON	4	13	500031	648676	40000000	0
F9-R2	DEFAULT	4	14	443291	564659	40000000	0
F9-R2	NO_R1_FACTOR	4	14	442309	547289	40000000	0
F9-R2	NO_R1_NO_R2	4	14	494975	634825	40000000	0
F9-R2	NO_R2_CANON	4	14	513994	621326	40000000	0
F9-R2	DEFAULT	4	15	445792	570401	40000000	0
F9-R2	NO_R1_FACTOR	4	15	437921	545716	40000000	0
F9-R2	NO_R1_NO_R2	4	15	512179	622085	40000000	0
F9-R2	NO_R2_CANON	4	15	512735	614122	40000000	0
F9-R2	DEFAULT	4	16	445809	565659	40000000	0
F9-R2	NO_R1_FACTOR	4	16	436402	557437	40000000	0
F9-R2	NO_R1_NO_R2	4	16	509642	640436	40000000	0
F9-R2	NO_R2_CANON	4	16	514623	621103	40000000	0
F9-R2	DEFAULT	4	17	445291	569049	40000000	0
F9-R2	NO_R1_FACTOR	4	17	445773	571196	40000000	0
F9-R2	NO_R1_NO_R2	4	17	515346	652307	40000000	0
F9-R2	NO_R2_CANON	4	17	516827	639048	40000000	0
F9-R2	DEFAULT	4	18	441328	534049	40000000	0
F9-R2	NO_R1_FACTOR	4	18	441605	600788	40000000	0
F9-R2	NO_R1_NO_R2	4	18	514142	622344	40000000	0
F9-R2	NO_R2_CANON	4	18	502327	615510	40000000	0
F9-R2	DEFAULT	4	19	442847	562679	40000000	0
F9-R2	NO_R1_FACTOR	4	19	444106	592918	40000000	0
F9-R2	NO_R1_NO_R2	4	19	514087	638825	40000000	0
F9-R2	NO_R2_CANON	4	19	513827	630770	40000000	0
F9-R2	DEFAULT	4	20	443828	547938	40000000	0
F9-R2	NO_R1_FACTOR	4	20	448328	560123	40000000	0
F9-R2	NO_R1_NO_R2	4	20	510068	638955	40000000	0
F9-R2	NO_R2_CANON	4	20	516289	640825	40000000	0
F9-R2	DEFAULT	8	1	810325	972009	40000000	0
F9-R2	NO_R1_FACTOR	8	1	773251	982304	40000000	0
F9-R2	NO_R1_NO_R2	8	1	876065	1050749	40000000	0
F9-R2	NO_R2_CANON	8	1	882602	1053044	40000000	0
F9-R2	DEFAULT	8	2	775882	1172249	40000000	0
F9-R2	NO_R1_FACTOR	8	2	806085	964268	40000000	0
F9-R2	NO_R1_NO_R2	8	2	844141	1047731	40000000	0
F9-R2	NO_R2_CANON	8	2	884731	1076859	40000000	0
F9-R2	DEFAULT	8	3	792376	932689	40000000	0
F9-R2	NO_R1_FACTOR	8	3	794728	964800	40000000	0
F9-R2	NO_R1_NO_R2	8	3	850523	1160147	40000000	0
F9-R2	NO_R2_CANON	8	3	852005	1037743	40000000	0
F9-R2	DEFAULT	8	4	809083	970618	40000000	0
F9-R2	NO_R1_FACTOR	8	4	805046	987137	40000000	0
F9-R2	NO_R1_NO_R2	8	4	876619	1051136	40000000	0
F9-R2	NO_R2_CANON	8	4	887119	1053007	40000000	0
F9-R2	DEFAULT	8	5	808491	972415	40000000	0
F9-R2	NO_R1_FACTOR	8	5	808991	979192	40000000	0
F9-R2	NO_R1_NO_R2	8	5	836286	1010173	40000000	0
F9-R2	NO_R2_CANON	8	5	879082	1032951	40000000	0
F9-R2	DEFAULT	8	6	810083	981674	40000000	0
F9-R2	NO_R1_FACTOR	8	6	798602	949822	40000000	0
F9-R2	NO_R1_NO_R2	8	6	873656	1051765	40000000	0
F9-R2	NO_R2_CANON	8	6	883583	1059561	40000000	0
F9-R2	DEFAULT	8	7	813321	986600	40000000	0
F9-R2	NO_R1_FACTOR	8	7	808229	971134	40000000	0
F9-R2	NO_R1_NO_R2	8	7	879747	1064411	40000000	0
F9-R2	NO_R2_CANON	8	7	881858	1042114	40000000	0
F9-R2	DEFAULT	8	8	807287	946989	40000000	0
F9-R2	NO_R1_FACTOR	8	8	804935	949470	40000000	0
F9-R2	NO_R1_NO_R2	8	8	844009	1050970	40000000	0
F9-R2	NO_R2_CANON	8	8	876324	1039544	40000000	0
F9-R2	DEFAULT	8	9	808326	961122	40000000	0
F9-R2	NO_R1_FACTOR	8	9	768472	952655	40000000	0
F9-R2	NO_R1_NO_R2	8	9	859989	1032598	40000000	0
F9-R2	NO_R2_CANON	8	9	842248	1035542	40000000	0
F9-R2	DEFAULT	8	10	771361	969211	40000000	0
F9-R2	NO_R1_FACTOR	8	10	813138	973488	40000000	0
F9-R2	NO_R1_NO_R2	8	10	876767	1041876	40000000	0
F9-R2	NO_R2_CANON	8	10	882748	1061191	40000000	0
F9-R2	DEFAULT	8	11	809527	966025	40000000	0
F9-R2	NO_R1_FACTOR	8	11	806416	968877	40000000	0
F9-R2	NO_R1_NO_R2	8	11	875915	1060728	40000000	0
F9-R2	NO_R2_CANON	8	11	844378	1054913	40000000	0
F9-R2	DEFAULT	8	12	811693	973358	40000000	0
F9-R2	NO_R1_FACTOR	8	12	773750	971303	40000000	0
F9-R2	NO_R1_NO_R2	8	12	879118	1044598	40000000	0
F9-R2	NO_R2_CANON	8	12	892230	1075154	40000000	0
F9-R2	DEFAULT	8	13	808212	962303	40000000	0
F9-R2	NO_R1_FACTOR	8	13	771286	1001413	40000000	0
F9-R2	NO_R1_NO_R2	8	13	839342	1028006	40000000	0
F9-R2	NO_R2_CANON	8	13	856045	1034524	40000000	0
F9-R2	DEFAULT	8	14	810119	970341	40000000	0
F9-R2	NO_R1_FACTOR	8	14	808230	978821	40000000	0
F9-R2	NO_R1_NO_R2	8	14	878267	1044728	40000000	0
F9-R2	NO_R2_CANON	8	14	886212	1063487	40000000	0
F9-R2	DEFAULT	8	15	808990	969859	40000000	0
F9-R2	NO_R1_FACTOR	8	15	808398	984285	40000000	0
F9-R2	NO_R1_NO_R2	8	15	882675	1059618	40000000	0
F9-R2	NO_R2_CANON	8	15	846397	1043488	40000000	0
F9-R2	DEFAULT	8	16	771324	991580	40000000	0
F9-R2	NO_R1_FACTOR	8	16	804026	957655	40000000	0
F9-R2	NO_R1_NO_R2	8	16	873082	1031709	40000000	0
F9-R2	NO_R2_CANON	8	16	883100	1042209	40000000	0
F9-R2	DEFAULT	8	17	810009	953637	40000000	0
F9-R2	NO_R1_FACTOR	8	17	805157	981025	40000000	0
F9-R2	NO_R1_NO_R2	8	17	878359	1043598	40000000	0
F9-R2	NO_R2_CANON	8	17	885471	1057876	40000000	0
F9-R2	DEFAULT	8	18	815009	1389761	40000000	0
F9-R2	NO_R1_FACTOR	8	18	808083	967803	40000000	0
F9-R2	NO_R1_NO_R2	8	18	875286	1035469	40000000	0
F9-R2	NO_R2_CANON	8	18	885859	1050154	40000000	0
F9-R2	DEFAULT	8	19	810786	978136	40000000	0
F9-R2	NO_R1_FACTOR	8	19	811416	975229	40000000	0
