case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q32,STRUCT_R1,5,6,90,684,0,2436143,2753584,2813399,1289251421,33857,2490522,2850185,2912564,2931913,20476,158,2230718,3130,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6101
W2_Q32,STRUCT_R1,11,6,90,684,0,2386912,2678252,2742696,1272389434,39189,2477263,2822712,2887511,2901482,20472,156,2210015,3074,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6111
W2_Q01,STRUCT,5,6,90,684,0,139286,330052,349516,98094086,41189,191177,456199,464495,466425,20340,33,269681,1464,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6074
W2_Q08,ALGSTRUCT,4,6,90,684,0,636938,816030,849474,357862251,35590,704446,939855,967388,968524,20340,60,584921,1777,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6068
W2_Q32,STRUCT_R1,12,6,90,684,0,2394579,2750993,2796418,1282148657,42510,2486765,2899874,2911986,2925788,20472,157,2218053,3204,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6105
W2_Q08,STRUCT,3,6,90,684,0,614883,878992,954861,369693559,30612,694240,1012555,1043606,1083428,20336,61,582254,1889,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q08,ALGSTRUCT,3,6,90,684,0,638975,813233,866029,359033888,35407,706716,944655,958551,1021248,20336,60,584828,1648,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
W2_Q08,OFF,8,6,90,684,0,614476,886437,903473,371664996,38207,690733,1012979,1032543,1041122,20340,62,466866,2037,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q08,OFF,2,6,90,684,0,608281,883936,956991,368571057,34065,684350,1012705,1042457,1096367,20340,61,461089,1851,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q08,STRUCT,10,6,90,684,0,614920,886289,1003269,370253704,35853,695496,1016716,1037295,1096274,20340,61,576625,1889,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
