case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q32,ALGSTRUCT,4,6,90,684,0,2414557,2731314,2803277,1287991316,39840,2507216,2854791,2945829,2947880,20468,155,2246150,3204,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6099
W2_Q32,STRUCT_R1,9,6,90,684,0,2382668,2694074,2793851,1269178861,42046,2474744,2849903,2875725,2917767,20468,153,2319096,3332,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6094
W2_Q08,ALGSTRUCT,9,6,90,684,0,650736,809161,866420,362165258,31026,705775,942895,967926,972006,20336,60,584979,1721,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q32,ALGSTRUCT,11,6,90,684,0,2407752,2723426,2783814,1283473888,36585,2496982,2858805,2926290,2944992,20468,155,2237188,3074,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6102
W2_Q08,ALGSTRUCT,11,6,90,684,0,641366,819865,856161,360413225,38562,710664,955355,979602,999039,20340,60,584625,1630,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
W2_Q01,STRUCT_R1,3,6,90,684,0,135304,280479,297942,92470857,32759,199035,393911,413624,416283,20336,32,275460,1261,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q32,STRUCT,1,6,90,684,0,2456492,2851535,3018886,1331469997,36467,2545795,2967798,3089334,3093853,20472,160,1895467,3593,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6103
W2_Q32,STRUCT,5,6,90,684,0,2455141,2820165,2912536,1319639124,38059,2516048,2963571,3008559,3055913,20472,159,1916800,3205,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6099
W2_Q32,STRUCT,6,6,90,684,0,2448761,2821481,2893369,1320624226,32320,2513239,2967689,3040382,3069512,20480,161,1898485,3372,0,0,34,2,100,34,6,15,4,68352,2140,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6106
W2_Q32,ALGSTRUCT,14,6,90,684,0,2413983,2714999,2821499,1287249078,38561,2504818,2865969,2941881,2979468,20476,157,2281967,3166,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6108
