ts_epoch,load1,mem_used_kb,temp_mC
1785436815,1.27,299776,39433
1785436816,1.27,300812,40407
1785436817,1.27,299496,40894
1785436818,1.27,299292,39920
1785436819,1.25,298180,39920
1785436820,1.25,296664,41381
1785436821,1.25,295632,39920
1785436822,1.25,297640,40894
1785436823,1.25,297524,41381
1785436824,1.15,296484,40407
1785436826,1.15,295512,41381
1785436827,1.15,290824,40894
1785436828,1.15,298304,39920
1785436829,1.15,297144,39920
1785436830,1.29,298044,40894
1785436831,1.29,296696,40407
1785436832,1.29,295224,40894
1785436833,1.29,292116,41868
1785436834,1.29,299168,40894
1785436835,1.35,297688,40894
1785436836,1.35,299792,39920
1785436837,1.35,298148,40894
1785436838,1.35,297456,39920
1785436839,1.48,286428,40407
1785436840,1.48,301820,40894
1785436841,1.48,300520,39920
1785436842,1.48,300184,40407
1785436843,1.48,299112,41381
1785436844,1.69,298868,39920
1785436845,1.69,297920,40894
1785436846,1.69,291324,40407
1785436847,1.69,291228,39920
1785436848,1.69,294332,40894
1785436849,1.55,294836,41381
1785436851,1.55,294892,39433
1785436852,1.55,294092,39920
1785436853,1.55,295556,40894
1785436854,1.55,295936,39920
1785436855,1.43,296972,39433
1785436856,1.43,298748,40407
1785436857,1.43,297228,40407
1785436858,1.43,297048,40407
1785436859,1.43,297608,39920
1785436860,1.55,296256,40407
1785436861,1.55,297880,41381
1785436862,1.55,297964,40894
1785436863,1.55,296864,38946
1785436864,1.43,296588,40407
1785436865,1.43,298964,40407
1785436866,1.43,297920,39920
1785436867,1.43,297964,40894
1785436868,1.43,298088,40894
1785436869,1.63,298496,41381
1785436870,1.63,297828,40407
1785436871,1.63,293712,40894
1785436872,1.63,302036,39920
1785436873,1.63,300908,40894
1785436875,1.58,300080,40894
1785436876,1.58,298964,40894
1785436877,1.58,297428,40894
1785436878,1.58,289812,40894
1785436879,1.58,302520,40894
1785436880,1.46,300736,40407
1785436881,1.46,302836,40407
1785436882,1.46,301396,40894
1785436883,1.46,300936,41381
1785436884,1.46,296712,41381
1785436885,1.66,298992,39920
1785436886,1.66,298396,39920
1785436887,1.66,299392,40894
1785436888,1.66,298392,40407
1785436889,1.77,297396,40407
1785436890,1.77,297032,40407
1785436891,1.77,293420,41381
1785436892,1.77,292928,40894
1785436893,1.77,295188,41381
1785436894,1.87,294744,40407
1785436895,1.87,294524,41381
1785436896,1.87,294688,41381
1785436897,1.87,294912,40894
1785436898,1.87,295692,40894
1785436900,1.72,296448,40894
1785436901,1.72,298036,40894
1785436902,1.72,297840,39920
1785436903,1.72,296748,40894
1785436904,1.72,299876,41381
1785436905,1.58,299024,39433
1785436906,1.58,301880,40407
1785436907,1.58,301072,41381
1785436908,1.58,299468,40407
1785436909,1.58,299100,40894
1785436910,1.69,295412,41381
1785436911,1.69,303708,39920
1785436912,1.69,302456,40407
1785436913,1.69,302656,41381
1785436914,1.56,301780,40894
1785436915,1.56,300560,41381
1785436916,1.56,291576,40407
1785436917,1.56,298784,40894
1785436918,1.56,297684,39920
1785436919,1.51,298672,39920
1785436920,1.51,298232,41868
1785436921,1.51,297536,41868
1785436922,1.51,286556,40407
1785436924,1.51,298060,40407
1785436925,1.39,297300,40407
1785436926,1.39,300156,41381
1785436927,1.39,299432,41868
1785436928,1.39,298924,40407
1785436929,1.39,297980,40407
1785436930,1.28,302992,40894
1785436931,1.28,301744,40894
1785436932,1.28,301480,40407
1785436933,1.28,301288,41868
1785436934,1.18,299924,40894
1785436935,1.18,299212,40407
1785436936,1.18,305444,40894
1785436937,1.18,303308,40407
1785436938,1.18,302848,39920
1785436939,1.08,302032,40407
1785436940,1.08,300900,41381
1785436941,1.08,299752,41381
1785436942,1.08,305044,41381
1785436943,1.08,303712,40407
1785436944,1.00,304704,40894
1785436945,1.00,303476,41381
1785436946,1.00,302436,41381
1785436947,1.00,301660,39920
1785436949,1.00,293676,40894
1785436950,0.92,294260,41381
1785436951,0.92,294556,41381
1785436952,0.92,297312,40407
1785436953,0.92,295288,40894
1785436954,0.92,295148,40407
1785436955,0.84,293324,40894
1785436956,0.84,301680,40407
1785436957,0.84,300424,39920
1785436958,0.84,300908,39433
1785436959,1.01,301100,40894
1785436960,1.01,300516,40407
1785436961,1.01,290568,40894
1785436962,1.01,304808,40407
1785436963,1.01,303624,39920
1785436964,1.09,304604,41381
1785436965,1.09,303404,40407
1785436966,1.09,302172,40407
1785436967,1.09,301164,41868
1785436968,1.09,297148,40407
1785436969,1.01,296884,40407
1785436970,1.01,297784,41868
1785436971,1.01,298528,39920
1785436973,1.01,298064,40894
1785436974,1.01,296672,41381
1785436975,1.09,301520,40407
1785436976,1.09,300288,39433
1785436977,1.09,300972,41381
1785436978,1.09,301004,41381
1785436979,1.09,299576,39920
1785436980,1.00,299468,40894
1785436981,1.00,297920,39920
1785436982,1.00,297596,40407
1785436983,1.00,299592,41381
1785436984,1.16,298856,40407
1785436985,1.16,297360,40894
1785436986,1.16,296928,39920
1785436987,1.16,297640,41381
1785436988,1.16,297216,40894
1785436989,1.07,297816,40894
1785436990,1.07,299180,40894
1785436991,1.07,298692,39920
1785436992,1.07,298536,41868
1785436993,1.07,294128,41381
1785436994,1.06,302076,40407
1785436995,1.06,300616,39920
1785436997,1.06,302432,40894
1785436998,1.06,301696,40407
1785436999,1.06,301168,40407
1785437000,1.22,289076,40407
1785437001,1.22,299652,39920
1785437002,1.22,298852,39920
1785437003,1.22,299476,40894
1785437004,1.22,298484,42355
1785437005,1.36,297768,41381
1785437006,1.36,297352,41381
1785437007,1.36,299380,40894
1785437008,1.36,298868,40894
1785437009,1.33,300160,40407
1785437010,1.33,300276,40894
1785437011,1.33,300128,40894
1785437012,1.33,299036,40894
1785437013,1.33,301548,41381
1785437014,1.22,300824,40407
1785437015,1.22,301036,41381
