plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
9171,SHIFT,"HC_DEEP,HC_SINGLE",5,n3,SHIFT,1/10,0,0,0,0,0,0,1,1,1,1,7,7,7,7,1,1,7,7,1,0,0,0,0,0,
9171,SHIFT,"HC_DEEP,HC_SINGLE",5,n4,SHIFT,1/10,0,0,0,0,0,0,1,1,1,1,5,5,5,5,1,1,5,5,1,0,0,0,0,0,
9172,HASH,"HC_INT,HC_NONINT",3,n0,HASH,1/101,1,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9172,HASH,"HC_INT,HC_NONINT",3,n1,HASH,3/308,38,38,39,38,38,38,1,0,1,0,0,0,0,0,1,1,38,38,1,0,38,0,38,0,
9172,HASH,"HC_INT,HC_NONINT",3,n2,HASH,1/101,100,100,101,100,100,100,1,0,1,0,0,0,0,0,1,1,100,100,1,0,100,0,100,0,
9173,ADD,HC_SINGLE,3,n0,ADD,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9173,ADD,HC_SINGLE,3,n1,ADD,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9173,ADD,HC_SINGLE,3,n2,ADD,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9174,SUB,HC_DEEP,5,n0,SUB,3/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9174,SUB,HC_DEEP,5,n1,SUB,9/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9174,SUB,HC_DEEP,5,n2,SUB,3/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9174,SUB,HC_DEEP,5,n3,SUB,6/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9174,SUB,HC_DEEP,5,n4,SUB,12/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9175,THETA,,1,n0,THETA,3/4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9176,NTHETA,,1,n0,NTHETA,9/20,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9177,AGSE,HC_DEEP,6,n0,AGSE,4/3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9177,AGSE,HC_DEEP,6,n1,AGSE,1/50,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9177,AGSE,HC_DEEP,6,n2,AGSE,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9177,AGSE,HC_DEEP,6,n3,AGSE,1/2,1,1,2,1,1,1,1,0,1,0,3,3,3,3,1,1,4,4,1,0,1,0,1,0,
9177,AGSE,HC_DEEP,6,n4,AGSE,3/100,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9177,AGSE,HC_DEEP,6,n5,AGSE,1,1,1,2,1,1,1,1,0,1,0,3,3,3,3,1,1,4,4,1,0,1,0,1,0,
9178,REDUCE,HC_DEEP,4,n0,REDUCE,1/2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9178,REDUCE,HC_DEEP,4,n1,REDUCE,1/2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9178,REDUCE,HC_DEEP,4,n2,REDUCE,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9178,REDUCE,HC_DEEP,4,n3,REDUCE,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9179,HC_NONINT,"HC_DEEP,HC_NONINT",5,n0,PASS,2/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9179,HC_NONINT,"HC_DEEP,HC_NONINT",5,n1,HASH,10/41,3,3,3,3,3,3,1,1,1,1,0,0,0,0,1,1,3,3,1,0,2,0,3,1,
9179,HC_NONINT,"HC_DEEP,HC_NONINT",5,n2,SHIFT,2/5,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
9179,HC_NONINT,"HC_DEEP,HC_NONINT",5,n3,AGSE,4/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,0,1,0,
9179,HC_NONINT,"HC_DEEP,HC_NONINT",5,n4,PASS,2/5,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9180,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n0,SHIFT,1/10,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
9180,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n1,SUB,1/5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9180,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n2,HASH,1/15,1,1,2,1,1,1,1,0,1,0,3,3,3,3,1,1,4,4,1,0,1,0,1,0,
9180,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n3,PASS,1/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9180,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n4,PASS,1/10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9181,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",4,n0,PASS,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9181,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",4,n1,PASS,1/4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9181,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",4,n2,SHIFT,1/4,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
9181,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",4,n3,HASH,1/12,1,1,2,1,1,1,1,0,1,0,24,24,24,24,1,1,25,25,1,0,1,1,1,0,1
9182,HC_SINGLE,HC_SINGLE,1,n0,SHIFT,1/3,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
9183,HC_DEEP,"HC_DEEP,HC_NONINT",4,n0,HASH,1/5,2,2,3,2,2,2,1,0,1,0,0,0,0,0,1,1,2,2,1,0,2,0,2,0,
9183,HC_DEEP,"HC_DEEP,HC_NONINT",4,n1,AGSE,3/20,3,3,5,3,3,5,1,0,1,1,1,1,1,1,1,1,4,4,1,3,3,0,0,0,
9183,HC_DEEP,"HC_DEEP,HC_NONINT",4,n2,THETA,21/80,3,3,4,3,3,4,1,0,1,1,0,0,0,0,1,1,3,3,1,2,3,0,1,0,
9183,HC_DEEP,"HC_DEEP,HC_NONINT",4,n3,REDUCE,21/80,3,3,5,3,3,4,1,0,1,0,0,0,0,0,1,1,3,3,1,3,3,0,0,0,
9184,PASS,,1,n0,PASS,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9185,SHIFT,HC_DEEP,6,n0,SHIFT,4/25,0,0,0,0,0,0,1,1,1,1,3,3,3,3,1,1,3,3,1,0,0,0,0,0,
9185,SHIFT,HC_DEEP,6,n1,SHIFT,4/25,0,0,0,0,0,0,1,1,1,1,5,5,5,5,1,1,5,5,1,0,0,0,0,0,
9185,SHIFT,HC_DEEP,6,n2,SHIFT,4/25,0,0,0,0,0,0,1,1,1,1,7,7,7,7,1,1,7,7,1,0,0,0,0,0,
9185,SHIFT,HC_DEEP,6,n3,SHIFT,4/25,0,0,0,0,0,0,1,1,1,1,10,10,10,10,1,1,10,10,1,0,0,0,0,0,
9185,SHIFT,HC_DEEP,6,n4,SHIFT,4/25,0,0,0,0,0,0,1,1,1,1,10,10,10,10,1,1,10,10,1,0,0,0,0,0,
9185,SHIFT,HC_DEEP,6,n5,SHIFT,4/25,0,0,0,0,0,0,1,1,1,1,4,4,4,4,1,1,4,4,1,0,0,0,0,0,
9186,HASH,"HC_DEEP,HC_NONINT",5,n0,HASH,4/65,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,0,1,0,2,1,
9186,HASH,"HC_DEEP,HC_NONINT",5,n1,HASH,2/45,5,5,5,5,5,5,1,1,1,1,0,0,0,0,1,1,5,5,1,3,4,0,2,1,
9186,HASH,"HC_DEEP,HC_NONINT",5,n2,HASH,2/77,11,11,11,11,11,11,1,1,1,1,0,0,0,0,1,1,11,11,1,9,10,0,2,1,
9186,HASH,"HC_DEEP,HC_NONINT",5,n3,HASH,1/26,3,3,3,3,3,3,1,1,1,1,0,0,0,0,1,1,3,3,1,0,2,0,3,1,
9186,HASH,"HC_DEEP,HC_NONINT",5,n4,HASH,4/169,7,7,7,7,7,7,1,1,1,1,0,0,0,0,1,1,7,7,1,6,6,0,1,1,
9187,ADD,HC_DEEP,4,n0,ADD,3/10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9187,ADD,HC_DEEP,4,n1,ADD,3/10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9187,ADD,HC_DEEP,4,n2,ADD,3/10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9187,ADD,HC_DEEP,4,n3,ADD,3/10,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9188,SUB,,3,n0,SUB,14/15,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9188,SUB,,3,n1,SUB,112/45,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9188,SUB,,3,n2,SUB,784/135,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9189,THETA,HC_DEEP,6,n0,THETA,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9189,THETA,HC_DEEP,6,n1,THETA,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9189,THETA,HC_DEEP,6,n2,THETA,10/3,1,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9189,THETA,HC_DEEP,6,n3,THETA,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
9189,THETA,HC_DEEP,6,n4,THETA,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,
9189,THETA,HC_DEEP,6,n5,THETA,3/2,1,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,
9190,NTHETA,,3,n0,NTHETA,1029/4000,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9190,NTHETA,,3,n1,NTHETA,147/500,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9190,NTHETA,,3,n2,NTHETA,147/625,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9191,AGSE,,3,n0,AGSE,49/250,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
9191,AGSE,,3,n1,AGSE,49/500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,0,1,0,
9191,AGSE,,3,n2,AGSE,49/125,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
