plan,stratum,consumer,kind,child,child_declared,needed,provided,deficit
1,SHIFT,n0,SHIFT,s2,1,2,2,0
1,SHIFT,n1,SHIFT,s0,1,4,4,0
2,HASH,n0,HASH,s1,1,1,4,-3
2,HASH,n0,HASH,s0,1,1,4,-3
2,HASH,n1,HASH,s0,1,1,4,-3
2,HASH,n1,HASH,n0,0,1,4,-3
2,HASH,n2,HASH,s1,1,1,4,-3
2,HASH,n2,HASH,n1,0,1,4,-3
2,HASH,n3,HASH,n0,0,1,4,-3
2,HASH,n3,HASH,s0,1,2,4,-2
3,ADD,n0,ADD,s0,1,4,4,0
3,ADD,n0,ADD,s2,1,4,18,-14
3,ADD,n1,ADD,s1,1,3,3,0
3,ADD,n1,ADD,s2,1,18,18,0
3,ADD,n2,ADD,s2,1,4,18,-14
3,ADD,n2,ADD,s0,1,4,4,0
3,ADD,n3,ADD,n1,0,1,1,0
3,ADD,n3,ADD,n2,0,15,15,0
4,SUB,n0,SUB,s0,1,6,6,0
4,SUB,n1,SUB,s0,1,3,6,-3
4,SUB,n2,SUB,n1,0,1,1,0
4,SUB,n3,SUB,s0,1,4,6,-2
5,THETA,n0,THETA,s2,1,1,4,-3
5,THETA,n1,THETA,s0,1,2,4,-2
6,NTHETA,n0,NTHETA,s1,1,2,4,-2
6,NTHETA,n1,NTHETA,s1,1,2,4,-2
6,NTHETA,n2,NTHETA,s1,1,2,4,-2
6,NTHETA,n3,NTHETA,n0,0,2,4,-2
7,AGSE,n0,AGSE,s0,1,4,3,1
7,AGSE,n1,AGSE,s2,1,3,2,1
7,AGSE,n2,AGSE,n0,0,3,3,0
7,AGSE,n3,AGSE,n0,0,2,3,-1
7,AGSE,n4,AGSE,n3,0,2,2,0
7,AGSE,n5,AGSE,n0,0,2,3,-1
9,HC_NONINT,n0,HASH,s0,1,1,4,-3
9,HC_NONINT,n0,HASH,s1,1,8,9,-1
9,HC_NONINT,n1,SHIFT,s1,1,4,9,-5
10,HC_SHIFT_UNDER_HASH,n0,SUB,s0,1,3,9,-6
10,HC_SHIFT_UNDER_HASH,n1,HASH,s0,1,1,9,-8
10,HC_SHIFT_UNDER_HASH,n1,HASH,s1,1,3,4,-1
10,HC_SHIFT_UNDER_HASH,n2,SHIFT,s0,1,9,9,0
10,HC_SHIFT_UNDER_HASH,n4,HASH,n0,0,2,4,-2
10,HC_SHIFT_UNDER_HASH,n4,HASH,n2,0,1,4,-3
10,HC_SHIFT_UNDER_HASH,n5,AGSE,n4,0,2,2,0
11,HC_INT,n0,AGSE,s1,1,4,4,0
11,HC_INT,n2,HASH,s0,1,1,4,-3
11,HC_INT,n2,HASH,n1,0,1,4,-3
11,HC_INT,n3,AGSE,s0,1,4,4,0
11,HC_INT,n4,AGSE,s1,1,5,4,1
11,HC_INT,n5,SHIFT,n3,0,2,2,0
13,HC_DEEP,n0,SUB,s0,1,3,6,-3
13,HC_DEEP,n1,SHIFT,s0,1,6,6,0
13,HC_DEEP,n2,AGSE,s0,1,3,6,-3
13,HC_DEEP,n4,NTHETA,n2,0,3,4,-1
13,HC_DEEP,n5,NTHETA,s0,1,2,6,-4
15,SHIFT,n0,SHIFT,s0,1,4,4,0
15,SHIFT,n1,SHIFT,n0,0,2,9,-7
15,SHIFT,n2,SHIFT,n1,0,4,4,0
15,SHIFT,n3,SHIFT,n2,0,9,9,0
15,SHIFT,n4,SHIFT,n0,0,6,9,-3
15,SHIFT,n5,SHIFT,n0,0,9,9,0
16,HASH,n0,HASH,s0,1,2,4,-2
16,HASH,n0,HASH,s1,1,1,4,-3
16,HASH,n1,HASH,s0,1,2,4,-2
16,HASH,n1,HASH,n0,0,1,4,-3
16,HASH,n2,HASH,n1,0,1,4,-3
16,HASH,n2,HASH,n0,0,2,4,-2
17,ADD,n0,ADD,s1,1,4,4,0
17,ADD,n0,ADD,s0,1,7,7,0
17,ADD,n1,ADD,s0,1,7,7,0
17,ADD,n1,ADD,s1,1,4,4,0
18,SUB,n0,SUB,s0,1,6,6,0
18,SUB,n1,SUB,n0,0,3,1,2
18,SUB,n2,SUB,s0,1,5,6,-1
18,SUB,n3,SUB,s0,1,3,6,-3
18,SUB,n4,SUB,n2,0,2,1,1
18,SUB,n5,SUB,n0,0,2,1,1
19,THETA,n0,THETA,s0,1,1,4,-3
19,THETA,n1,THETA,n0,0,2,4,-2
19,THETA,n2,THETA,n0,0,2,4,-2
19,THETA,n3,THETA,s0,1,2,4,-2
19,THETA,n4,THETA,n0,0,2,4,-2
19,THETA,n5,THETA,n0,0,2,4,-2
20,NTHETA,n0,NTHETA,s0,1,3,4,-1
21,AGSE,n0,AGSE,s0,1,3,3,0
21,AGSE,n1,AGSE,s0,1,4,3,1
21,AGSE,n2,AGSE,n1,0,2,2,0
21,AGSE,n3,AGSE,n2,0,2,2,0
23,HC_NONINT,n0,HASH,s0,1,1,4,-3
23,HC_NONINT,n0,HASH,s1,1,2,4,-2
23,HC_NONINT,n1,AGSE,n0,0,2,2,0
23,HC_NONINT,n2,SHIFT,n1,0,1,4,-3
24,HC_SHIFT_UNDER_HASH,n0,AGSE,s0,1,3,6,-3
24,HC_SHIFT_UNDER_HASH,n1,HASH,s0,1,2,6,-4
24,HC_SHIFT_UNDER_HASH,n1,HASH,s1,1,1,6,-5
24,HC_SHIFT_UNDER_HASH,n2,SHIFT,s1,1,6,6,0
24,HC_SHIFT_UNDER_HASH,n3,SHIFT,s1,1,4,6,-2
24,HC_SHIFT_UNDER_HASH,n4,HASH,s0,1,4,6,-2
24,HC_SHIFT_UNDER_HASH,n4,HASH,n3,0,1,4,-3
24,HC_SHIFT_UNDER_HASH,n5,AGSE,n1,0,1,1,0
25,HC_INT,n0,SHIFT,s0,1,6,6,0
25,HC_INT,n3,HASH,n1,0,1,4,-3
25,HC_INT,n3,HASH,s0,1,1,6,-5
25,HC_INT,n5,SUB,n4,0,4,1,3
27,HC_DEEP,n0,SUB,s0,1,5,5,0
27,HC_DEEP,n1,HASH,s0,1,1,5,-4
27,HC_DEEP,n1,HASH,n0,0,1,4,-3
27,HC_DEEP,n3,NTHETA,n1,0,2,4,-2
29,SHIFT,n0,SHIFT,s0,1,4,4,0
30,HASH,n0,HASH,s2,1,1,4,-3
30,HASH,n0,HASH,s0,1,2,4,-2
30,HASH,n1,HASH,s1,1,1,4,-3
30,HASH,n1,HASH,s0,1,2,4,-2
30,HASH,n2,HASH,s1,1,1,4,-3
30,HASH,n2,HASH,s0,1,2,4,-2
31,ADD,n0,ADD,s1,1,4,4,0
31,ADD,n0,ADD,s2,1,4,4,0
31,ADD,n1,ADD,s0,1,4,4,0
31,ADD,n1,ADD,s2,1,4,4,0
32,SUB,n0,SUB,s0,1,4,4,0
32,SUB,n1,SUB,n0,0,2,1,1
32,SUB,n2,SUB,n0,0,2,1,1
33,THETA,n0,THETA,s0,1,2,4,-2
33,THETA,n1,THETA,s0,1,2,4,-2
33,THETA,n2,THETA,s1,1,2,4,-2
33,THETA,n3,THETA,n0,0,1,4,-3
33,THETA,n4,THETA,n3,0,2,4,-2
33,THETA,n5,THETA,n0,0,1,4,-3
34,NTHETA,n0,NTHETA,s0,1,2,4,-2
35,AGSE,n0,AGSE,s0,1,5,4,1
37,HC_NONINT,n0,HASH,s1,1,1,4,-3
37,HC_NONINT,n0,HASH,s0,1,4,6,-2
37,HC_NONINT,n1,SHIFT,s2,1,3,4,-1
37,HC_NONINT,n2,HASH,s2,1,1,4,-3
37,HC_NONINT,n2,HASH,n1,0,1,4,-3
37,HC_NONINT,n3,SUB,s2,1,4,4,0
37,HC_NONINT,n4,SHIFT,n3,0,3,3,0
38,HC_SHIFT_UNDER_HASH,n0,AGSE,s1,1,5,4,1
38,HC_SHIFT_UNDER_HASH,n1,SUB,n0,0,1,9,-8
38,HC_SHIFT_UNDER_HASH,n2,SHIFT,n0,0,8,9,-1
38,HC_SHIFT_UNDER_HASH,n3,SHIFT,s1,1,2,4,-2
38,HC_SHIFT_UNDER_HASH,n4,HASH,s1,1,1,4,-3
38,HC_SHIFT_UNDER_HASH,n4,HASH,n3,0,1,4,-3
38,HC_SHIFT_UNDER_HASH,n5,SUB,s1,1,4,4,0
39,HC_INT,n0,SHIFT,s1,1,4,4,0
39,HC_INT,n1,SUB,s1,1,4,4,0
39,HC_INT,n2,AGSE,n1,0,2,2,0
39,HC_INT,n4,HASH,s1,1,1,4,-3
39,HC_INT,n4,HASH,n0,0,1,4,-3
