case,profile,rep,scale,f_phi_hz,stream_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W5_Q32,STRUCT,11,12,180,180,1368,0,2476389,2979722,3084297,2696245204,93175,2585561,3173335,3286920,3307472,21896,317,2006167,8704,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6148
W5_Q32,STRUCT_R1,15,12,180,180,1368,0,2479954,2954481,3159796,2693468315,56892,2585212,3144531,3256804,3257727,21900,316,2057722,11815,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6150
W5_Q32,ALGSTRUCT,5,12,180,180,1368,0,2634722,3512426,4094279,2860624434,847159,2727294,3756518,4235172,4450666,21884,333,2081332,11427,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6144
W5_Q32,ALGSTRUCT,11,12,180,180,1368,0,2523148,3027296,3185648,2754863020,138226,2628165,3223573,3347246,3404803,21896,320,2113074,12741,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6183
W5_Q32,ALGSTRUCT,13,12,180,180,1368,0,2530713,3016760,3129167,2761904149,54660,2620168,3208123,3318991,3338975,21896,323,2149223,11296,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6144
W5_Q32,OFF,11,12,180,180,1368,0,2478898,2969908,3116574,2701945557,66338,2585094,3172052,3306574,3318616,21896,316,1770591,10261,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6142
W5_Q32,OFF,4,12,180,180,1368,0,2479463,2964297,3097556,2700935075,61780,2584437,3154157,3303689,3372580,21896,316,1758795,11464,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6145
W5_Q32,ALGSTRUCT,14,12,180,180,1368,0,2500232,3003167,3286426,2730986236,51353,2604257,3194718,3329768,3527062,21888,319,2074723,11778,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6159
W5_Q32,STRUCT,1,12,180,180,1368,0,2475963,2960685,3083482,2689677222,115988,2580311,3157143,3255339,3262522,21896,314,2006890,10943,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6151
W5_Q32,STRUCT_R1,2,12,180,180,1368,0,2482852,2951315,3117927,2693945914,56900,2589323,3150015,3282510,3327583,21896,316,2082556,10759,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6141
W5_Q32,OFF,7,12,180,180,1368,0,2483945,2987316,3157019,2705719486,89994,2579042,3163000,3286710,3309241,21896,316,1770926,12074,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6143
W5_Q32,STRUCT,2,12,180,180,1368,0,2555815,3493075,4065927,2839632909,1007790,2653788,3741955,4295459,4472462,21892,331,2013055,9093,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6141
W5_Q32,ALGSTRUCT,7,12,180,180,1368,0,2605435,3121260,3255482,2815261701,294398,2695321,3321323,3466405,3469215,21896,328,2153573,10779,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6171
W5_Q32,STRUCT_R1,4,12,180,180,1368,0,2467973,2932871,3063760,2680278064,46761,2576645,3127635,3213964,3239356,21888,314,2073242,11574,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6148
W5_Q32,ALGSTRUCT,4,12,180,180,1368,0,2503676,3012871,3114241,2736983727,74781,2612376,3208370,3322724,3333738,21896,321,2083704,10870,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6144
W5_Q32,OFF,15,12,180,180,1368,0,2490065,2967871,3209649,2710546204,159933,2575993,3164525,3287965,3306851,21896,317,1770316,8573,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6152
W5_Q32,ALGSTRUCT,3,12,180,180,1368,0,2509824,3026889,3140704,2744869749,314822,2616831,3221068,3338755,3356612,21896,321,2078500,13315,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6152
W5_Q32,OFF,5,12,180,180,1368,0,2476787,2969500,3091131,2698062214,125988,2582188,3168997,3274051,3285880,21896,315,1777814,9779,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6151
W5_Q32,STRUCT_R1,12,12,180,180,1368,0,2482788,2949056,3102205,2697482529,61410,2590095,3153799,3289675,3318774,21900,317,2082890,10166,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6156
W5_Q32,ALGSTRUCT,12,12,180,180,1368,0,2527953,3023482,3151926,2766285270,214081,2624833,3219961,3260599,3327101,21896,323,2099575,9240,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6155
W5_Q32,ALGSTRUCT,6,12,180,180,1368,0,2520204,3019963,3273556,2750171733,67675,2626365,3216891,3391596,3495378,21896,322,2078815,10667,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6139
W5_Q32,ALGSTRUCT,1,12,180,180,1368,0,2656454,3716315,4341297,2884787087,1239174,2749118,3940358,4552472,4642271,21888,335,2086426,10056,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6148
